,ts_code,name,opt_code,opt_type,exercise_price,list_date,delist_date
307,10004814.SH,华泰柏瑞沪深300ETF期权2301认沽4.135,OP510300.SH,ETF期权,4.135,20221124,20230130
308,10004811.SH,华泰柏瑞沪深300ETF期权2301认沽3.84,OP510300.SH,ETF期权,3.84,20221124,20230130
309,10002877.SH,华泰柏瑞沪深300ETF期权2106认购4.343,OP510300.SH,ETF期权,4.343,20201029,20210623
310,10002878.SH,华泰柏瑞沪深300ETF期权2106认购4.441,OP510300.SH,ETF期权,4.441,20201029,20210623
311,10002879.SH,华泰柏瑞沪深300ETF期权2106认购4.54,OP510300.SH,ETF期权,4.54,20201029,20210623
312,10002880.SH,华泰柏瑞沪深300ETF期权2106认购4.639,OP510300.SH,ETF期权,4.639,20201029,20210623
313,10002881.SH,华泰柏瑞沪深300ETF期权2106认购4.737,OP510300.SH,ETF期权,4.737,20201029,20210623
314,10002882.SH,华泰柏瑞沪深300ETF期权2106认购4.836,OP510300.SH,ETF期权,4.836,20201029,20210623
315,10002883.SH,华泰柏瑞沪深300ETF期权2106认购4.935,OP510300.SH,ETF期权,4.935,20201029,20210623
316,10002884.SH,华泰柏瑞沪深300ETF期权2106认购5.182,OP510300.SH,ETF期权,5.182,20201029,20210623
317,10002885.SH,华泰柏瑞沪深300ETF期权2106认购5.428,OP510300.SH,ETF期权,5.428,20201029,20210623
318,10002886.SH,华泰柏瑞沪深300ETF期权2106认沽4.343,OP510300.SH,ETF期权,4.343,20201029,20210623
319,10002887.SH,华泰柏瑞沪深300ETF期权2106认沽4.441,OP510300.SH,ETF期权,4.441,20201029,20210623
320,10002888.SH,华泰柏瑞沪深300ETF期权2106认沽4.54,OP510300.SH,ETF期权,4.54,20201029,20210623
321,10002889.SH,华泰柏瑞沪深300ETF期权2106认沽4.639,OP510300.SH,ETF期权,4.639,20201029,20210623
322,10002890.SH,华泰柏瑞沪深300ETF期权2106认沽4.737,OP510300.SH,ETF期权,4.737,20201029,20210623
323,10002891.SH,华泰柏瑞沪深300ETF期权2106认沽4.836,OP510300.SH,ETF期权,4.836,20201029,20210623
324,10002892.SH,华泰柏瑞沪深300ETF期权2106认沽4.935,OP510300.SH,ETF期权,4.935,20201029,20210623
325,10002893.SH,华泰柏瑞沪深300ETF期权2106认沽5.182,OP510300.SH,ETF期权,5.182,20201029,20210623
326,10002894.SH,华泰柏瑞沪深300ETF期权2106认沽5.428,OP510300.SH,ETF期权,5.428,20201029,20210623
327,10004277.SH,华泰柏瑞沪深300ETF期权2212认购4.40,OP510300.SH,ETF期权,4.4,20220505,20221228
328,10004278.SH,华泰柏瑞沪深300ETF期权2212认沽4.40,OP510300.SH,ETF期权,4.4,20220505,20221228
329,10005103.SH,华泰柏瑞沪深300ETF期权2306认购4.60,OP510300.SH,ETF期权,4.6,20230120,20230628
330,10002523.SH,华泰柏瑞沪深300ETF期权2005认购4.40,OP510300.SH,ETF期权,4.4,20200511,20200527
331,10002524.SH,华泰柏瑞沪深300ETF期权2005认沽4.40,OP510300.SH,ETF期权,4.4,20200511,20200527
332,10002525.SH,华泰柏瑞沪深300ETF期权2012认购4.40,OP510300.SH,ETF期权,4.4,20200511,20201223
333,10002526.SH,华泰柏瑞沪深300ETF期权2012认沽4.40,OP510300.SH,ETF期权,4.4,20200511,20201223
334,10003998.SH,华泰柏瑞沪深300ETF期权2209认购4.80,OP510300.SH,ETF期权,4.8,20220127,20220928
335,10004672.SH,华泰柏瑞沪深300ETF期权2210认沽3.30,OP510300.SH,ETF期权,3.3,20221025,20221026
336,10003659.SH,华泰柏瑞沪深300ETF期权2111认购6.00,OP510300.SH,ETF期权,6.0,20210928,20211124
337,10004425.SH,华泰柏瑞沪深300ETF期权2303认购4.037,OP510300.SH,ETF期权,4.037,20220728,20230322
338,10003687.SH,华泰柏瑞沪深300ETF期权2206认购4.529,OP510300.SH,ETF期权,4.529,20211028,20220622
339,10004302.SH,华泰柏瑞沪深300ETF期权2207认购3.90,OP510300.SH,ETF期权,3.9,20220526,20220727
340,10004054.SH,华泰柏瑞沪深300ETF期权2204认购4.30,OP510300.SH,ETF期权,4.3,20220224,20220427
341,10005282.SH,华泰柏瑞沪深300ETF期权2305认购3.90,OP510300.SH,ETF期权,3.9,20230323,20230524
342,10004441.SH,华泰柏瑞沪深300ETF期权2208认购3.80,OP510300.SH,ETF期权,3.8,20220801,20220824
343,10004442.SH,华泰柏瑞沪深300ETF期权2208认沽3.80,OP510300.SH,ETF期权,3.8,20220801,20220824
344,10004443.SH,华泰柏瑞沪深300ETF期权2303认购3.741,OP510300.SH,ETF期权,3.741,20220801,20230322
345,10004444.SH,华泰柏瑞沪深300ETF期权2303认沽3.741,OP510300.SH,ETF期权,3.741,20220801,20230322
346,10005241.SH,华泰柏瑞沪深300ETF期权2304认购3.60,OP510300.SH,ETF期权,3.6,20230228,20230426
347,10004235.SH,华泰柏瑞沪深300ETF期权2209认沽3.40,OP510300.SH,ETF期权,3.4,20220426,20220928
348,10004427.SH,华泰柏瑞沪深300ETF期权2303认购4.234,OP510300.SH,ETF期权,4.234,20220728,20230322
349,10004810.SH,华泰柏瑞沪深300ETF期权2301认沽3.741,OP510300.SH,ETF期权,3.741,20221124,20230130
350,10004004.SH,华泰柏瑞沪深300ETF期权2209认沽4.50,OP510300.SH,ETF期权,4.5,20220127,20220928
351,10004624.SH,华泰柏瑞沪深300ETF期权2211认沽3.70,OP510300.SH,ETF期权,3.7,20220929,20221123
352,10004006.SH,华泰柏瑞沪深300ETF期权2209认沽4.70,OP510300.SH,ETF期权,4.7,20220127,20220928
353,10003524.SH,华泰柏瑞沪深300ETF期权2108认沽4.50,OP510300.SH,ETF期权,4.5,20210728,20210825
354,10003404.SH,华泰柏瑞沪深300ETF期权2112认沽5.25,OP510300.SH,ETF期权,5.25,20210429,20211222
355,10003437.SH,华泰柏瑞沪深300ETF期权2107认购5.25,OP510300.SH,ETF期权,5.25,20210527,20210728
356,10004382.SH,华泰柏瑞沪深300ETF期权2208认沽4.80,OP510300.SH,ETF期权,4.8,20220624,20220824
357,10003392.SH,华泰柏瑞沪深300ETF期权2112认购4.80,OP510300.SH,ETF期权,4.8,20210429,20211222
358,10003743.SH,华泰柏瑞沪深300ETF期权2201认沽5.662,OP510300.SH,ETF期权,5.662,20211125,20220126
359,10003600.SH,华泰柏瑞沪深300ETF期权2110认购4.70,OP510300.SH,ETF期权,4.7,20210826,20211027
360,10002693.SH,华泰柏瑞沪深300ETF期权2007认购5.00,OP510300.SH,ETF期权,5.0,20200707,20200722
361,10002694.SH,华泰柏瑞沪深300ETF期权2007认购5.25,OP510300.SH,ETF期权,5.25,20200707,20200722
362,10002695.SH,华泰柏瑞沪深300ETF期权2007认购5.50,OP510300.SH,ETF期权,5.5,20200707,20200722
363,10002696.SH,华泰柏瑞沪深300ETF期权2007认沽5.00,OP510300.SH,ETF期权,5.0,20200707,20200722
364,10002697.SH,华泰柏瑞沪深300ETF期权2007认沽5.25,OP510300.SH,ETF期权,5.25,20200707,20200722
365,10002698.SH,华泰柏瑞沪深300ETF期权2007认沽5.50,OP510300.SH,ETF期权,5.5,20200707,20200722
366,10002699.SH,华泰柏瑞沪深300ETF期权2008认购5.00,OP510300.SH,ETF期权,5.0,20200707,20200826
367,10002700.SH,华泰柏瑞沪深300ETF期权2008认购5.25,OP510300.SH,ETF期权,5.25,20200707,20200826
368,10002701.SH,华泰柏瑞沪深300ETF期权2008认购5.50,OP510300.SH,ETF期权,5.5,20200707,20200826
369,10002702.SH,华泰柏瑞沪深300ETF期权2008认沽5.00,OP510300.SH,ETF期权,5.0,20200707,20200826
370,10002703.SH,华泰柏瑞沪深300ETF期权2008认沽5.25,OP510300.SH,ETF期权,5.25,20200707,20200826
371,10002704.SH,华泰柏瑞沪深300ETF期权2008认沽5.50,OP510300.SH,ETF期权,5.5,20200707,20200826
372,10002705.SH,华泰柏瑞沪深300ETF期权2009认购5.00,OP510300.SH,ETF期权,5.0,20200707,20200923
373,10002706.SH,华泰柏瑞沪深300ETF期权2009认购5.25,OP510300.SH,ETF期权,5.25,20200707,20200923
374,10002707.SH,华泰柏瑞沪深300ETF期权2009认购5.50,OP510300.SH,ETF期权,5.5,20200707,20200923
375,10002708.SH,华泰柏瑞沪深300ETF期权2009认沽5.00,OP510300.SH,ETF期权,5.0,20200707,20200923
376,10002709.SH,华泰柏瑞沪深300ETF期权2009认沽5.25,OP510300.SH,ETF期权,5.25,20200707,20200923
377,10002710.SH,华泰柏瑞沪深300ETF期权2009认沽5.50,OP510300.SH,ETF期权,5.5,20200707,20200923
378,10002711.SH,华泰柏瑞沪深300ETF期权2012认购5.00,OP510300.SH,ETF期权,5.0,20200707,20201223
379,10002712.SH,华泰柏瑞沪深300ETF期权2012认购5.25,OP510300.SH,ETF期权,5.25,20200707,20201223
380,10002713.SH,华泰柏瑞沪深300ETF期权2012认购5.50,OP510300.SH,ETF期权,5.5,20200707,20201223
381,10002714.SH,华泰柏瑞沪深300ETF期权2012认沽5.00,OP510300.SH,ETF期权,5.0,20200707,20201223
382,10002715.SH,华泰柏瑞沪深300ETF期权2012认沽5.25,OP510300.SH,ETF期权,5.25,20200707,20201223
383,10002716.SH,华泰柏瑞沪深300ETF期权2012认沽5.50,OP510300.SH,ETF期权,5.5,20200707,20201223
384,10005006.SH,华泰柏瑞沪深300ETF期权2302认沽4.43,OP510300.SH,ETF期权,4.43,20230110,20230222
385,10003649.SH,华泰柏瑞沪深300ETF期权2111认购5.75,OP510300.SH,ETF期权,5.75,20210923,20211124
386,10002855.SH,华泰柏瑞沪深300ETF期权2011认购5.50,OP510300.SH,ETF期权,5.5,20201013,20201125
387,10002856.SH,华泰柏瑞沪深300ETF期权2011认购5.75,OP510300.SH,ETF期权,5.75,20201013,20201125
388,10002857.SH,华泰柏瑞沪深300ETF期权2011认沽5.50,OP510300.SH,ETF期权,5.5,20201013,20201125
389,10002858.SH,华泰柏瑞沪深300ETF期权2011认沽5.75,OP510300.SH,ETF期权,5.75,20201013,20201125
390,10004492.SH,华泰柏瑞沪深300ETF期权2210认沽4.50,OP510300.SH,ETF期权,4.5,20220825,20221026
391,10004392.SH,华泰柏瑞沪深300ETF期权2207认沽4.90,OP510300.SH,ETF期权,4.9,20220628,20220727
392,10003871.SH,华泰柏瑞沪深300ETF期权2202认沽4.825,OP510300.SH,ETF期权,4.825,20211223,20220223
393,10004305.SH,华泰柏瑞沪深300ETF期权2207认购4.20,OP510300.SH,ETF期权,4.2,20220526,20220727
394,10003733.SH,华泰柏瑞沪深300ETF期权2201认购5.416,OP510300.SH,ETF期权,5.416,20211125,20220126
395,10003398.SH,华泰柏瑞沪深300ETF期权2112认购6.00,OP510300.SH,ETF期权,6.0,20210429,20211222
396,10003568.SH,华泰柏瑞沪深300ETF期权2203认沽5.662,OP510300.SH,ETF期权,5.662,20210730,20220323
397,10004315.SH,华泰柏瑞沪深300ETF期权2207认沽4.30,OP510300.SH,ETF期权,4.3,20220526,20220727
398,10003520.SH,华泰柏瑞沪深300ETF期权2107认沽4.50,OP510300.SH,ETF期权,4.5,20210728,20210728
399,10003359.SH,华泰柏瑞沪深300ETF期权2105认沽5.50,OP510300.SH,ETF期权,5.5,20210325,20210526
400,10003872.SH,华泰柏瑞沪深300ETF期权2202认沽4.923,OP510300.SH,ETF期权,4.923,20211223,20220223
401,10004057.SH,华泰柏瑞沪深300ETF期权2204认购4.60,OP510300.SH,ETF期权,4.6,20220224,20220427
402,10003298.SH,华泰柏瑞沪深300ETF期权2104认沽6.50,OP510300.SH,ETF期权,6.5,20210225,20210428
403,10004153.SH,华泰柏瑞沪深300ETF期权2204认沽3.60,OP510300.SH,ETF期权,3.6,20220316,20220427
404,10003656.SH,华泰柏瑞沪深300ETF期权2111认沽5.25,OP510300.SH,ETF期权,5.25,20210923,20211124
405,10005015.SH,华泰柏瑞沪深300ETF期权2301认购3.70,OP510300.SH,ETF期权,3.7,20230116,20230130
406,10005016.SH,华泰柏瑞沪深300ETF期权2301认购3.80,OP510300.SH,ETF期权,3.8,20230116,20230130
407,10005017.SH,华泰柏瑞沪深300ETF期权2301认购3.90,OP510300.SH,ETF期权,3.9,20230116,20230130
408,10005018.SH,华泰柏瑞沪深300ETF期权2301认购4.00,OP510300.SH,ETF期权,4.0,20230116,20230130
409,10005019.SH,华泰柏瑞沪深300ETF期权2301认购4.10,OP510300.SH,ETF期权,4.1,20230116,20230130
410,10005020.SH,华泰柏瑞沪深300ETF期权2301认购4.20,OP510300.SH,ETF期权,4.2,20230116,20230130
411,10005021.SH,华泰柏瑞沪深300ETF期权2301认购4.30,OP510300.SH,ETF期权,4.3,20230116,20230130
412,10005022.SH,华泰柏瑞沪深300ETF期权2301认购4.40,OP510300.SH,ETF期权,4.4,20230116,20230130
413,10005023.SH,华泰柏瑞沪深300ETF期权2301认购4.50,OP510300.SH,ETF期权,4.5,20230116,20230130
414,10005024.SH,华泰柏瑞沪深300ETF期权2301认沽3.70,OP510300.SH,ETF期权,3.7,20230116,20230130
415,10005025.SH,华泰柏瑞沪深300ETF期权2301认沽3.80,OP510300.SH,ETF期权,3.8,20230116,20230130
416,10005026.SH,华泰柏瑞沪深300ETF期权2301认沽3.90,OP510300.SH,ETF期权,3.9,20230116,20230130
417,10005027.SH,华泰柏瑞沪深300ETF期权2301认沽4.00,OP510300.SH,ETF期权,4.0,20230116,20230130
418,10005028.SH,华泰柏瑞沪深300ETF期权2301认沽4.10,OP510300.SH,ETF期权,4.1,20230116,20230130
419,10005029.SH,华泰柏瑞沪深300ETF期权2301认沽4.20,OP510300.SH,ETF期权,4.2,20230116,20230130
420,10005030.SH,华泰柏瑞沪深300ETF期权2301认沽4.30,OP510300.SH,ETF期权,4.3,20230116,20230130
421,10005031.SH,华泰柏瑞沪深300ETF期权2301认沽4.40,OP510300.SH,ETF期权,4.4,20230116,20230130
422,10005032.SH,华泰柏瑞沪深300ETF期权2301认沽4.50,OP510300.SH,ETF期权,4.5,20230116,20230130
423,10005033.SH,华泰柏瑞沪深300ETF期权2302认购3.70,OP510300.SH,ETF期权,3.7,20230116,20230222
424,10005034.SH,华泰柏瑞沪深300ETF期权2302认购3.80,OP510300.SH,ETF期权,3.8,20230116,20230222
425,10005035.SH,华泰柏瑞沪深300ETF期权2302认购3.90,OP510300.SH,ETF期权,3.9,20230116,20230222
426,10005036.SH,华泰柏瑞沪深300ETF期权2302认购4.00,OP510300.SH,ETF期权,4.0,20230116,20230222
