10000001.SH,华夏上证50ETF期权1503认购2.20,OP510050.SH,ETF期权,2.2,20150209,20150325
10000002.SH,华夏上证50ETF期权1503认购2.25,OP510050.SH,ETF期权,2.25,20150209,20150325
10000003.SH,华夏上证50ETF期权1503认购2.30,OP510050.SH,ETF期权,2.3,20150209,20150325
10000004.SH,华夏上证50ETF期权1503认购2.35,OP510050.SH,ETF期权,2.35,20150209,20150325
10000005.SH,华夏上证50ETF期权1503认购2.40,OP510050.SH,ETF期权,2.4,20150209,20150325
10000006.SH,华夏上证50ETF期权1503认沽2.20,OP510050.SH,ETF期权,2.2,20150209,20150325
10000007.SH,华夏上证50ETF期权1503认沽2.25,OP510050.SH,ETF期权,2.25,20150209,20150325
10000008.SH,华夏上证50ETF期权1503认沽2.30,OP510050.SH,ETF期权,2.3,20150209,20150325
10000009.SH,华夏上证50ETF期权1503认沽2.35,OP510050.SH,ETF期权,2.35,20150209,20150325
10000010.SH,华夏上证50ETF期权1503认沽2.40,OP510050.SH,ETF期权,2.4,20150209,20150325
10000011.SH,华夏上证50ETF期权1504认购2.20,OP510050.SH,ETF期权,2.2,20150209,20150422
10000012.SH,华夏上证50ETF期权1504认购2.25,OP510050.SH,ETF期权,2.25,20150209,20150422
10000013.SH,华夏上证50ETF期权1504认购2.30,OP510050.SH,ETF期权,2.3,20150209,20150422
10000014.SH,华夏上证50ETF期权1504认购2.35,OP510050.SH,ETF期权,2.35,20150209,20150422
10000015.SH,华夏上证50ETF期权1504认购2.40,OP510050.SH,ETF期权,2.4,20150209,20150422
10000016.SH,华夏上证50ETF期权1504认沽2.20,OP510050.SH,ETF期权,2.2,20150209,20150422
10000017.SH,华夏上证50ETF期权1504认沽2.25,OP510050.SH,ETF期权,2.25,20150209,20150422
10000018.SH,华夏上证50ETF期权1504认沽2.30,OP510050.SH,ETF期权,2.3,20150209,20150422
10000019.SH,华夏上证50ETF期权1504认沽2.35,OP510050.SH,ETF期权,2.35,20150209,20150422
10000020.SH,华夏上证50ETF期权1504认沽2.40,OP510050.SH,ETF期权,2.4,20150209,20150422
10000021.SH,华夏上证50ETF期权1506认购2.20,OP510050.SH,ETF期权,2.2,20150209,20150624
10000022.SH,华夏上证50ETF期权1506认购2.25,OP510050.SH,ETF期权,2.25,20150209,20150624
10000023.SH,华夏上证50ETF期权1506认购2.30,OP510050.SH,ETF期权,2.3,20150209,20150624
