ts_code,call_put,k,trade_date,c,s,r,t,q,iv
10002247.SH,P,3.3,20200515,0.5257,2.812,0.01657,0.3589041095890411,0.04320417883613714,0.20450973510742188
10002248.SH,P,3.4,20200515,0.6224,2.812,0.01657,0.3589041095890411,0.043901591776447216,0.21649551391601562
10002514.SH,P,2.514,20200515,0.0735,2.812,0.01657,0.6082191780821918,0.06409263682397054,0.1965789794921875
10001998.SH,P,2.755,20200515,0.0449,2.812,0.01657,0.1095890410958904,0.06381935615605383,0.17454910278320312
10001999.SH,P,2.804,20200515,0.0662,2.812,0.01657,0.1095890410958904,0.06182261745762914,0.17119216918945312
10002000.SH,P,2.853,20200515,0.0933,2.812,0.01657,0.1095890410958904,0.05851986248221849,0.16849517822265625
10002001.SH,P,2.903,20200515,0.1293,2.812,0.01657,0.1095890410958904,0.060122619486187946,0.17084884643554688
10002002.SH,P,2.952,20200515,0.1707,2.812,0.01657,0.1095890410958904,0.06662161387639053,0.17464828491210938
10002003.SH,P,3.05,20200515,0.2557,2.812,0.01657,0.1095890410958904,0.05413613864574397,0.18473052978515625
10002004.SH,P,3.149,20200515,0.3516,2.812,0.01657,0.1095890410958904,0.055701878547799975,0.202606201171875
10002005.SH,P,3.247,20200515,0.4482,2.812,0.01657,0.1095890410958904,0.05530290387516291,0.22735595703125
10002006.SH,P,3.345,20200515,0.5468,2.812,0.01657,0.1095890410958904,0.05882231390161575,0.259063720703125
10002295.SH,P,2.5,20200515,0.0059,2.812,0.01657,0.1095890410958904,0.03392675816980406,0.232330322265625
10002296.SH,P,2.55,20200515,0.0082,2.812,0.01657,0.1095890410958904,0.04171689199053115,0.2162628173828125
10002297.SH,P,2.6,20200515,0.0118,2.812,0.01657,0.1095890410958904,0.05375614845022803,0.20052337646484375
10002298.SH,P,2.65,20200515,0.0181,2.812,0.01657,0.1095890410958904,0.0645039999197168,0.188507080078125
10002304.SH,P,2.5,20200515,0.0337,2.812,0.01657,0.3589041095890411,0.04849896701457073,0.20324325561523438
10002305.SH,P,2.55,20200515,0.0426,2.812,0.01657,0.3589041095890411,0.048495407533737094,0.19772911071777344
10002306.SH,P,2.6,20200515,0.0541,2.812,0.01657,0.3589041095890411,0.048491848057449494,0.1934051513671875
10002307.SH,P,2.65,20200515,0.0683,2.812,0.01657,0.3589041095890411,0.047883409966187104,0.18988704681396484
10002308.SH,P,2.7,20200515,0.0863,2.812,0.01657,0.3589041095890411,0.04929143723608016,0.18695831298828125
10002442.SH,P,2.5,20200515,0.0004,2.812,0.01657,0.03287671232876712,0.019060161687079205,0.2742919921875
10002443.SH,P,2.55,20200515,0.0005,2.812,0.01657,0.03287671232876712,0.020437279219667023,0.2398681640625
10002444.SH,P,2.6,20200515,0.0014,2.812,0.01657,0.03287671232876712,0.03047529059165512,0.23095703125
10002445.SH,P,2.65,20200515,0.0023,2.812,0.01657,0.03287671232876712,0.04051661576981268,0.201446533203125
10002446.SH,P,2.7,20200515,0.005,2.812,0.01657,0.03287671232876712,0.03864538469410293,0.1820526123046875
10002447.SH,P,2.75,20200515,0.012,2.812,0.01657,0.03287671232876712,0.04977283378616608,0.16692352294921875
10002448.SH,P,2.8,20200515,0.0275,2.812,0.01657,0.03287671232876712,0.05006786752204848,0.15661239624023438
10002449.SH,P,2.85,20200515,0.0564,2.812,0.01657,0.03287671232876712,0.0449460551765637,0.15691375732421875
10002450.SH,P,2.9,20200515,0.0979,2.812,0.01657,0.03287671232876712,0.06474640386911096,0.16007232666015625
10002470.SH,P,2.45,20200515,0.0003,2.812,0.01657,0.03287671232876712,0.017683106500798473,0.304931640625
10002214.SH,P,3.5,20200515,0.7,2.812,0.01657,0.1095890410958904,0.05484259713818464,0.304962158203125
10002108.SH,P,3.3,20200515,0.5008,2.812,0.01657,0.1095890410958904,0.055290350477995714,0.242034912109375
10002116.SH,P,3.4,20200515,0.6018,2.812,0.01657,0.1095890410958904,0.05947483108719496,0.2764892578125
