time,qy
2212,98.9
2209,100.6
2206,101.8
2203,112.7
2112,119.2
2109,119.2
2106,123.8
2103,125.2
2012,121.91
2009,121.15
2006,109.12
2003,88.22
1912,122.8
1909,123.4
1906,123.2
1903,126.6
1812,120.2
1809,122.7
1806,124.5
1803,126.6
1712,123.4
1709,123.5
1706,123.1
1703,123.4
1612,113.5
1609,111.3
1606,107.8
1603,107.1
1512,112.2
1509,115.5
1506,118.5
1503,124.3
1412,118
