,Model,tn,fp,fn,tp,auc,log_loss,acc,ppv,tpr,fpr,forr,tnr,fnr,fdr,npv,f1,lrp,lrn,lift,youden
0,1,1342,309,21,67,0.7871021694840592,6.55436646689273,0.8102357676825762,0.17819148936170212,0.7613636363636364,0.18715929739551787,0.015407190022010272,0.8128407026044822,0.23863636363636365,0.8218085106382979,0.9845928099779897,0.2887931034482758,4.067997940570756,0.2935831865600867,3.521306818181818,0.5742043389681185
1,2,1651,0,1,87,0.9943181818181819,0.019861286023526412,0.9994249568717654,1.0,0.9886363636363636,0.0,0.0006053268765133172,1.0,0.011363636363636354,0.0,0.9993946731234867,0.9942857142857142,inf,0.011363636363636354,19.761363636363637,0.9886363636363636
2,3,540,1111,21,67,0.5442190683332415,22.483486619772187,0.34905117883841286,0.056876061120543296,0.7613636363636364,0.6729254996971532,0.0374331550802139,0.3270745003028468,0.23863636363636365,0.9431239388794567,0.9625668449197861,0.10584518167456555,1.1314233696096883,0.7296085858585858,1.1239485260070998,0.08843813666648315
3,4,1647,4,63,25,0.6408340675072959,1.3307080027882336,0.9614721104082806,0.8620689655172413,0.2840909090909091,0.0024227740763173833,0.03684210526315789,0.9975772259236826,0.7159090909090908,0.13793103448275867,0.9631578947368421,0.4273504273504274,117.25852272727275,0.7176477893691008,17.03565830721003,0.28166813501459176
4,6,1639,12,68,20,0.6100022025218875,1.5889083995181241,0.9539965497412306,0.625,0.22727272727272727,0.0072683222289521504,0.03983596953719976,0.9927316777710479,0.7727272727272727,0.375,0.9601640304628002,0.3333333333333333,31.26893939393939,0.778384824449498,12.350852272727273,0.2200044050437751
5,7,1651,0,3,85,0.9829545454545454,0.05958385807057721,0.9982748706152962,1.0,0.9659090909090909,0.0,0.0018137847642079807,1.0,0.03409090909090906,0.0,0.998186215235792,0.9826589595375723,inf,0.03409090909090906,19.761363636363637,0.9659090909090909
6,8,1354,297,21,67,0.7907363305985353,6.316025516974334,0.8171362852213916,0.18406593406593408,0.7613636363636364,0.17989097516656571,0.015272727272727273,0.8201090248334343,0.23863636363636365,0.8159340659340659,0.9847272727272727,0.29646017699115046,4.23236149372513,0.2909812676245468,3.6373938561438566,0.5814726611970706
7,9,1651,0,4,84,0.9772727272727273,0.07944514409410261,0.9976998274870615,1.0,0.9545454545454546,0.0,0.002416918429003021,1.0,0.045454545454545414,0.0,0.997583081570997,0.9767441860465117,inf,0.045454545454545414,19.761363636363637,0.9545454545454546
8,10,1605,46,68,20,0.5997054126975387,2.2642077576202464,0.9344450833812536,0.30303030303030304,0.22727272727272727,0.02786190187764991,0.04064554692169755,0.9721380981223501,0.7727272727272727,0.696969696969697,0.9593544530783025,0.25974025974025977,8.157114624505928,0.7948739733786463,5.988292011019284,0.19941082539507735
9,11,1337,314,20,68,0.7912697538681791,6.6338139100018685,0.8079355951696378,0.17801047120418848,0.7727272727272727,0.1901877649909146,0.014738393515106854,0.8098122350090854,0.2272727272727273,0.8219895287958116,0.9852616064848931,0.2893617021276596,4.062970469021424,0.2806486707010267,3.5177296525464063,0.5825395077363581
