,Model,tn,fp,fn,tp,auc,log_loss,acc,ppv,tpr,fpr,forr,tnr,fnr,fdr,npv,f1,lrp,lrn,lift,youden
0,1,1409,372,14,87,0.8262573590318043,7.084094122571496,0.7948990435706695,0.1895424836601307,0.8613861386138614,0.20887142055025268,0.009838369641602248,0.7911285794497473,0.13861386138613863,0.8104575163398693,0.9901616303583978,0.31071428571428567,4.124001916320664,0.1752102818514641,3.5318708341422376,0.6525147180636087
1,2,1781,0,4,97,0.9801980198019802,0.07340866396367937,0.997874601487779,1.0,0.9603960396039604,0.0,0.002240896358543417,1.0,0.03960396039603964,0.0,0.9977591036414566,0.9797979797979798,inf,0.03960396039603964,18.633663366336634,0.9603960396039604
2,3,1152,629,50,51,0.5758890599896599,12.4613879484208,0.6392136025504782,0.075,0.504950495049505,0.3531723750701853,0.04159733777038269,0.6468276249298147,0.49504950495049505,0.925,0.9584026622296173,0.13060179257362356,1.4297564891624297,0.7653499724972497,1.3975247524752474,0.15177811997931967
3,4,1775,6,82,19,0.5923749590006727,1.6149931563957078,0.953241232731137,0.76,0.18811881188118812,0.003368893879842785,0.04415724286483576,0.9966311061201573,0.8118811881188119,0.24,0.9558427571351642,0.3015873015873016,55.83993399339934,0.8146255752335797,14.161584158415842,0.18474991800134533
4,6,1767,14,87,14,0.5653765544999194,1.8535747132040399,0.9463336875664187,0.5,0.13861386138613863,0.007860752386299831,0.04692556634304207,0.9921392476137002,0.8613861386138614,0.5,0.9530744336569579,0.2170542635658915,17.633663366336638,0.8682109297517188,9.316831683168317,0.1307531089998388
5,7,1781,0,13,88,0.9356435643564356,0.2385781578819557,0.9930924548352816,1.0,0.8712871287128713,0.0,0.007246376811594203,1.0,0.12871287128712872,0.0,0.9927536231884058,0.9312169312169313,inf,0.12871287128712872,18.633663366336634,0.8712871287128713
6,8,1409,372,14,87,0.8262573590318043,7.0840941225714955,0.7948990435706695,0.1895424836601307,0.8613861386138614,0.20887142055025268,0.009838369641602248,0.7911285794497473,0.13861386138613863,0.8104575163398693,0.9901616303583978,0.31071428571428567,4.124001916320664,0.1752102818514641,3.5318708341422376,0.6525147180636087
7,9,1781,0,43,58,0.7871287128712872,0.7891431376095436,0.9771519659936238,1.0,0.5742574257425742,0.0,0.023574561403508772,1.0,0.4257425742574258,0.0,0.9764254385964912,0.7295597484276729,inf,0.4257425742574258,18.633663366336634,0.5742574257425742
8,10,1754,27,84,17,0.5765784046119379,2.0371018963685983,0.9410201912858661,0.38636363636363635,0.16831683168316833,0.015160022459292532,0.04570184983677911,0.9848399775407075,0.8316831683168316,0.6136363636363636,0.9542981501632208,0.23448275862068962,11.102676934360105,0.8444855888097361,7.199369936993699,0.15315680922387578
9,11,1406,375,13,88,0.8303656306113486,7.120799729150726,0.793836344314559,0.1900647948164147,0.8712871287128713,0.21055586749017405,0.009161381254404511,0.7894441325098259,0.12871287128712872,0.8099352051835853,0.9908386187455955,0.31205673758865243,4.13803300330033,0.16304240665887357,3.5416034044009153,0.6607312612226972
