,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
34,10003316.SH,20210310,SSE,0.0177,0.0177,0.0157,0.0194,0.0132,0.018,0.018,13718.0,225.9702,7356.0
33,10003316.SH,20210311,SSE,0.018,0.018,0.0171,0.0171,0.0078,0.0085,0.0085,11183.0,123.6329,11354.0
32,10003316.SH,20210312,SSE,0.0085,0.0085,0.0085,0.0099,0.0065,0.0068,0.0068,7894.0,66.5153,14377.0
31,10003316.SH,20210315,SSE,0.0068,0.0068,0.0069,0.0116,0.0061,0.0089,0.0089,10495.0,90.4527,16008.0
30,10003316.SH,20210316,SSE,0.0089,0.0089,0.0082,0.0102,0.0064,0.0068,0.0068,5614.0,42.3577,17057.0
29,10003316.SH,20210317,SSE,0.0068,0.0068,0.0076,0.0092,0.0059,0.0071,0.0071,7558.0,53.1584,19804.0
28,10003316.SH,20210318,SSE,0.0071,0.0071,0.0062,0.0079,0.0059,0.007,0.007,8382.0,55.9194,24366.0
27,10003316.SH,20210319,SSE,0.007,0.007,0.0086,0.0151,0.0073,0.0123,0.0123,26921.0,275.5517,28099.0
26,10003316.SH,20210322,SSE,0.0123,0.0123,0.0119,0.0122,0.0074,0.0084,0.0084,14839.0,133.4555,32200.0
25,10003316.SH,20210323,SSE,0.0084,0.0084,0.008,0.0115,0.0064,0.0082,0.0082,16581.0,152.8882,37062.0
24,10003316.SH,20210324,SSE,0.0082,0.0082,0.0089,0.0105,0.0077,0.009,0.009,26038.0,240.1935,45569.0
23,10003316.SH,20210325,SSE,0.009,0.009,0.0094,0.0109,0.0061,0.0068,0.0068,51060.0,408.7914,63155.0
22,10003316.SH,20210326,SSE,0.0068,0.0068,0.0056,0.0056,0.0032,0.0038,0.0038,31672.0,123.836,65338.0
21,10003316.SH,20210329,SSE,0.0038,0.0038,0.0033,0.0037,0.0024,0.0035,0.0035,13046.0,38.2347,66688.0
20,10003316.SH,20210330,SSE,0.0035,0.0035,0.0033,0.0035,0.0027,0.0031,0.0031,10545.0,30.997,68850.0
19,10003316.SH,20210331,SSE,0.0031,0.0031,0.0034,0.0034,0.0025,0.0028,0.0028,17875.0,53.3467,70138.0
18,10003316.SH,20210401,SSE,0.0028,0.0028,0.0025,0.0028,0.0014,0.0014,0.0014,20537.0,40.3032,65819.0
17,10003316.SH,20210402,SSE,0.0014,0.0014,0.0014,0.0017,0.0011,0.0011,0.0011,8061.0,11.2015,62401.0
16,10003316.SH,20210406,SSE,0.0011,0.0011,0.0011,0.0013,0.0009,0.0011,0.0011,8927.0,9.4157,58143.0
15,10003316.SH,20210407,SSE,0.0011,0.0011,0.0009,0.0014,0.0009,0.001,0.001,5314.0,5.7418,55001.0
14,10003316.SH,20210408,SSE,0.001,0.001,0.0012,0.0013,0.0006,0.0009,0.0009,5757.0,4.9064,53389.0
13,10003316.SH,20210409,SSE,0.0009,0.0009,0.001,0.0015,0.0008,0.0013,0.0013,3835.0,4.6264,53148.0
12,10003316.SH,20210412,SSE,0.0013,0.0013,0.001,0.0014,0.0007,0.0014,0.0014,4953.0,5.1931,54413.0
11,10003316.SH,20210413,SSE,0.0014,0.0014,0.001,0.0014,0.0006,0.0011,0.0011,3882.0,3.5586,54619.0
10,10003316.SH,20210414,SSE,0.0011,0.0011,0.0007,0.001,0.0006,0.0007,0.0007,1813.0,1.4158,54413.0
9,10003316.SH,20210415,SSE,0.0007,0.0007,0.0006,0.0018,0.0006,0.0008,0.0008,9200.0,11.2182,54636.0
8,10003316.SH,20210416,SSE,0.0008,0.0008,0.0007,0.001,0.0006,0.0006,0.0006,4999.0,4.0605,55760.0
7,10003316.SH,20210419,SSE,0.0006,0.0006,0.0006,0.0006,0.0003,0.0003,0.0003,4777.0,2.4386,55747.0
6,10003316.SH,20210420,SSE,0.0003,0.0003,0.0006,0.0006,0.0003,0.0003,0.0003,1872.0,0.6572,55479.0
5,10003316.SH,20210421,SSE,0.0003,0.0003,0.0005,0.0005,0.0002,0.0002,0.0002,2834.0,0.6655,53109.0
4,10003316.SH,20210422,SSE,0.0002,0.0002,0.0004,0.0004,0.0001,0.0001,0.0001,3039.0,0.4136,50831.0
3,10003316.SH,20210423,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,881.0,0.0881,50180.0
2,10003316.SH,20210426,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,645.0,0.0645,49782.0
1,10003316.SH,20210427,SSE,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,1309.0,0.1339,49346.0
0,10003316.SH,20210428,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,179.0,0.0179,49356.0
