,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
32,10003830.SH,20211210,SSE,0.448,,0.4484,0.4484,0.431,0.4392,0.451,32.0,14.0256,22.0
31,10003830.SH,20211213,SSE,0.451,0.4392,0.4306,0.4306,0.372,0.4245,0.446,210.0,85.1421,149.0
30,10003830.SH,20211214,SSE,0.446,0.4245,0.4279,0.45,0.4279,0.45,0.463,128.0,56.4997,239.0
29,10003830.SH,20211215,SSE,0.463,0.45,0.4521,0.4767,0.4405,0.4767,0.496,152.0,69.0013,243.0
28,10003830.SH,20211216,SSE,0.496,0.4767,0.4776,0.4903,0.4717,0.4839,0.485,44.0,21.2375,260.0
27,10003830.SH,20211217,SSE,0.485,0.4839,0.4664,0.5131,0.4664,0.506,0.535,106.0,51.3521,334.0
26,10003830.SH,20211220,SSE,0.535,0.506,0.5074,0.5403,0.5039,0.5388,0.557,132.0,68.5875,406.0
25,10003830.SH,20211221,SSE,0.557,0.5388,0.5295,0.5295,0.5156,0.52,0.542,87.0,45.3972,456.0
24,10003830.SH,20211222,SSE,0.542,0.52,0.5175,0.5333,0.5154,0.5288,0.556,166.0,87.3635,543.0
23,10003830.SH,20211223,SSE,0.556,0.5288,0.5308,0.5387,0.5058,0.5058,0.525,234.0,123.7008,642.0
22,10003830.SH,20211224,SSE,0.525,0.5058,0.5015,0.5148,0.494,0.5096,0.527,21.0,10.6205,541.0
21,10003830.SH,20211227,SSE,0.527,0.5096,0.504,0.5235,0.504,0.5147,0.532,18.0,9.2829,549.0
20,10003830.SH,20211228,SSE,0.532,0.5147,0.4998,0.5075,0.4882,0.4906,0.514,107.0,53.2758,605.0
19,10003830.SH,20211229,SSE,0.514,0.4906,0.4907,0.5549,0.4907,0.5549,0.575,87.0,45.8193,636.0
18,10003830.SH,20211230,SSE,0.575,0.5549,0.5526,0.5526,0.5287,0.5332,0.553,54.0,29.4775,618.0
17,10003830.SH,20211231,SSE,0.553,0.5332,0.528,0.5361,0.527,0.5288,0.544,27.0,14.371,611.0
16,10003830.SH,20220104,SSE,0.544,0.5288,0.5492,0.5778,0.5468,0.5468,0.553,85.0,48.0978,607.0
15,10003830.SH,20220105,SSE,0.553,0.5468,0.54,0.554,0.52,0.5499,0.559,40.0,21.9197,587.0
14,10003830.SH,20220106,SSE,0.559,0.5499,0.556,0.5953,0.556,0.5953,0.607,20.0,11.6478,594.0
13,10003830.SH,20220107,SSE,0.607,0.5953,0.5845,0.5852,0.5694,0.5767,0.593,10.0,5.7747,594.0
12,10003830.SH,20220110,SSE,0.593,0.5767,0.6019,0.6019,0.6019,0.6019,0.584,1.0,0.6019,591.0
11,10003830.SH,20220111,SSE,0.584,0.6019,0.5881,0.5903,0.5579,0.5903,0.604,16.0,9.2816,598.0
10,10003830.SH,20220112,SSE,0.604,0.5903,0.5736,0.5736,0.5621,0.566,0.58,22.0,12.4414,583.0
9,10003830.SH,20220113,SSE,0.58,0.566,0.5796,0.6193,0.5796,0.6152,0.634,24.0,14.5237,584.0
8,10003830.SH,20220114,SSE,0.634,0.6152,0.6423,0.6517,0.6408,0.6458,0.68,41.0,26.5456,593.0
7,10003830.SH,20220117,SSE,0.68,0.6458,0.6595,0.6615,0.6595,0.6611,0.669,17.0,11.2351,588.0
6,10003830.SH,20220118,SSE,0.669,0.6611,0.65,0.65,0.6147,0.6327,0.631,74.0,46.5424,537.0
5,10003830.SH,20220119,SSE,0.631,0.6327,0.6114,0.6421,0.6114,0.6252,0.631,86.0,54.1119,474.0
4,10003830.SH,20220120,SSE,0.631,0.6252,0.614,0.614,0.5615,0.5844,0.586,171.0,100.2878,411.0
3,10003830.SH,20220121,SSE,0.586,0.5844,0.5861,0.5957,0.577,0.5845,0.594,37.0,21.6494,409.0
2,10003830.SH,20220124,SSE,0.594,0.5845,0.6076,0.6234,0.6,0.6058,0.605,79.0,48.014,384.0
1,10003830.SH,20220125,SSE,0.605,0.6058,0.6288,0.6684,0.6253,0.667,0.671,197.0,125.1477,291.0
0,10003830.SH,20220126,SSE,0.671,0.667,0.6518,0.6836,0.651,0.6668,0.656,69.0,45.4432,188.0
