,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
33,10001794.SH,20190401,SSE,0.2148,0.2148,0.2094,0.2094,0.1798,0.1871,0.1856,3064.0,573.175,1257.0
32,10001794.SH,20190402,SSE,0.1856,0.1871,0.1884,0.192,0.1809,0.1866,0.1866,2215.0,416.2213,1462.0
31,10001794.SH,20190403,SSE,0.1866,0.1866,0.1929,0.1993,0.1625,0.1685,0.1685,2652.0,487.2924,1990.0
30,10001794.SH,20190404,SSE,0.1685,0.1685,0.1672,0.1738,0.1517,0.1542,0.1542,6783.0,1089.5025,2599.0
29,10001794.SH,20190408,SSE,0.1542,0.1542,0.1508,0.1608,0.1192,0.1495,0.1495,9689.0,1336.8966,4742.0
28,10001794.SH,20190409,SSE,0.1495,0.1495,0.1506,0.1506,0.1316,0.1388,0.1396,7654.0,1074.2498,5369.0
27,10001794.SH,20190410,SSE,0.1396,0.1388,0.144,0.1519,0.1255,0.1366,0.1366,7622.0,1074.7231,5660.0
26,10001794.SH,20190411,SSE,0.1366,0.1366,0.1367,0.1689,0.1214,0.163,0.163,14743.0,2189.5556,6485.0
25,10001794.SH,20190412,SSE,0.163,0.163,0.166,0.1668,0.1493,0.1508,0.1508,9765.0,1541.552,8304.0
24,10001794.SH,20190415,SSE,0.1508,0.1508,0.1303,0.1523,0.1063,0.1495,0.1495,26919.0,3309.2734,12696.0
23,10001794.SH,20190416,SSE,0.1495,0.1495,0.1559,0.1579,0.0915,0.092,0.092,23498.0,2712.4815,17089.0
22,10001794.SH,20190417,SSE,0.092,0.092,0.0949,0.1083,0.0881,0.0985,0.0985,49246.0,4860.3946,27623.0
21,10001794.SH,20190418,SSE,0.0985,0.0985,0.102,0.1096,0.098,0.1034,0.1034,55141.0,5705.8158,34782.0
20,10001794.SH,20190419,SSE,0.1034,0.1034,0.103,0.1143,0.0783,0.0835,0.0835,106929.0,10067.1468,45551.0
19,10001794.SH,20190422,SSE,0.0835,0.0835,0.0781,0.1258,0.0766,0.115,0.115,129275.0,13233.7673,51907.0
18,10001794.SH,20190423,SSE,0.115,0.115,0.1158,0.1196,0.0905,0.1041,0.1041,105816.0,11089.9246,60494.0
17,10001794.SH,20190424,SSE,0.1041,0.1041,0.0956,0.133,0.0908,0.1046,0.1046,133219.0,14537.5464,64820.0
16,10001794.SH,20190425,SSE,0.1046,0.1046,0.1094,0.1286,0.103,0.1286,0.1286,113243.0,12838.8835,69799.0
15,10001794.SH,20190426,SSE,0.1286,0.1286,0.1294,0.1498,0.1224,0.1495,0.1495,93522.0,12635.0313,71729.0
14,10001794.SH,20190429,SSE,0.1495,0.1495,0.143,0.1435,0.096,0.1135,0.1135,104573.0,12115.8475,63408.0
13,10001794.SH,20190430,SSE,0.1135,0.1135,0.1158,0.1286,0.1047,0.108,0.108,65205.0,7539.0182,65294.0
12,10001794.SH,20190506,SSE,0.108,0.108,0.1744,0.2545,0.1567,0.2237,0.2237,65718.0,13347.3362,48422.0
11,10001794.SH,20190507,SSE,0.2237,0.2237,0.2108,0.2387,0.1883,0.21,0.21,32098.0,6774.1985,39360.0
10,10001794.SH,20190508,SSE,0.21,0.21,0.2508,0.2623,0.2209,0.2548,0.255,20752.0,5123.4757,35310.0
9,10001794.SH,20190509,SSE,0.255,0.2548,0.2641,0.3331,0.2621,0.3162,0.3162,16804.0,5019.3201,32388.0
8,10001794.SH,20190510,SSE,0.3162,0.3162,0.2893,0.3292,0.2226,0.2313,0.2313,29987.0,7747.6602,20617.0
7,10001794.SH,20190513,SSE,0.2313,0.2313,0.255,0.2801,0.2521,0.2772,0.2772,9325.0,2476.5116,19690.0
6,10001794.SH,20190514,SSE,0.2772,0.2772,0.2952,0.2964,0.248,0.2899,0.292,6797.0,1850.5349,18491.0
5,10001794.SH,20190515,SSE,0.292,0.2899,0.2795,0.2795,0.2209,0.236,0.236,12339.0,3030.6984,14721.0
4,10001794.SH,20190516,SSE,0.236,0.236,0.2524,0.2524,0.2245,0.2276,0.2275,11246.0,2629.58,11147.0
3,10001794.SH,20190517,SSE,0.2275,0.2276,0.22,0.282,0.2178,0.2699,0.277,7745.0,1988.2874,9514.0
2,10001794.SH,20190520,SSE,0.277,0.2699,0.2822,0.3148,0.2634,0.299,0.301,5222.0,1547.977,8582.0
1,10001794.SH,20190521,SSE,0.301,0.299,0.3002,0.3002,0.2543,0.281,0.281,4746.0,1312.6727,7437.0
0,10001794.SH,20190522,SSE,0.281,0.281,0.2799,0.3066,0.273,0.2944,0.291,3736.0,1087.1657,6700.0
