,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
36,10000660.SH,20160705,SSE,0.138,,0.143,0.143,0.1313,0.135,0.1352,873.0,119.7544,421.0
35,10000660.SH,20160706,SSE,0.1352,0.135,0.1415,0.15,0.1358,0.1362,0.1362,718.0,101.5882,632.0
34,10000660.SH,20160707,SSE,0.1362,0.1362,0.1361,0.1425,0.1318,0.1363,0.1363,700.0,96.0382,858.0
33,10000660.SH,20160708,SSE,0.1363,0.1363,0.1388,0.1448,0.1373,0.1414,0.1416,756.0,107.2663,1282.0
32,10000660.SH,20160711,SSE,0.1416,0.1414,0.138,0.138,0.119,0.1307,0.1307,1643.0,206.9963,1398.0
31,10000660.SH,20160712,SSE,0.1307,0.1307,0.13,0.13,0.0942,0.0956,0.0956,2095.0,228.4126,2070.0
30,10000660.SH,20160713,SSE,0.0956,0.0956,0.0914,0.0925,0.0756,0.0904,0.091,2423.0,205.5572,2150.0
29,10000660.SH,20160714,SSE,0.091,0.0904,0.0901,0.0961,0.089,0.091,0.091,1316.0,120.4038,2186.0
28,10000660.SH,20160715,SSE,0.091,0.091,0.09,0.0927,0.0858,0.0885,0.0885,849.0,75.1662,2556.0
27,10000660.SH,20160718,SSE,0.0885,0.0885,0.0895,0.0953,0.0827,0.0944,0.0944,1928.0,173.0107,3311.0
26,10000660.SH,20160719,SSE,0.0944,0.0944,0.0942,0.1115,0.0905,0.1045,0.104,3032.0,313.3981,4228.0
25,10000660.SH,20160720,SSE,0.104,0.1045,0.1054,0.1103,0.101,0.1102,0.1102,1245.0,131.536,4466.0
24,10000660.SH,20160721,SSE,0.1102,0.1102,0.1077,0.1077,0.0952,0.1006,0.1006,2658.0,265.8841,4485.0
23,10000660.SH,20160722,SSE,0.1006,0.1006,0.0985,0.1142,0.0983,0.1135,0.1135,2846.0,306.2639,4755.0
22,10000660.SH,20160725,SSE,0.1135,0.1135,0.1115,0.1143,0.1066,0.1108,0.1108,1584.0,174.6774,4857.0
21,10000660.SH,20160726,SSE,0.1108,0.1108,0.1111,0.1137,0.0873,0.0881,0.0881,6048.0,593.675,6380.0
20,10000660.SH,20160727,SSE,0.0881,0.0881,0.0859,0.1322,0.0845,0.1109,0.1109,9919.0,1097.6248,7102.0
19,10000660.SH,20160728,SSE,0.1109,0.1109,0.112,0.1147,0.0964,0.1007,0.1007,6836.0,703.8384,7354.0
18,10000660.SH,20160729,SSE,0.1007,0.1007,0.0991,0.1103,0.0981,0.107,0.107,3679.0,379.4576,7246.0
17,10000660.SH,20160801,SSE,0.107,0.107,0.11,0.1213,0.1058,0.1138,0.1139,4911.0,558.3829,7562.0
16,10000660.SH,20160802,SSE,0.1139,0.1138,0.1138,0.1199,0.1087,0.1142,0.1142,2836.0,326.1974,7199.0
15,10000660.SH,20160803,SSE,0.1142,0.1142,0.1175,0.1213,0.1088,0.1157,0.1157,4314.0,490.7753,7627.0
14,10000660.SH,20160804,SSE,0.1157,0.1157,0.1165,0.1299,0.112,0.1184,0.1178,6116.0,747.0504,7160.0
13,10000660.SH,20160805,SSE,0.1178,0.1184,0.1188,0.1206,0.1002,0.1091,0.1091,4195.0,464.0118,7386.0
12,10000660.SH,20160808,SSE,0.1091,0.1091,0.1105,0.1193,0.1004,0.1004,0.1004,5130.0,553.8347,7174.0
11,10000660.SH,20160809,SSE,0.1004,0.1004,0.1002,0.1008,0.0828,0.0861,0.0861,6794.0,619.4266,7046.0
10,10000660.SH,20160810,SSE,0.0861,0.0861,0.0869,0.0887,0.0811,0.0875,0.0875,3599.0,305.1705,6942.0
9,10000660.SH,20160811,SSE,0.0875,0.0875,0.0873,0.0881,0.054,0.0808,0.0808,12532.0,863.5553,7476.0
8,10000660.SH,20160812,SSE,0.0808,0.0808,0.0787,0.0805,0.0418,0.0429,0.0429,13511.0,807.7617,9415.0
7,10000660.SH,20160815,SSE,0.0429,0.0429,0.0413,0.0413,0.0094,0.0139,0.0139,61075.0,1108.5764,26070.0
6,10000660.SH,20160816,SSE,0.0139,0.0139,0.0133,0.02,0.0104,0.0169,0.0169,32873.0,487.1623,27510.0
5,10000660.SH,20160817,SSE,0.0169,0.0169,0.0156,0.0213,0.0101,0.0159,0.0159,26362.0,438.2316,29644.0
4,10000660.SH,20160818,SSE,0.0159,0.0159,0.0159,0.0237,0.008,0.0175,0.0175,25789.0,391.6506,30427.0
3,10000660.SH,20160819,SSE,0.0175,0.0175,0.0189,0.0254,0.0098,0.012,0.012,26477.0,481.632,27479.0
2,10000660.SH,20160822,SSE,0.012,0.012,0.0118,0.0209,0.0097,0.0188,0.0188,16629.0,272.9583,22888.0
1,10000660.SH,20160823,SSE,0.0188,0.0188,0.019,0.0206,0.0081,0.0152,0.0152,21834.0,294.1337,16747.0
0,10000660.SH,20160824,SSE,0.0152,0.0152,0.0143,0.0291,0.0103,0.027,0.02,24122.0,469.3647,2143.0
