,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
20,10000340.SH,20150824,SSE,0.0684,0.0684,0.0918,0.2651,0.0904,0.2651,0.2651,10887.0,2174.6452,4298.0
19,10000340.SH,20150825,SSE,0.2651,0.2651,0.33,0.4297,0.236,0.3903,0.3903,7482.0,2202.9825,3016.0
18,10000340.SH,20150826,SSE,0.3903,0.3903,0.3607,0.3953,0.2237,0.3691,0.3691,3517.0,1172.0097,2915.0
17,10000340.SH,20150827,SSE,0.3691,0.3691,0.3362,0.3362,0.2219,0.2286,0.2275,2176.0,609.8919,2805.0
16,10000340.SH,20150828,SSE,0.2275,0.2286,0.2054,0.2265,0.1843,0.1921,0.1921,3245.0,658.4614,3774.0
15,10000340.SH,20150831,SSE,0.1921,0.1921,0.1995,0.2424,0.1889,0.197,0.197,2753.0,577.4693,3883.0
14,10000340.SH,20150901,SSE,0.197,0.197,0.1898,0.2422,0.1808,0.202,0.202,4033.0,823.2199,4421.0
13,10000340.SH,20150902,SSE,0.202,0.202,0.23,0.23,0.15,0.1915,0.1915,3713.0,687.8239,4655.0
12,10000340.SH,20150907,SSE,0.1915,0.1915,0.1612,0.1693,0.1212,0.164,0.164,2659.0,381.7423,4515.0
11,10000340.SH,20150908,SSE,0.164,0.164,0.1648,0.1699,0.076,0.0837,0.0837,3684.0,446.1245,4430.0
10,10000340.SH,20150909,SSE,0.0837,0.0837,0.0799,0.0799,0.0576,0.0664,0.0664,2892.0,193.7372,4248.0
9,10000340.SH,20150910,SSE,0.0664,0.0664,0.077,0.078,0.0476,0.0502,0.0502,2912.0,172.4786,4091.0
8,10000340.SH,20150911,SSE,0.0502,0.0502,0.05,0.0517,0.042,0.046,0.046,2278.0,105.0577,4278.0
7,10000340.SH,20150914,SSE,0.046,0.046,0.037,0.0857,0.0367,0.065,0.065,4242.0,277.0024,4601.0
6,10000340.SH,20150915,SSE,0.065,0.065,0.067,0.0774,0.0581,0.0668,0.0668,3495.0,240.907,4355.0
5,10000340.SH,20150916,SSE,0.0668,0.0668,0.0676,0.0676,0.012,0.0196,0.0196,5095.0,223.8453,3909.0
4,10000340.SH,20150917,SSE,0.0196,0.0196,0.0201,0.0301,0.0149,0.0301,0.0301,3592.0,72.6874,3888.0
3,10000340.SH,20150918,SSE,0.0301,0.0301,0.025,0.0265,0.0157,0.017,0.017,3459.0,70.7108,3508.0
2,10000340.SH,20150921,SSE,0.017,0.017,0.0176,0.0285,0.0063,0.0071,0.0071,1967.0,23.7212,3407.0
1,10000340.SH,20150922,SSE,0.0071,0.0071,0.0065,0.0065,0.0006,0.0008,0.0008,1059.0,1.7307,2870.0
0,10000340.SH,20150923,SSE,0.0008,0.0008,0.002,0.003,0.0001,0.0001,0.0,1153.0,1.8401,2365.0
