,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
16,10000712.SH,20160927,SSE,0.0022,0.0022,0.0028,0.0031,0.0016,0.0018,0.0018,1916.0,4.0288,1465.0
15,10000712.SH,20160928,SSE,0.0018,0.0018,0.0018,0.0025,0.0017,0.0023,0.0023,2017.0,4.2768,2568.0
14,10000712.SH,20160929,SSE,0.0023,0.0023,0.0022,0.0022,0.0011,0.0014,0.0014,3493.0,5.3187,5060.0
13,10000712.SH,20160930,SSE,0.0014,0.0014,0.0016,0.002,0.0013,0.0019,0.0019,4288.0,7.6066,8324.0
12,10000712.SH,20161010,SSE,0.0019,0.0019,0.0011,0.0013,0.0009,0.0009,0.0009,3403.0,3.902,9584.0
11,10000712.SH,20161011,SSE,0.0009,0.0009,0.001,0.001,0.0006,0.0007,0.0007,2147.0,1.5487,9834.0
10,10000712.SH,20161012,SSE,0.0007,0.0007,0.0008,0.0009,0.0004,0.0004,0.0004,1488.0,0.8076,10170.0
9,10000712.SH,20161013,SSE,0.0004,0.0004,0.0005,0.0005,0.0003,0.0004,0.0004,1246.0,0.4605,10443.0
8,10000712.SH,20161014,SSE,0.0004,0.0004,0.0007,0.0007,0.0003,0.0004,0.0004,1363.0,0.4929,10999.0
7,10000712.SH,20161017,SSE,0.0004,0.0004,0.0003,0.0004,0.0003,0.0003,0.0003,829.0,0.2845,11145.0
6,10000712.SH,20161018,SSE,0.0003,0.0003,0.0004,0.0004,0.0003,0.0003,0.0003,1588.0,0.5494,11183.0
5,10000712.SH,20161019,SSE,0.0003,0.0003,0.0002,0.0003,0.0002,0.0002,0.0003,737.0,0.1779,11195.0
4,10000712.SH,20161020,SSE,0.0003,0.0002,0.0002,0.0002,0.0001,0.0001,0.0002,669.0,0.1186,11220.0
3,10000712.SH,20161021,SSE,0.0002,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,1160.0,0.1449,10714.0
2,10000712.SH,20161024,SSE,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,1647.0,0.1749,10992.0
1,10000712.SH,20161025,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,27.0,0.0027,11003.0
0,10000712.SH,20161026,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,76.0,0.0076,11016.0
