time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,y_test_model1,y_test_model2,y_test_model3,y_test_model4,y_test_model6,y_test_model7,y_test_model9,y_test_model11,y_real
1509,0.45561272,-0.791486922,1.58962973,0.315417073,3.867591193,2.176075247,2.545038477,3.431740018,8.110739668,-3.622484847,2.053350587,0.645909233,5.376123169,-4.306356869,-1.583631079,1.163304982,2.433225566,-4.104437605,0.421414331,-1.157011933,-0.620758801,-2.715909462,-1.24082237,-0.295932075,1,1,1,0,1,1,1,1,1
1510,3.867591193,2.176075247,2.545038477,3.431740018,8.110739668,-3.622484847,2.053350587,0.645909233,5.376123169,-4.306356869,-1.583631079,1.163304982,2.433225566,-4.104437605,0.421414331,-1.157011933,-0.620758801,-2.715909462,-1.24082237,-0.295932075,-0.790133887,-1.524892841,2.902561825,-1.690943589,0,0,0,0,0,0,0,0,0
1511,8.110739668,-3.622484847,2.053350587,0.645909233,5.376123169,-4.306356869,-1.583631079,1.163304982,2.433225566,-4.104437605,0.421414331,-1.157011933,-0.620758801,-2.715909462,-1.24082237,-0.295932075,-0.790133887,-1.524892841,2.902561825,-1.690943589,-0.770852706,-1.732373453,2.024290536,-1.488778902,0,0,0,0,0,0,0,0,0
1512,5.376123169,-4.306356869,-1.583631079,1.163304982,2.433225566,-4.104437605,0.421414331,-1.157011933,-0.620758801,-2.715909462,-1.24082237,-0.295932075,-0.790133887,-1.524892841,2.902561825,-1.690943589,-0.770852706,-1.732373453,2.024290536,-1.488778902,-0.735256707,-1.955488088,1.160526509,-1.306604681,0,0,0,0,0,0,0,0,0
1601,2.433225566,-4.104437605,0.421414331,-1.157011933,-0.620758801,-2.715909462,-1.24082237,-0.295932075,-0.790133887,-1.524892841,2.902561825,-1.690943589,-0.770852706,-1.732373453,2.024290536,-1.488778902,-0.735256707,-1.955488088,1.160526509,-1.306604681,-1.124546263,-2.8561379,-2.710004152,0.267336678,0,0,0,0,0,0,0,0,0
1602,-0.620758801,-2.715909462,-1.24082237,-0.295932075,-0.790133887,-1.524892841,2.902561825,-1.690943589,-0.770852706,-1.732373453,2.024290536,-1.488778902,-0.735256707,-1.955488088,1.160526509,-1.306604681,-1.124546263,-2.8561379,-2.710004152,0.267336678,-0.918490982,-2.007657047,0.502893029,-0.923986789,0,0,0,0,0,0,0,0,0
1603,-0.790133887,-1.524892841,2.902561825,-1.690943589,-0.770852706,-1.732373453,2.024290536,-1.488778902,-0.735256707,-1.955488088,1.160526509,-1.306604681,-1.124546263,-2.8561379,-2.710004152,0.267336678,-0.918490982,-2.007657047,0.502893029,-0.923986789,-0.86543483,-1.008739451,1.157451164,-0.6439654,0,0,0,0,0,0,0,0,0
1604,-0.770852706,-1.732373453,2.024290536,-1.488778902,-0.735256707,-1.955488088,1.160526509,-1.306604681,-1.124546263,-2.8561379,-2.710004152,0.267336678,-0.918490982,-2.007657047,0.502893029,-0.923986789,-0.86543483,-1.008739451,1.157451164,-0.6439654,-0.820351644,-0.811649108,0.889549226,-0.492509718,0,0,0,0,0,0,0,0,0
1605,-0.735256707,-1.955488088,1.160526509,-1.306604681,-1.124546263,-2.8561379,-2.710004152,0.267336678,-0.918490982,-2.007657047,0.502893029,-0.923986789,-0.86543483,-1.008739451,1.157451164,-0.6439654,-0.820351644,-0.811649108,0.889549226,-0.492509718,-1.027142607,-1.12572699,-0.207099239,-0.097619571,0,0,0,0,0,0,0,0,0
1606,-1.124546263,-2.8561379,-2.710004152,0.267336678,-0.918490982,-2.007657047,0.502893029,-0.923986789,-0.86543483,-1.008739451,1.157451164,-0.6439654,-0.820351644,-0.811649108,0.889549226,-0.492509718,-1.027142607,-1.12572699,-0.207099239,-0.097619571,-1.010519637,-0.714480928,0.787006623,-0.29115384,0,0,0,0,0,0,0,0,0
