time,ccl,cje,cjl,avgprice,jc,price,per,apper,avgper
2004,443465,2.16E+12,2086019,5191.67586,-21.8595,5332,0.055089441,-0.030006347,0.012541547
2005,437710,1.601E+12,1486326,5393.489,-87.5403,5318.8,-0.002475619,0.038872446,0.018198414
2006,372082,1.607E+12,1435224,5614.0942,-44.8893,5744.2,0.079980447,0.040902132,0.060441289
2007,461901,3.415E+12,2674477,6365.3186,-63.6696,6516,0.134361617,0.133810437,0.134086027
2008,450401,2.709E+12,2057970,6585.20085,-31.2096,6660,0.022099448,0.034543793,0.02832162
2009,533186,2.896E+12,2268018,6363.26084,-29.5045,6163,-0.074624625,-0.033702846,-0.054163735
2010,279112,1.48627E+12,1180550,6319.5528,-43.2803,6068.2,-0.015382119,-0.006868812,-0.011125465
2011,432623,1.931E+12,1531533,6310.076225,-7.6119,6344,0.045450051,-0.001499564,0.021975243
2012,493513,2.285E+12,1813217,6298.40618,-19.1149,6348,0.000630517,-0.00184943,-0.000609457
2101,233682,1.724E+12,1331242,6473.91,-32.5371,6313.6,-0.00541903,0.027864799,0.011222885
2102,374432,1.318E+12,1021902,6454.10675,-43.9529,6320.4,0.00107704,-0.003058932,-0.000990946
2103,319576,1.78E+12,1426166,6238.271625,-19.3941,6232.4,-0.013923169,-0.033441518,-0.023682344
2104,400669,1.673E+12,1321494,6329.41104,-8.1075,6477.6,0.039342789,0.014609722,0.026976256
2105,372127,1.183E+12,907022,6514.170725,-16.3696,6651.8,0.026892676,0.02919066,0.028041668
2106,281673,1.342E+12,1006767,6666.649225,-13.6138,6799.8,0.022249617,0.0234072,0.022828409
2107,449347,1.942E+12,1428817,6797.78434,-8.716,6758.6,-0.006059002,0.019670319,0.006805658
2108,449299,1.489E+12,1072012,6942.18955,-73.3088,7106.8,0.051519545,0.021242982,0.036381264
2109,529201,2.197E+12,1498470,7326.78554,-8.4076,7095.2,-0.00163224,0.055399811,0.026883786
2110,239459,1.07314E+12,762945,7040.765175,-7.0992,7015.4,-0.01124704,-0.039037633,-0.025142337
2111,424147,1.215E+12,856328,7102.7429,-23.4622,7196.4,0.025800382,0.008802697,0.01730154
2112,484251,1.738E+12,1193761,7284.68466,12.3976,7371.8,0.024373298,0.025615704,0.024994501
2201,321766,1.232E+12,873125,7075.377425,-19.53,6561,-0.109986706,-0.028732505,-0.069359605
2202,352306,9.64E+11,711435,6775.863933,-1.2311,6818.2,0.039201341,-0.042331804,-0.001565231
2203,436257,1.712E+12,1335623,6441.9634,-57.2376,6211,-0.089055763,-0.049277928,-0.069166845
2204,496904,2.021E+12,1721551,5970.11874,-8.9021,5619,-0.095314764,-0.073245474,-0.084280119
2205,538147,1.521E+12,1326597,5711.92905,-54.915,5845,0.04022068,-0.043246994,-0.001513157
2206,547370,2.006E+12,1630282,6138.6439,-19.6827,6348.6,0.08615911,0.074705909,0.08043251
2207,397752,2.079E+12,1639122,6337.60956,-38.9144,6255.2,-0.014711905,0.032411989,0.008850042
2208,478393,1.427E+12,1131512,6319.803575,-29.3739,6269,0.002206164,-0.002809574,-0.000301705
2209,580946,1.851E+12,1526542,6068.19948,-3.8629,5710.2,-0.089137023,-0.039812012,-0.064474518
2210,273301,1.135E+12,964129,5892.472633,-10.7972,5771,0.010647613,-0.028958647,-0.009155517
2211,492737,1.373E+12,1125770,6107.710875,8.3409,6096.2,0.056350719,0.036527661,0.04643919
2212,446702,1.472E+12,1212381,6050.10434,6.3331,5870.8,-0.036973853,-0.009431772,-0.023202812
2301,153576,6.21E+11,512006,6061.496367,-7.2337,6244.2,0.063602916,0.001882947,0.032742932
2302,414989,1.052E+12,830729,6330.24875,-1.4435,6339.4,0.015246148,0.04433763,0.029791889
2303,252440,8.36E+11,664574,6282.601433,14.1683,6155,-0.029087926,-0.007526926,-0.018307426
