time,normper,normcjl,normcje,normjc,normccl,y1,y2,y3,y4
1504,1.016110307,0.405803163,0.567417277,-0.798668192,-1.146464444,0.45561272044925194,-0.7914869224807062,1.5896297296317674,0.31541707254582363
1505,2.758850739,3.183666699,3.794759195,2.315520273,-0.665109974,3.867591192805799,2.176075247397977,2.5450384774479886,3.4317400181682753
1506,0.164809472,4.862673043,6.459053339,-4.275201142,-0.639693951,8.110739667511094,-3.6224848468266244,2.0533505872751627,0.6459092334253582
1507,-3.421036943,4.011008445,3.746241248,-2.953123096,-0.974182673,5.376123169235262,-4.306356869122089,-1.583631079322488,1.1633049819754064
1508,-1.25718559,1.492632753,1.380841614,-4.179370041,-1.081424318,2.433225566432366,-4.104437605471574,0.42141433148682816,-1.1570119328480484
1509,-2.265296217,-0.502093239,-0.426560906,-1.618705335,-1.096900556,-0.6207588007643368,-2.7159094621633972,-1.2408223700231686,-0.2959320749515739
1510,2.124756755,-0.876153836,-0.66030959,-2.659323362,-1.201787887,-0.7901338866266845,-1.5248928407117255,2.902561824601131,-1.690943589465915
1511,1.226300538,-0.853093784,-0.630134423,-2.466521588,-1.094240945,-0.7708527063587023,-1.7323734530471282,2.0242905355179923,-1.4887789018065547
1512,0.336926139,-0.817561773,-0.598779849,-2.30443253,-0.98487983,-0.7352567070968308,-1.9554880875756186,1.160526509162977,-1.3066046810592216
1601,-3.71429132,-0.809354606,-0.627783399,-0.8910183,-1.099812625,-1.1245462626136045,-2.856137900317924,-2.710004152090393,0.2673366779191484
1602,-0.323432831,-0.853825423,-0.663441693,-1.894149552,-1.058591581,-0.9184909822414924,-2.0076570466853454,0.5028930289432779,-0.9239867893681658
1603,0.660552827,-0.716737213,-0.575493631,-1.193729202,-0.902672586,-0.865434830357656,-1.008739451168428,1.1574511635704798,-0.6439653996028047
1604,0.4893972,-0.667181095,-0.526379094,-0.907064082,-0.762382479,-0.8203516443782319,-0.8116491081350994,0.8895492257690615,-0.49250971779717834
1605,-0.678643395,-0.753985681,-0.595933463,-0.559573365,-0.824299176,-1.0271426065856828,-1.1257269900566338,-0.207099239313399,-0.09761957081859018
