time,per,cjl,cje,jc,ccl,price,avgp
170106,1.9591,23799,30091944120,-32.6168,18299,6339,6322.1026
170113,-2.4905,31419,39636267360,-16.2575,16379,6178.4,6307.6908
170120,-1.8397,39544,47920453120,-39.1983,17050,6082.8,6059.1307
170126,1.619,22364,27437476120,-34.9061,16655,6188.8,6134.2953
170203,-0.2524,5183,6378474920,-42.0921,16991,6165,6153.2654
170210,2.1852,32813,40887950360,-42.9081,12676,6294.2,6230.4499
170217,-1.2713,31395,39563711360,-94.1627,22146,6213,6300.9574
170224,3.1771,46869,59496616160,-65.5655,24494,6410.6,6347.1182
170303,-0.1437,49948,63783288800,-59.839,23929,6393,6384.9692
170310,0.1218,44973,57849289560,-37.5165,18588,6410.4,6431.5578
170317,0.0156,47719,61796382600,-73.2463,22976,6410,6475.0291
170324,1.4642,52675,67817896320,-18.815,23524,6527.8,6437.3893
170331,-2.0631,52183,67201481160,-21.4479,21670,6380.2,6439.0205
170407,2.907,29308,38227174560,-22.726,20074,6556,6521.628
170414,-0.5886,48938,64298778440,-9.3624,18249,6518.8,6569.4122
170421,-4.0023,51618,65881494080,-40.5128,18425,6260.2,6381.6396
170428,-1.3346,54492,66985471680,-31.4624,18526,6180.4,6146.3583
170505,-1.8376,39163,48157224160,-31.8828,18682,6057.8,6148.3063
170512,-4.1453,65340,77175880160,-36.5832,15892,5827.2,5905.7147
170519,1.5978,49737,59047120200,-61.3772,25906,5913.6,5935.935
170526,-1.7206,77935,90253750400,-22.3338,26709,5814.6,5790.3221
170602,-1.0628,44761,51517031080,-19.3174,26523,5753.2,5754.6783
170609,3.6206,71169,83602407000,-4.8741,20987,5964.4,5873.5128
170616,-0.0168,59482,70828213320,-55.3996,21593,5957.6,5953.7518
170623,-0.161,67117,80424896520,-57.1137,22956,5953.2,5991.3954
170630,2.7745,60387,73196713360,-40.9556,21126,6097.2,6060.635
170707,1.3141,52549,64507815480,-42.8108,20019,6183.2,6137.8728
170714,-1.5001,60641,74160438720,-35.3397,17244,6093.4,6114.7111
170721,-0.8209,57409,68457781280,-84.9083,16405,6041.2,5962.2865
170728,2.3362,60657,73866129560,-30.2633,18718,6185.2,6088.838
170804,0.0453,55052,68718731600,-39.9151,18578,6185.2,6241.2566
170811,-1.2546,55466,69381792080,-21.9903,17142,6139.2,6254.4435
170818,2.1182,50959,64077545440,-61.1557,24954,6286.6,6287.1667
170825,0.6202,54596,68894713720,-19.3305,25732,6327.2,6309.502
170901,3.0658,52293,67351771920,2.0954,24156,6528.6,6439.8459
170908,0.5061,49051,64389866800,-20.9826,20747,6553.2,6563.5631
170915,1.3546,49134,65395313520,7.1562,0,6629.2,6654.7924
170922,-1.4616,55710,73744112040,-39.8096,20655,6532.2,6618.5705
