,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB
,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS
,开盘价,收盘价,最高价,最低价,前收盘价,均价,涨跌,涨跌幅,成交量,成交金额,换手率,振幅
2015-05-12,2.3632,2.3632,2.3632,2.3632,0,2.3632,0,0,0,0,0,0
2015-05-13,2.2815,2.2815,2.2815,2.2815,0,2.2815,0,0,0,0,0,0
2015-05-14,2.2037,2.2037,2.2037,2.2037,0,2.2037,0,0,0,0,0,0
2015-05-15,2.1962,2.1962,2.1962,2.1962,0,2.1962,0,0,0,0,0,0
2015-05-18,2.2463,2.2463,2.2463,2.2463,0,2.2463,0,0,0,0,0,0
2015-05-19,2.3114,2.3114,2.3114,2.3114,0,2.3114,0,0,0,0,0,0
2015-05-20,2.2903,2.2903,2.2903,2.2903,0,2.2903,0,0,0,0,0,0
2015-05-21,2.3142,2.3142,2.3142,2.3142,0,2.3142,0,0,0,0,0,0
2015-05-22,2.3198,2.3198,2.3198,2.3198,0,2.3198,0,0,0,0,0,0
2015-05-25,2.3403,2.3403,2.3403,2.3403,0,2.3403,0,0,0,0,0,0
2015-05-26,2.4014,2.4014,2.4014,2.4014,0,2.4014,0,0,0,0,0,0
2015-05-27,2.39,2.39,2.39,2.39,0,2.39,0,0,0,0,0,0
2015-05-28,2.4235,2.4235,2.4235,2.4235,0,2.4235,0,0,0,0,0,0
2015-05-29,2.4364,2.4364,2.4364,2.4364,0,2.4364,0,0,0,0,0,0
2015-05-31,2.37,2.37,2.37,2.37,0,2.37,0,0,0,0,0,0
2015-06-01,2.3967,2.3967,2.3967,2.3967,0,2.3967,0,0,0,0,0,0
2015-06-02,2.3726,2.3726,2.3726,2.3726,0,2.3726,0,0,0,0,0,0
2015-06-03,2.4093,2.4093,2.4093,2.4093,0,2.4093,0,0,0,0,0,0
2015-06-04,2.4644,2.4644,2.4644,2.4644,0,2.4644,0,0,0,0,0,0
2015-06-05,2.391,2.391,2.391,2.391,0,2.391,0,0,0,0,0,0
2015-06-08,2.3581,2.3581,2.3581,2.3581,0,2.3581,0,0,0,0,0,0
2015-06-09,2.3667,2.3667,2.3667,2.3667,0,2.3667,0,0,0,0,0,0
2015-06-10,2.4053,2.4053,2.4053,2.4053,0,2.4053,0,0,0,0,0,0
2015-06-11,2.436,2.436,2.436,2.436,0,2.436,0,0,0,0,0,0
2015-06-12,2.4419,2.4419,2.4419,2.4419,0,2.4419,0,0,0,0,0,0
2015-06-15,2.4833,2.4833,2.4833,2.4833,0,2.4833,0,0,0,0,0,0
2015-06-16,2.5146,2.5146,2.5146,2.5146,0,2.5146,0,0,0,0,0,0
2015-06-17,2.5533,2.5533,2.5533,2.5533,0,2.5533,0,0,0,0,0,0
2015-06-18,2.5597,2.5597,2.5597,2.5597,0,2.5597,0,0,0,0,0,0
2015-06-19,2.5455,2.5455,2.5455,2.5455,0,2.5455,0,0,0,0,0,0
2015-06-23,2.5901,2.5901,2.5901,2.5901,0,2.5901,0,0,0,0,0,0
2015-06-24,2.6529,2.6529,2.6529,2.6529,0,2.6529,0,0,0,0,0,0
2015-06-25,2.5234,2.5234,2.5234,2.5234,0,2.5234,0,0,0,0,0,0
2015-06-26,2.5086,2.5086,2.5086,2.5086,0,2.5086,0,0,0,0,0,0
2015-06-29,2.4329,2.4329,2.4329,2.4329,0,2.4329,0,0,0,0,0,0
2015-06-30,2.4792,2.4792,2.4792,2.4792,0,2.4792,0,0,0,0,0,0
2015-07-01,2.4163,2.4163,2.4163,2.4163,0,2.4163,0,0,0,0,0,0
2015-07-02,2.4659,2.4659,2.4659,2.4659,0,2.4659,0,0,0,0,0,0
2015-07-03,2.5022,2.5022,2.5022,2.5022,0,2.5022,0,0,0,0,0,0
2015-07-06,2.4231,2.4231,2.4231,2.4231,0,2.4231,0,0,0,0,0,0
2015-07-07,2.412,2.412,2.412,2.412,0,2.412,0,0,0,0,0,0
2015-07-08,2.416,2.416,2.416,2.416,0,2.416,0,0,0,0,0,0
2015-07-09,2.4454,2.4454,2.4454,2.4454,0,2.4454,0,0,0,0,0,0
2015-07-10,2.4661,2.4661,2.4661,2.4661,0,2.4661,0,0,0,0,0,0
2015-07-13,2.4745,2.4745,2.4745,2.4745,0,2.4745,0,0,0,0,0,0
2015-07-14,2.549,2.549,2.549,2.549,0,2.549,0,0,0,0,0,0
2015-07-15,2.5678,2.5678,2.5678,2.5678,0,2.5678,0,0,0,0,0,0
2015-07-16,2.4929,2.4929,2.4929,2.4929,0,2.4929,0,0,0,0,0,0
2015-07-20,2.4666,2.4666,2.4666,2.4666,0,2.4666,0,0,0,0,0,0
2015-07-21,2.5142,2.5142,2.5142,2.5142,0,2.5142,0,0,0,0,0,0
2015-07-22,2.5455,2.5455,2.5455,2.5455,0,2.5455,0,0,0,0,0,0
2015-07-23,2.5518,2.5518,2.5518,2.5518,0,2.5518,0,0,0,0,0,0
2015-07-24,2.541,2.541,2.541,2.541,0,2.541,0,0,0,0,0,0
2015-07-27,2.5475,2.5475,2.5475,2.5475,0,2.5475,0,0,0,0,0,0
2015-07-29,2.491,2.491,2.491,2.491,0,2.491,0,0,0,0,0,0
2015-07-30,2.5085,2.5085,2.5085,2.5085,0,2.5085,0,0,0,0,0,0
2015-07-31,2.5444,2.5444,2.5444,2.5444,0,2.5444,0,0,0,0,0,0
2015-08-03,2.5162,2.5162,2.5162,2.5162,0,2.5162,0,0,0,0,0,0
2015-08-04,2.5125,2.5125,2.5125,2.5125,0,2.5125,0,0,0,0,0,0
2015-08-05,2.4979,2.4979,2.4979,2.4979,0,2.4979,0,0,0,0,0,0
2015-08-06,2.4643,2.4643,2.4643,2.4643,0,2.4643,0,0,0,0,0,0
2015-08-07,2.4724,2.4724,2.4724,2.4724,0,2.4724,0,0,0,0,0,0
2015-08-10,2.4897,2.4897,2.4897,2.4897,0,2.4897,0,0,0,0,0,0
2015-08-11,2.5521,2.5521,2.5521,2.5521,0,2.5521,0,0,0,0,0,0
2015-08-12,2.5554,2.5554,2.5554,2.5554,0,2.5554,0,0,0,0,0,0
2015-08-13,2.5373,2.5373,2.5373,2.5373,0,2.5373,0,0,0,0,0,0
2015-08-14,2.5636,2.5636,2.5636,2.5636,0,2.5636,0,0,0,0,0,0
2015-08-17,2.577,2.577,2.577,2.577,0,2.577,0,0,0,0,0,0
2015-08-18,2.582,2.582,2.582,2.582,0,2.582,0,0,0,0,0,0
2015-08-20,2.5947,2.5947,2.5947,2.5947,0,2.5947,0,0,0,0,0,0
2015-08-24,2.5753,2.5753,2.5753,2.5753,0,2.5753,0,0,0,0,0,0
2015-08-25,2.5686,2.5686,2.5686,2.5686,0,2.5686,0,0,0,0,0,0
2015-08-27,2.4101,2.4101,2.4101,2.4101,0,2.4101,0,0,0,0,0,0
2015-08-28,2.4231,2.4231,2.4231,2.4231,0,2.4231,0,0,0,0,0,0
2015-08-31,2.5245,2.5245,2.5245,2.5245,0,2.5245,0,0,0,0,0,0
2015-09-01,2.42,2.42,2.42,2.42,0,2.42,0,0,0,0,0,0
2015-09-02,2.4395,2.4395,2.4395,2.4395,0,2.4395,0,0,0,0,0,0
2015-09-06,2.4445,2.4445,2.4445,2.4445,0,2.4445,0,0,0,0,0,0
