time,normper,normcjl,normcje,normjc,normccl,y1,y2,y3,y4
150417,-0.212704916,-0.017811192,0.117187367,-2.18748817,-1.064221907,-0.14686543140559105,-2.143446169369094,0.8936736758651677,-0.7498001993746104
150424,1.74766383,1.550857247,1.602310304,-0.551864167,-0.93968142,1.6656316029077864,-0.017046936421317882,2.531549562614735,0.08105037112934335
150430,0.087989721,1.273026663,1.401618015,-1.0397787,-0.899734471,1.529708311772861,-1.2223285439027236,1.2628480815784093,0.22647208662504487
150508,-0.587780945,1.316892912,1.403979101,0.221754129,-0.901924595,1.5504447276472204,-0.7044860425148464,0.5035443780876656,1.3238355891334783
150515,1.530726832,2.173312871,2.367302088,-1.44299854,-0.632584975,2.7529180086742064,-0.6929236953305838,2.6309080511305964,-0.4137979783412357
150522,3.288799142,4.037991778,4.586722694,0.135657455,-0.412591585,5.296653818366044,1.2646269766752236,4.283759291402958,0.5730448197865243
150529,1.013566628,5.405005125,6.758921585,2.528113532,-0.358933548,7.723581221319943,1.5421021792001814,2.726681625279832,3.542571118069748
150605,2.115485055,5.579524583,7.443636452,-1.849009825,-0.497687027,8.384384761778154,-1.0552101523055213,4.701581235465243,0.4286912833012728
150612,1.159422253,5.063179531,6.829754157,-0.879772575,-0.603223625,7.630482481825857,-0.8837265927880551,3.6307174240690907,1.3010539835855974
150619,-3.372709333,4.394012794,5.885319857,0.630902347,-0.545550361,6.890607297418068,-2.171032372719039,-0.457255991516089,3.5904015442029116
150626,-3.826645353,4.605077825,5.460324421,-5.022805109,-0.560812787,7.095154081612975,-6.369686232044682,0.2602041149578014,-0.15795845725377466
150703,-3.732306699,7.767655138,7.254749592,1.215683774,-0.713779258,10.008359837530307,-2.200509823524432,-0.02201213617245079,4.84132547888174
150710,-0.777243971,1.249458464,1.078149268,0.130485146,-1.005567649,1.2795360347625895,-0.8920330046725232,0.3495503942746867,1.3149823674943162
150717,2.352353123,1.066049319,1.03801081,-1.117690056,-1.027309192,0.9192855624886839,-0.07349158711365489,2.960708056912444,-0.6258445296988697
150724,0.65391688,2.679566703,2.579799805,-4.972848259,-1.002761553,3.379031732876333,-3.8436126996906226,2.9870550815587467,-2.194466837489704
150731,-2.444172885,2.504151257,2.2492478,-3.508114511,-1.030434682,3.2242486055570696,-4.479856860013358,0.2525702479557649,-0.20082411204339534
150807,1.742111416,1.515290242,1.418145616,-1.430902696,-1.010860449,1.5460168369317557,-0.6552995226580173,2.6945033217494085,-0.5140752351103764
150814,1.855359706,1.319915322,1.441756473,-2.258617442,-1.027012613,1.459082886415552,-1.1810688610402504,2.937269343386344,-1.1214674344040367
150821,-3.766747379,1.49205649,1.519672303,-4.477504477,-0.957681501,2.254528496772001,-5.77109644114263,-0.8960231497684423,-0.7034938966501634
150828,-3.066514664,1.849291425,1.222175498,-4.913012447,-0.928183269,2.274220756323545,-5.667493648042486,-0.32057070518327646,-1.284320903205267
