time,per,cjl,cje,jc,ccl
170915,1.3546,49134,65395313520,7.1562,0
170922,-1.4616,55710,73744112040,-39.8096,20655
170929,0.8961,47882,62564044600,-5.0587,19512
171013,2.2015,46945,62672034360,12.1836,17400
171020,-2.4172,45954,60621410480,-23.424,0
171027,0.796,52763,69442537920,-29.4067,17809
171103,-3.4041,54576,70587128360,-64.9799,18125
171110,4.1866,48481,63237134400,-21.6164,15226
171117,-4.5466,46393,60743687600,-38.3415,23928
171124,-2.0172,60404,76578305960,-51.0287,24270
171201,0.3067,56513,70550650960,-37.4072,23391
171208,-1.6848,59654,73487604600,-29.1433,19800
171215,0.8477,43632,54548478720,-2.1608,0
171222,0.1432,49403,61298702840,0.3153,19358
171229,0.7281,46425,57581092200,29.9793,18882
180105,2.259,32735,41718133960,-16.4537,17964
180112,-0.0905,40355,51714615160,1.8263,15211
180119,-1.7826,40052,50348166680,8.62,0
180126,1.8478,45779,58268605800,13.3688,16182
180202,-6.4188,50085,61773053680,-18.6494,15578
180209,-8.0029,56003,64490547600,-50.8974,12730
180214,4.1629,22440,25569380440,-24.8344,3613
180223,1.7584,18446,21428102800,-64.2765,23047
180302,3.6157,51302,61501084320,-21.1354,22155
180309,2.8915,50859,61842240880,-8.1754,18511
180316,-0.339,45342,56400790360,27.8942,0
180323,-8.2372,57499,69193726640,-121.5523,18999
180330,7.3364,60422,71624657640,-13.7382,20118
180404,-1.6976,31680,38282620800,-41.6863,20449
180413,0.5286,52047,62715386760,-17.1867,17716
180420,-1.6088,49245,58670881160,27.1641,0
180427,-0.973,52773,61723787760,-8.7836,18887
180504,0.6676,30126,35222597080,-28.2944,19121
180511,1.901,41238,49519635800,1.6576,17176
180518,-0.2904,46553,55677036520,-19.9497,28363
180525,-1.4328,47696,57208518720,-42.9978,27485
180601,-3.9023,53441,61583101280,-21.1155,26961
180608,0.2942,49401,56369690800,-10.7031,22063
180615,-2.6838,49378,55561873000,-1.3446,0
180622,-6.7864,53424,54657682440,-49.3228,24775
180629,1.7623,66768,67920164840,-32.3643,25577
180706,-4.6261,76635,77495510120,-48.6299,25642
180713,4.6657,66740,67812725200,-13.1855,19889
180720,-0.9243,61121,62976190680,-30.0516,21097
180727,1.51,57898,60766438880,-19.2904,20882
180803,-7.0075,66398,67255331400,-51.55,20323
180810,2.302,69575,68231837520,-17.7148,17726
180817,-5.4216,64174,63338019280,-65.0285,34093
180824,1.2932,73760,70770346320,-42.8887,32879
180831,-0.5571,62742,61179331960,-31.4237,32094
180907,-0.5593,70734,67946523400,-26.7779,31055
180914,-2.0951,70824,66506307200,-15.6799,24437
180921,2.5224,60346,56452934040,-17.2151,0
180928,0.6317,50825,48673804560,19.6713,24300
181012,-11.1555,74965,67305281480,-10.8353,22694
181019,-4.1018,67204,55608779120,-36.5854,0
181026,2.6668,87584,74002878200,-34.1585,21250
181102,5.75,89002,75916039840,-1.9456,23157
181109,-1.4082,79637,70204828400,0.1857,19864
181116,6.2354,78984,71989792480,-11.2965,43675
181123,-7.0204,95069,86091668240,-46.5644,40988
181130,-0.661,93170,80932267080,-48.4511,39513
181207,1.401,130281,1.16E+11,-24.9593,39049
181214,-1.4163,127839,1.12E+11,-7.5025,33996
181221,-3.0026,135886,1.16E+11,-25.144,38542
181228,-1.3787,149229,1.25E+11,-47.6363,40036
190104,1.8591,87216,71901861920,-3.0786,40767
190111,3.0297,143165,1.23E+11,-2.8757,35885
190118,0.506,110166,95166167800,-17.8112,0
190125,-0.5666,123166,1.07E+11,-8.4417,29114
190201,-0.342,132863,1.13E+11,18.9304,25952
190215,4.7555,115574,1.03E+11,-0.1348,59080
190222,6.6028,201731,1.88E+11,27.5023,60769
190301,6.4705,257016,2.59E+11,13.975,55455
190308,4.7796,309554,3.29E+11,50.7001,53454
190315,0.4958,241752,2.63E+11,-7.8087,0
190322,4.8597,303638,3.34E+11,-10.9402,59422
190329,-1.0725,304973,3.32E+11,-13.2561,58851
190404,6.3492,222408,2.57E+11,11.0425,57698
190412,-2.7597,275273,3.19E+11,-13.1676,49998
190419,1.5279,204456,2.34E+11,-28.9798,0
190426,-7.0002,342659,3.81E+11,-32.8306,60782
190430,-2.3761,166441,1.76E+11,-40.36,61840
190510,-4.419,461592,4.54E+11,-46.323,65145
190517,-3.712,324000,3.22E+11,-117.7792,86856
190524,-0.9957,407585,3.94E+11,-69.1573,86392
190531,0.6994,396816,3.86E+11,-103.2005,82306
190606,-4.1684,314990,2.99E+11,-66.9844,85560
190614,2.9798,405675,3.88E+11,-26.3267,68815
190621,4.3984,338263,3.30E+11,-46.3051,77065
190628,-1.1294,341281,3.36E+11,-30.4798,73139
190705,2.2542,307317,3.08E+11,-25.6599,69874
190712,-3.449,311522,3.01E+11,-18.5679,64746
190719,0.8929,253182,2.48E+11,2.7097,0
190726,-0.4507,290229,2.79E+11,-38.9099,66370
190802,-1.5288,267852,2.59E+11,-30.7198,65572
190809,-4.2686,297649,2.76E+11,-29.7526,61382
190816,2.1146,258973,2.41E+11,-57.8625,96524
190823,3.3954,323567,3.12E+11,-46.1024,98076
190830,0.2145,343110,3.34E+11,-27.494,98180
190906,6.4955,383205,3.88E+11,-3.2378,90315
190912,2.1243,283377,2.96E+11,-2.4115,71281
190920,-1.9094,290712,3.01E+11,-57.0848,75027
190927,-3.3432,354189,3.59E+11,-27.0299,75257
190930,-1.7861,63138,62602787840,-46.903,76255
191011,2.4147,258042,2.57E+11,0.0835,72199
191018,-1.3833,245634,2.49E+11,14.3928,0
191025,-0.0187,310613,3.05E+11,-20.3684,72664
191101,-0.3223,294692,2.92E+11,-14.1495,69820
191108,0.5502,317526,3.17E+11,-17.4938,62836
191115,-3.232,273123,2.66E+11,-48.0367,113365
191122,0.5178,359126,3.52E+11,-51.0828,121602
191129,0.5977,350218,3.41E+11,-13.9416,108742
191206,2.9644,328558,3.23E+11,5.0896,95822
191213,1.913,307080,3.09E+11,19.3142,77997
191220,2.3359,285982,2.98E+11,19.9248,78685
191227,-0.8906,333397,3.44E+11,-15.5929,78849
200103,3.8064,259342,2.74E+11,-2.6372,70973
200110,1.5413,360960,3.94E+11,-12.2279,65628
200117,0.6865,240218,2.66E+11,4.9547,0
200123,-3.0735,296669,3.26E+11,-31.3411,69629
200207,-0.7267,385084,3.91E+11,-26.6369,66379
200214,2.4448,366909,3.94E+11,-15.2025,63113
200221,7.127,398222,4.49E+11,-9.0321,121546
200228,-6.4184,730528,8.32E+11,-68.2897,126883
200306,4.8426,633171,7.16E+11,-82.8602,111369
200313,-4.4453,671067,7.36E+11,-10.2006,104696
200320,-4.6646,584185,6.06E+11,-52.4809,98494
200327,-1.7841,608946,6.18E+11,-83.7371,102434
200403,-0.515,559910,5.61E+11,-45.4393,96374
200410,2.8138,365100,3.82E+11,-12.7102,92119
200417,1.3157,394026,4.13E+11,-66.6547,85073
200424,-0.6741,417194,4.39E+11,-57.3474,85546
200430,2.4085,349789,3.65E+11,-21.8595,84353
200508,2.7874,239493,2.59E+11,-27.8965,77944
200515,-1.3687,361779,3.96E+11,-103.3336,122218
200522,-2.8977,454690,4.90E+11,-60.4268,122558
200529,0.7234,430364,4.56E+11,-87.5403,114990
200605,4.2207,402697,4.44E+11,-44.4231,105537
200612,0.8899,436977,4.86E+11,-13.2871,88231
200619,2.2732,377391,4.27E+11,-73.3482,92644
200624,0.3739,218159,2.50E+11,-44.8893,85670
200703,5.312,444244,5.20E+11,-16.7099,83464
200710,11.1347,531060,6.90E+11,12.7627,81989
200717,-5.8737,539188,7.16E+11,-43.5912,93207
200724,-1.7515,600974,7.76E+11,-79.9831,99535
