,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
27,10004999.SH,20230109,SSE,0.0106,,0.0106,0.0172,0.0106,0.0164,0.0164,9486.0,141.4247,5722.0
26,10004999.SH,20230110,SSE,0.0164,0.0164,0.0156,0.0176,0.0146,0.0155,0.0155,10442.0,166.4408,12320.0
25,10004999.SH,20230111,SSE,0.0155,0.0155,0.0157,0.0189,0.0145,0.0146,0.0146,10909.0,184.5383,17455.0
24,10004999.SH,20230112,SSE,0.0146,0.0146,0.0146,0.0163,0.0127,0.0145,0.0145,9828.0,142.217,22725.0
23,10004999.SH,20230113,SSE,0.0145,0.0145,0.0154,0.021,0.0142,0.021,0.021,15264.0,256.6627,28493.0
22,10004999.SH,20230116,SSE,0.021,0.021,0.0236,0.052,0.021,0.0334,0.0334,53676.0,1935.707,37639.0
21,10004999.SH,20230117,SSE,0.0334,0.0334,0.0357,0.0365,0.0272,0.0318,0.0318,29919.0,942.0525,43481.0
20,10004999.SH,20230118,SSE,0.0318,0.0318,0.032,0.0351,0.0247,0.026,0.026,30784.0,851.6583,43505.0
19,10004999.SH,20230119,SSE,0.026,0.026,0.0257,0.032,0.0197,0.0303,0.0303,40626.0,1087.781,54629.0
18,10004999.SH,20230120,SSE,0.0303,0.0303,0.0349,0.0395,0.0281,0.0293,0.0293,66704.0,2181.9577,53991.0
17,10004999.SH,20230130,SSE,0.0293,0.0293,0.042,0.0437,0.0201,0.0213,0.0213,111369.0,3283.9606,77025.0
16,10004999.SH,20230131,SSE,0.0213,0.0213,0.022,0.0253,0.0132,0.0145,0.0145,89955.0,1592.9068,88944.0
15,10004999.SH,20230201,SSE,0.0145,0.0145,0.0148,0.0166,0.0085,0.0166,0.0166,89855.0,1070.8984,93959.0
14,10004999.SH,20230202,SSE,0.0166,0.0166,0.0198,0.0203,0.0109,0.0132,0.0132,66997.0,918.189,93303.0
13,10004999.SH,20230203,SSE,0.0132,0.0132,0.01,0.011,0.0066,0.0077,0.0077,72380.0,571.2331,90434.0
12,10004999.SH,20230206,SSE,0.0077,0.0077,0.005,0.0055,0.0034,0.0038,0.0038,45907.0,182.7915,87054.0
11,10004999.SH,20230207,SSE,0.0038,0.0038,0.0039,0.0047,0.0026,0.0029,0.0029,19127.0,62.5083,85508.0
10,10004999.SH,20230208,SSE,0.0029,0.0029,0.0029,0.0035,0.0017,0.0018,0.0018,15276.0,36.1961,82741.0
9,10004999.SH,20230209,SSE,0.0018,0.0018,0.0016,0.0032,0.0016,0.0026,0.0026,26818.0,66.0964,81008.0
8,10004999.SH,20230210,SSE,0.0026,0.0026,0.0025,0.0025,0.0012,0.0013,0.0013,11006.0,16.8432,80372.0
7,10004999.SH,20230213,SSE,0.0013,0.0013,0.0012,0.0013,0.0007,0.0012,0.0012,15242.0,16.1152,76911.0
6,10004999.SH,20230214,SSE,0.0012,0.0012,0.001,0.0013,0.0007,0.0012,0.0012,8598.0,8.2497,73938.0
5,10004999.SH,20230215,SSE,0.0012,0.0012,0.0008,0.001,0.0004,0.0004,0.0004,10079.0,5.1723,69058.0
4,10004999.SH,20230216,SSE,0.0004,0.0004,0.0005,0.001,0.0002,0.0004,0.0004,17628.0,10.6743,65394.0
3,10004999.SH,20230217,SSE,0.0004,0.0004,0.0004,0.0005,0.0002,0.0002,0.0002,9029.0,3.5894,62767.0
2,10004999.SH,20230220,SSE,0.0002,0.0002,0.0002,0.0006,0.0001,0.0004,0.0004,13454.0,3.2296,58553.0
1,10004999.SH,20230221,SSE,0.0004,0.0004,0.0003,0.0003,0.0001,0.0001,0.0001,5513.0,0.8356,56444.0
0,10004999.SH,20230222,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,1517.0,0.1517,56104.0
