,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
22,10001413.SH,20180723,SSE,0.0067,0.0067,0.0067,0.0125,0.0055,0.0101,0.0101,24571.0,229.0057,9740.0
21,10001413.SH,20180724,SSE,0.0101,0.0101,0.0104,0.0228,0.0104,0.02,0.02,62361.0,1177.8153,29658.0
20,10001413.SH,20180725,SSE,0.02,0.02,0.0216,0.0244,0.0187,0.0199,0.0199,34603.0,730.3551,33924.0
19,10001413.SH,20180726,SSE,0.0199,0.0199,0.0208,0.0236,0.0125,0.0129,0.0129,60075.0,964.8481,39373.0
18,10001413.SH,20180727,SSE,0.0129,0.0129,0.013,0.0137,0.0101,0.0108,0.0108,50406.0,585.657,47194.0
17,10001413.SH,20180730,SSE,0.0108,0.0108,0.0105,0.015,0.0088,0.0112,0.0112,64131.0,732.0468,53860.0
16,10001413.SH,20180731,SSE,0.0112,0.0112,0.0111,0.0134,0.0095,0.011,0.011,44220.0,483.1067,58784.0
15,10001413.SH,20180801,SSE,0.011,0.011,0.013,0.0166,0.0054,0.0055,0.0055,82235.0,875.9179,64150.0
14,10001413.SH,20180802,SSE,0.0055,0.0055,0.005,0.0058,0.0032,0.0038,0.0038,53995.0,232.8542,54505.0
13,10001413.SH,20180803,SSE,0.0038,0.0038,0.004,0.0042,0.0023,0.0025,0.0025,18603.0,62.5167,52438.0
12,10001413.SH,20180806,SSE,0.0025,0.0025,0.0025,0.003,0.0019,0.002,0.002,17491.0,42.0215,49052.0
11,10001413.SH,20180807,SSE,0.002,0.002,0.0021,0.005,0.0018,0.005,0.005,16930.0,53.9659,47638.0
10,10001413.SH,20180808,SSE,0.005,0.005,0.005,0.0055,0.002,0.002,0.002,26965.0,99.7305,47238.0
9,10001413.SH,20180809,SSE,0.002,0.002,0.002,0.0047,0.0016,0.0033,0.0033,32326.0,117.4471,50872.0
8,10001413.SH,20180810,SSE,0.0033,0.0033,0.0034,0.0046,0.002,0.0025,0.0025,22551.0,70.9892,50060.0
7,10001413.SH,20180813,SSE,0.0025,0.0025,0.0023,0.0023,0.0012,0.0014,0.0014,14724.0,24.283,46388.0
6,10001413.SH,20180814,SSE,0.0014,0.0014,0.0011,0.0016,0.0008,0.0008,0.0008,9624.0,10.3176,44681.0
5,10001413.SH,20180815,SSE,0.0008,0.0008,0.0009,0.001,0.0004,0.0006,0.0006,12608.0,8.7619,42958.0
4,10001413.SH,20180816,SSE,0.0006,0.0006,0.0007,0.0009,0.0003,0.0005,0.0005,10739.0,5.0964,41532.0
3,10001413.SH,20180817,SSE,0.0005,0.0005,0.0006,0.0007,0.0002,0.0003,0.0003,4603.0,1.6437,38700.0
2,10001413.SH,20180820,SSE,0.0003,0.0003,0.0004,0.0004,0.0001,0.0001,0.0001,6504.0,1.1002,37516.0
1,10001413.SH,20180821,SSE,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,4169.0,0.6161,35944.0
0,10001413.SH,20180822,SSE,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0,4527.0,0.4584,35856.0
