,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
6,10000853.SH,20170214,SSE,0.0001,0.0001,0.0004,0.0005,0.0002,0.0002,0.0003,356.0,0.1038,275.0
5,10000853.SH,20170215,SSE,0.0003,0.0002,0.0003,0.0003,0.0002,0.0002,0.0002,314.0,0.0838,540.0
4,10000853.SH,20170216,SSE,0.0002,0.0002,0.0003,0.0003,0.0002,0.0002,0.0002,152.0,0.0394,638.0
3,10000853.SH,20170217,SSE,0.0002,0.0002,0.0002,0.0003,0.0002,0.0002,0.0002,676.0,0.1586,1258.0
2,10000853.SH,20170220,SSE,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,2047.0,0.2407,2273.0
1,10000853.SH,20170221,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,55.0,0.0055,2273.0
0,10000853.SH,20170222,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,53.0,0.0053,2310.0
