,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
38,10004399.SH,20220701,SSE,0.0116,,0.013,0.0148,0.0097,0.0113,0.0113,7891.0,90.9215,4217.0
37,10004399.SH,20220704,SSE,0.0113,0.0113,0.0108,0.0119,0.0087,0.0103,0.0103,11321.0,117.0274,9855.0
36,10004399.SH,20220705,SSE,0.0103,0.0103,0.0115,0.0128,0.0078,0.0094,0.0094,8506.0,78.9737,12382.0
35,10004399.SH,20220706,SSE,0.0094,0.0094,0.009,0.0092,0.0064,0.0071,0.0071,6990.0,52.1374,14082.0
34,10004399.SH,20220707,SSE,0.0071,0.0071,0.007,0.0073,0.006,0.0061,0.0061,4396.0,28.5066,14981.0
33,10004399.SH,20220708,SSE,0.0061,0.0061,0.0072,0.0074,0.0042,0.0045,0.0045,6939.0,37.0993,14354.0
32,10004399.SH,20220711,SSE,0.0045,0.0045,0.0037,0.0041,0.0031,0.0032,0.0032,3303.0,12.3579,15132.0
31,10004399.SH,20220712,SSE,0.0032,0.0032,0.0037,0.0037,0.0028,0.0029,0.0029,1962.0,5.9672,15841.0
30,10004399.SH,20220713,SSE,0.0029,0.0029,0.0031,0.0032,0.0026,0.0028,0.0028,2381.0,6.9117,16778.0
29,10004399.SH,20220714,SSE,0.0028,0.0028,0.0025,0.0027,0.0023,0.0023,0.0023,2927.0,7.5336,17722.0
28,10004399.SH,20220715,SSE,0.0023,0.0023,0.0023,0.0027,0.0021,0.0021,0.0021,3049.0,7.3213,19576.0
27,10004399.SH,20220718,SSE,0.0021,0.0021,0.0021,0.0023,0.0018,0.002,0.002,1949.0,4.0742,20205.0
26,10004399.SH,20220719,SSE,0.002,0.002,0.0017,0.0021,0.0017,0.002,0.002,2256.0,4.1833,21392.0
25,10004399.SH,20220720,SSE,0.002,0.002,0.0021,0.0022,0.0017,0.0018,0.0018,2060.0,3.8526,22670.0
24,10004399.SH,20220721,SSE,0.0018,0.0018,0.0017,0.0019,0.0014,0.0015,0.0015,1661.0,2.6498,23175.0
23,10004399.SH,20220722,SSE,0.0015,0.0015,0.0016,0.0019,0.0013,0.0014,0.0014,3930.0,6.0892,23189.0
22,10004399.SH,20220725,SSE,0.0014,0.0014,0.0014,0.0016,0.0012,0.0012,0.0012,3970.0,5.2358,23777.0
21,10004399.SH,20220726,SSE,0.0012,0.0012,0.0014,0.0017,0.0011,0.0012,0.0012,3606.0,5.1196,25358.0
20,10004399.SH,20220727,SSE,0.0012,0.0012,0.0012,0.0012,0.0009,0.0009,0.0009,1488.0,1.5614,26027.0
19,10004399.SH,20220728,SSE,0.0009,0.0009,0.0011,0.0012,0.0006,0.0009,0.0009,7012.0,6.0681,28412.0
18,10004399.SH,20220729,SSE,0.0009,0.0009,0.0007,0.001,0.0006,0.0008,0.0008,5826.0,4.447,28330.0
17,10004399.SH,20220801,SSE,0.0008,0.0008,0.0005,0.0008,0.0005,0.0006,0.0007,3088.0,2.0909,28159.0
16,10004399.SH,20220802,SSE,0.0007,0.0006,0.0005,0.0009,0.0003,0.0009,0.0008,5466.0,3.1811,27696.0
15,10004399.SH,20220803,SSE,0.0008,0.0009,0.0009,0.0009,0.0004,0.0005,0.0004,3736.0,2.2272,27075.0
14,10004399.SH,20220804,SSE,0.0004,0.0005,0.0005,0.0006,0.0003,0.0004,0.0004,994.0,0.4628,27049.0
13,10004399.SH,20220805,SSE,0.0004,0.0004,0.0004,0.0006,0.0003,0.0003,0.0003,2389.0,0.9555,26769.0
12,10004399.SH,20220808,SSE,0.0003,0.0003,0.0006,0.0006,0.0003,0.0003,0.0003,727.0,0.2654,26877.0
11,10004399.SH,20220809,SSE,0.0003,0.0003,0.0003,0.0004,0.0002,0.0003,0.0003,646.0,0.1867,27081.0
10,10004399.SH,20220810,SSE,0.0003,0.0003,0.0002,0.0004,0.0002,0.0003,0.0003,1361.0,0.3374,26730.0
9,10004399.SH,20220811,SSE,0.0003,0.0003,0.0003,0.0004,0.0002,0.0003,0.0003,1339.0,0.343,26262.0
8,10004399.SH,20220812,SSE,0.0003,0.0003,0.0003,0.0004,0.0002,0.0002,0.0002,2093.0,0.6484,26327.0
7,10004399.SH,20220815,SSE,0.0002,0.0002,0.0003,0.0003,0.0001,0.0001,0.0001,1686.0,0.2396,26085.0
6,10004399.SH,20220816,SSE,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,2434.0,0.2926,25138.0
5,10004399.SH,20220817,SSE,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,2131.0,0.2285,25644.0
4,10004399.SH,20220818,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,990.0,0.099,25674.0
3,10004399.SH,20220819,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1018.0,0.1018,26115.0
2,10004399.SH,20220822,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,352.0,0.0352,26043.0
1,10004399.SH,20220823,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,213.0,0.0213,25772.0
0,10004399.SH,20220824,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,219.0,0.0219,25629.0
