per,normcjl,normcje,jc,normccl,normper,normjc,time
-0.012995127,0.092249207,0.26,-46.5116,-1.250553314,-0.635108626,0.047269971,150820
-0.12001554,2.40871719,2.12,-405.5024,-0.992471032,-5.961558628,-4.037929331,150821
-0.111104298,0.760223727,0.61,-482.5885,-0.949892778,-5.518042446,-4.91514424,150824
-0.111080833,1.532904614,1.04,-610.0117,-0.955263444,-5.516874583,-6.365179081,150825
-0.087256028,2.319543758,1.46,-838.3256,-0.948634784,-4.331104233,-8.963317487,150826
0.060861644,2.260833541,1.42,-527.8548,-0.956376284,3.040773265,-5.430260107,150827
0.090900572,1.555163951,1.03,-440.2938,-0.96119053,4.535823075,-4.433844221,150828
-0.052873486,0.697275488,0.43,-619.9127,-1.003647823,-2.619870966,-6.477849262,150831
-0.109063838,1.150413383,0.63,-796.2072,-0.984003765,-5.416487912,-8.484023705,150901
-0.01123303,2.115690999,1.21,-745.5533,-0.97599615,-0.547408333,-7.907598691,150902
0.070992235,-0.743593765,-0.57,-348.5566,-1.058806016,3.544976949,-3.389904528,150907
0.090897697,-0.760332009,-0.58,8.1449,-1.096618409,4.535679985,0.66924328,150908
0.016015073,-0.792505985,-0.59,-182.0072,-1.099231166,0.808740968,-1.494626174,150909
-0.00822915,-0.846667132,-0.64,-121.3093,-1.106198516,-0.397903989,-0.803903685,150910
0.010778816,-0.850769071,-0.64,-73.3191,-1.111182108,0.548130302,-0.257790717,150911
-0.111076378,-0.812490788,-0.61,-291.5904,-1.142825492,-5.516652856,-2.74164758,150914
-0.024048308,-0.836519207,-0.64,-44.4299,-1.159445526,-1.185229993,0.070959044,150915
0.063297415,-0.821141796,-0.63,-34.0367,-1.191209872,3.16200259,0.189230302,150916
-0.011788413,-0.890699795,-0.67,-10.409,-1.23869914,-0.575049973,0.458105893,150917
-0.041543739,-0.802848315,-0.61,-206.8814,-1.148341311,-2.055984795,-1.777686532,150918
0.059479433,-0.775767741,-0.59,-80.2393,-1.118899416,2.971980055,-0.336540357,150921
6.58E-05,-0.790659141,-0.6,-218.1258,-1.115149627,0.014939087,-1.905644171,150922
-0.019630794,-0.795033246,-0.6,-244.2006,-1.108835465,-0.965368503,-2.202366969,150923
0.016655738,-0.796296877,-0.6,-215.1101,-1.100973003,0.840627129,-1.871326479,150924
-0.047897156,-0.763228639,-0.59,-320.9764,-1.109561231,-2.372196974,-3.076050764,150925
0.034799146,-0.787645868,-0.6,-225.2917,-1.102859994,1.743632013,-1.987189797,150928
-0.013189043,-0.79851309,-0.61,-189.6058,-1.104819562,-0.644759905,-1.581095787,150929
0.006015749,-0.82749883,-0.63,-205.9274,-1.113867441,0.311070497,-1.766830321,150930
0.044227789,-0.818264607,-0.62,-177.2924,-1.108762889,2.212899455,-1.440973273,151008
0.027408379,-0.825399259,-0.62,-63.2514,-1.111327261,1.375790497,-0.143223544,151009
0.037635865,-0.805433897,-0.6,-76.1221,-1.109488654,1.884816685,-0.289687951,151012
0.002721048,-0.843148407,-0.63,-113.4769,-1.131963199,0.147091873,-0.714773504,151013
-0.008758201,-0.83539166,-0.62,-79.2957,-1.162590511,-0.424235075,-0.325802493,151014
0.041841606,-0.8569317,-0.64,25.5626,-1.219127659,2.094138145,0.867451077,151015
-0.043965595,-0.802129018,-0.6,-362.3718,-1.128382755,-2.176521565,-3.54711704,151019
0.031562044,-0.799076864,-0.59,-312.0754,-1.10999669,1.582520114,-2.974760261,151020
-0.044730506,-0.762839829,-0.57,-233.9386,-1.102618072,-2.2145915,-2.085588725,151021
