per,normcjl,normcje,jc,normccl
-0.014375049,1.301368626,1.27,-204.288,-1.165953225
0.014874584,1.249384812,1.25,-222.56,-1.105448559
-0.023772664,0.949360051,0.98,-217.701,-1.067660358
0.06378065,1.605748052,1.6,27.713,-0.921878222
0.016386237,1.381968812,1.48,-133.627,-0.967311154
0.008275261,1.600557447,1.71,-145.103,-0.968496572
0.007301374,1.485917,1.59,-91.895,-0.973383394
0.004744106,1.46558227,1.62,-165.816,-0.959255155
-0.026340984,2.219580866,2.27,-119.483,-0.942006124
0.02587266,1.637105529,1.73,-126.054,-0.899016602
0.007507075,1.364161342,1.51,-130.873,-0.931022869
-0.000982365,1.006767757,1.15,-163.281,-0.933030821
-0.021780233,1.167209949,1.29,-54.344,-0.942393199
-0.012237588,1.205818721,1.31,-42.199,-0.952747456
-0.018580782,1.159667047,1.22,7.922,-0.960706686
0.029689642,1.382513145,1.43,-30.093,-0.93334532
0.045560555,1.453665262,1.58,-68.418,-0.931990557
0.023728578,1.984331749,2.16,-97.878,-0.971738325
0.011292808,2.716051567,2.92,-129.129,-0.972875358
0.007944843,1.220165787,1.47,-52.993,-1.109633807
-0.020326814,2.580046045,2.76,-163.085,-0.647732326
0.016707583,2.974804212,3.22,-105.195,-0.548084696
0.035501272,3.470924985,3.81,-4.033,-0.514868819
0.019877676,3.691749274,4.26,9.469,-0.472629255
0.043473795,4.014713788,4.7,115.377,-0.39248053
0.011415431,4.581539547,5.43,-36.971,-0.414447039
0.022715871,4.137091542,5.03,-73.49,-0.362917674
0.05248666,4.063373282,5.21,158.62,-0.33845937
0.013703563,5.003961502,6.47,54.66,-0.291236215
-0.064567213,6.042471364,7.63,108.776,-0.355369711
-0.000573066,5.923145765,7.29,154.155,-0.357547008
0.081501233,4.025892058,5.34,537.29,-0.229183248
0.034185451,4.488030891,6.21,364,-0.260391173
-0.01511276,5.539060415,7.61,123.21,-0.253327054
-0.025227248,6.341737947,8.24,-96.21,-0.460388007
0.017170518,5.597012454,7.52,-195.52,-0.504683907
-0.03174693,4.973051156,6.51,-428.32,-0.558995373
-0.000112145,5.290066886,6.95,-313.34,-0.55355213
0.027084585,5.100988883,6.91,-220.2577,-0.492950695
0.013642662,4.234624375,5.9,-107.4931,-0.517481575
0.019933846,3.961894033,5.72,-118.0906,-0.616596977
-0.020732772,3.645072708,5.26,-104.292,-0.659659075
-0.040944737,4.786655938,6.45,-40.8358,-0.821601594
0.021534613,3.986447346,5.41,-67.1456,-0.950352429
-0.033393925,1.463735425,2.33,-58.7787,-1.161961514
-0.081841842,6.528074844,8.11,2.5926,-0.555439121
-0.024151846,6.086095777,7.23,-184.2849,-0.490096016
0.015470272,5.56122255,6.73,-209.6266,-0.590421028
-0.065255394,5.943324972,7.07,-524.5037,-0.61795174
-0.111090509,4.784089796,5.21,-449.0648,-0.571623696
-0.111091087,6.224123108,6.04,-716.2434,-0.69031058
0.059693266,7.147059382,6.8,-560.0202,-0.713123815
-0.111087437,7.171146123,7.12,-902.5097,-0.724832835
-0.035133937,8.798293951,7.95,-167.3035,-0.825714267
-0.017610199,6.95349063,6.04,49.309,-0.73383233
0.002043011,5.752594529,4.87,204.001,-0.74687192
-0.111107701,1.496103806,1.23,-247.3263,-0.791869393
