time,val,cmax,avg,std
2015-05-21,"4,840.98",0.979324434,0.901623074,0.048001954
2015-05-22,"4,951.34",0.949771173,0.907452788,0.046301764
2015-05-25,"5,099.50",0.942757133,0.91270294,0.043872075
2015-05-26,"5,198.92",0.912085587,0.915789242,0.041354435
2015-05-27,"5,181.43",0.918331115,0.919572421,0.037603908
2015-05-28,"4,834.01",0.913630139,0.922364456,0.034739095
2015-05-29,"4,840.83",0.920910497,0.925511356,0.031277216
2015-06-01,"5,076.18",0.884191332,0.926346383,0.029836424
2015-06-02,"5,161.87",0.875822286,0.925832139,0.030644166
2015-06-03,"5,143.59",0.859811268,0.924145431,0.033325869
2015-06-04,"5,181.42",0.876797489,0.923658107,0.033969697
2015-06-05,"5,230.55",0.896756555,0.923313005,0.034217722
2015-06-08,"5,353.75",0.886746673,0.921670232,0.035180399
2015-06-09,"5,317.46",0.881333645,0.91957886,0.036312163
2015-06-10,"5,309.11",0.878035022,0.917922338,0.037453911
2015-06-11,"5,306.59",0.862473967,0.914104117,0.039067134
2015-06-12,"5,335.12",0.854567359,0.909031612,0.039915615
2015-06-15,"5,221.17",0.883720756,0.906188681,0.039573783
2015-06-16,"5,064.82",0.88814756,0.902555773,0.037580862
2015-06-17,"5,138.83",0.904222274,0.898471813,0.032082789
2015-06-18,"4,930.55",0.924835863,0.895747385,0.026721042
2015-06-19,"4,637.05",0.952509923,0.895884322,0.027017839
2015-06-23,"4,786.09",0.971080084,0.89730047,0.030163189
2015-06-24,"4,880.13",0.967813215,0.900086851,0.033938575
2015-06-25,"4,706.52",0.902920383,0.899316315,0.033676489
2015-06-26,"4,336.19",0.904194256,0.89884452,0.033531187
2015-06-29,"4,191.55",0.948154098,0.9002067,0.034996154
2015-06-30,"4,473.00",0.964159701,0.904205119,0.037545504
2015-07-01,"4,253.02",0.960745272,0.908451268,0.038942766
2015-07-02,"4,108.00",0.967811347,0.913851272,0.039329117
2015-07-03,"3,885.92",0.976988092,0.918860802,0.040717368
2015-07-06,"3,998.54",1,0.924022975,0.044166067
2015-07-07,"3,928.00",0.996689859,0.929520134,0.046082744
2015-07-08,"3,663.04",0.995124758,0.93520969,0.046838679
2015-07-09,"3,897.63",0.994652416,0.941040559,0.046604658
2015-07-10,"4,106.56",1,0.947916861,0.044500576
2015-07-13,"4,211.81",1,0.955188493,0.040109531
2015-07-14,"4,112.15",0.985597889,0.96028235,0.036895915
2015-07-15,"3,966.76",1,0.965874972,0.033727529
2015-07-16,"3,997.36",1,0.970663858,0.031219235
2015-07-17,"4,151.50",0.950189851,0.971931557,0.029740111
2015-07-20,"4,160.61",0.980730022,0.973342562,0.029438075
2015-07-21,"4,166.01",1,0.974788558,0.030025504
2015-07-22,"4,157.16",1,0.976397897,0.030490938
2015-07-23,"4,250.81",0.969414263,0.979722591,0.025228433
2015-07-24,"4,176.28",0.937078024,0.98136678,0.020714812
2015-07-27,"3,818.73",1,0.983959075,0.019551121
2015-07-28,"3,811.09",1,0.98575109,0.019281502
2015-07-29,"3,930.38",0.96640405,0.986034029,0.018933632
2015-07-30,"3,815.41",0.91415989,0.983351456,0.024603239
2015-07-31,"3,816.70",0.940653664,0.981534734,0.026375494
2015-08-03,"3,829.24",0.924059179,0.977737693,0.028920754
2015-08-04,"3,948.16",0.86172753,0.970989577,0.038443549
2015-08-05,"3,866.90",0.916914659,0.967079072,0.0398127
2015-08-06,"3,831.85",0.966065291,0.965649716,0.039280267
2015-08-07,"3,906.94",0.990825278,0.965190979,0.038909819
2015-08-10,"4,084.36",0.967380335,0.963559996,0.038048051
2015-08-11,"4,066.67",0.933177441,0.960938974,0.038255007
2015-08-12,"4,016.13",0.94037607,0.957957777,0.037363635
2015-08-13,"4,075.46",0.976637394,0.956789647,0.036330988
2015-08-14,"4,073.54",0.978780515,0.95821918,0.036618979
2015-08-17,"4,077.87",0.980050861,0.958185222,0.036597313
2015-08-18,"3,825.41",0.977968905,0.957083667,0.035590177
2015-08-19,"3,886.14",1,0.957083667,0.035590177
2015-08-20,"3,761.45",1,0.958612954,0.036784971
2015-08-21,"3,589.54",0.934964107,0.958507258,0.036853079
2015-08-24,"3,275.53",0.933093557,0.955161936,0.03591307
2015-08-25,"3,042.93",0.962300091,0.953276941,0.034392977
2015-08-26,"3,025.69",0.93415125,0.951664301,0.034501045
2015-08-27,"3,205.64",0.934467089,0.952679661,0.03362695
2015-08-28,"3,342.29",0.937537338,0.952523844,0.033692763
2015-08-31,"3,366.54",0.966653282,0.95465355,0.033140478
2015-09-01,"3,362.08",0.946757876,0.958905067,0.025061107
2015-09-02,"3,365.83",0.938176361,0.959968152,0.023594162
2015-09-07,"3,250.49",0.956561126,0.959492944,0.023560584
2015-09-08,"3,334.02",1,0.95995168,0.02428105
2015-09-09,"3,399.31",0.997253468,0.961445337,0.025642725
2015-09-10,"3,357.56",0.984859743,0.964029452,0.025245161
2015-09-11,"3,347.19",0.999409005,0.966981098,0.02577946
2015-09-14,"3,281.13",0.998938171,0.968096137,0.026685473
2015-09-15,"3,152.23",1,0.969157111,0.027540747
2015-09-16,"3,309.25",0.984372668,0.969373202,0.027647468
2015-09-17,"3,237.00",1,0.970474757,0.028435628
2015-09-18,"3,251.27",1,0.970474757,0.028435628
2015-09-21,"3,308.25",1,0.970474757,0.028435628
2015-09-22,"3,339.03",0.963586728,0.971905888,0.027249906
2015-09-23,"3,263.03",0.895161077,0.970009264,0.031136385
2015-09-24,"3,285.00",0.890089459,0.966398732,0.035899743
2015-09-25,"3,231.95",0.943026673,0.966842503,0.035533124
2015-09-28,"3,242.75",0.983226008,0.969280449,0.034861255
2015-09-29,"3,178.85",0.990359808,0.971921573,0.034326634
2015-09-30,"3,202.95",0.989047777,0.973041297,0.034510498
2015-10-08,"3,296.48",0.990150942,0.975210951,0.03413309
2015-10-09,"3,340.12",0.956220527,0.976113159,0.033331733
