,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
38,10001355.SH,20180531,SSE,0.231,0.231,0.2406,0.278,0.2406,0.273,0.2741,688.0,180.5452,264.0
37,10001355.SH,20180601,SSE,0.2741,0.273,0.2717,0.28,0.258,0.2634,0.2664,891.0,239.8475,488.0
36,10001355.SH,20180604,SSE,0.2664,0.2634,0.2771,0.3029,0.2763,0.2986,0.3026,470.0,138.5548,608.0
35,10001355.SH,20180605,SSE,0.3026,0.2986,0.3009,0.3178,0.2932,0.3113,0.3125,288.0,88.3784,636.0
34,10001355.SH,20180606,SSE,0.3125,0.3113,0.3045,0.3084,0.3002,0.3032,0.3052,32.0,9.7343,646.0
33,10001355.SH,20180607,SSE,0.3052,0.3032,0.316,0.3316,0.307,0.3092,0.3101,76.0,23.8832,666.0
32,10001355.SH,20180608,SSE,0.3101,0.3092,0.3061,0.3061,0.2636,0.2706,0.2706,292.0,82.0864,691.0
31,10001355.SH,20180611,SSE,0.2706,0.2706,0.2679,0.2851,0.2607,0.2815,0.2792,321.0,88.1228,730.0
30,10001355.SH,20180612,SSE,0.2792,0.2815,0.2795,0.3117,0.2787,0.3083,0.307,402.0,117.9509,826.0
29,10001355.SH,20180613,SSE,0.307,0.3083,0.3052,0.3052,0.2847,0.2856,0.2864,378.0,110.9935,885.0
28,10001355.SH,20180614,SSE,0.2864,0.2856,0.2844,0.3129,0.2814,0.2965,0.2945,1074.0,315.5734,884.0
27,10001355.SH,20180615,SSE,0.2945,0.2965,0.2935,0.3085,0.2927,0.2944,0.2946,838.0,251.7123,881.0
26,10001355.SH,20180619,SSE,0.2946,0.2944,0.2753,0.2808,0.2096,0.2281,0.2281,2272.0,572.9343,1378.0
25,10001355.SH,20180620,SSE,0.2281,0.2281,0.2281,0.2403,0.2111,0.2297,0.2297,1836.0,419.277,1507.0
24,10001355.SH,20180621,SSE,0.2297,0.2297,0.2343,0.2547,0.2062,0.2067,0.2067,1924.0,447.5914,1675.0
23,10001355.SH,20180622,SSE,0.2067,0.2067,0.2037,0.2199,0.1943,0.211,0.211,1863.0,384.2571,2150.0
22,10001355.SH,20180625,SSE,0.211,0.211,0.215,0.225,0.1658,0.1664,0.1664,3784.0,748.2182,3287.0
21,10001355.SH,20180626,SSE,0.1664,0.1664,0.1593,0.1593,0.1214,0.142,0.142,11605.0,1622.992,7088.0
20,10001355.SH,20180627,SSE,0.142,0.142,0.1421,0.1523,0.0959,0.102,0.102,26649.0,3062.3625,14069.0
19,10001355.SH,20180628,SSE,0.102,0.102,0.0977,0.1155,0.0852,0.089,0.089,37596.0,3780.7411,19202.0
18,10001355.SH,20180629,SSE,0.089,0.089,0.0931,0.126,0.0931,0.1207,0.1207,35745.0,3936.788,18705.0
17,10001355.SH,20180702,SSE,0.1207,0.1207,0.1207,0.1207,0.0541,0.0623,0.0623,50729.0,4197.0647,23481.0
16,10001355.SH,20180703,SSE,0.0623,0.0623,0.0712,0.0778,0.046,0.0675,0.0675,131730.0,8387.0842,36893.0
15,10001355.SH,20180704,SSE,0.0675,0.0675,0.0646,0.0767,0.0589,0.0601,0.0601,90310.0,5952.5293,39782.0
14,10001355.SH,20180705,SSE,0.0601,0.0601,0.0597,0.075,0.0521,0.059,0.059,105622.0,6728.8415,42741.0
13,10001355.SH,20180706,SSE,0.059,0.059,0.0625,0.0891,0.055,0.0726,0.0726,140843.0,10227.5277,42139.0
12,10001355.SH,20180709,SSE,0.0726,0.0726,0.0818,0.1158,0.081,0.1139,0.1139,65342.0,6418.5591,29951.0
11,10001355.SH,20180710,SSE,0.1139,0.1139,0.1179,0.1208,0.0977,0.1116,0.1116,36719.0,3990.8203,26411.0
10,10001355.SH,20180711,SSE,0.1116,0.1116,0.0844,0.0958,0.071,0.0858,0.0858,52252.0,4500.2248,29060.0
9,10001355.SH,20180712,SSE,0.0858,0.0858,0.0865,0.1357,0.086,0.1203,0.1203,50982.0,5825.8118,27423.0
8,10001355.SH,20180713,SSE,0.1203,0.1203,0.1235,0.1294,0.1163,0.1216,0.1216,22430.0,2758.2026,25631.0
7,10001355.SH,20180716,SSE,0.1216,0.1216,0.1214,0.1345,0.0942,0.1024,0.1024,31947.0,3384.9165,23729.0
6,10001355.SH,20180717,SSE,0.1024,0.1024,0.1028,0.1049,0.0756,0.0885,0.0885,44557.0,3863.318,26049.0
5,10001355.SH,20180718,SSE,0.0885,0.0885,0.0938,0.1119,0.073,0.0763,0.0763,50873.0,4797.5096,25179.0
4,10001355.SH,20180719,SSE,0.0763,0.0763,0.0821,0.1055,0.0729,0.081,0.081,49098.0,4304.7817,22228.0
3,10001355.SH,20180720,SSE,0.081,0.081,0.0802,0.1497,0.0632,0.1384,0.14,74136.0,6789.9555,10709.0
2,10001355.SH,20180723,SSE,0.14,0.1384,0.1354,0.1758,0.1291,0.1676,0.169,18655.0,2872.5762,6959.0
1,10001355.SH,20180724,SSE,0.169,0.1676,0.1735,0.2181,0.1735,0.2027,0.21,7140.0,1466.6078,5413.0
0,10001355.SH,20180725,SSE,0.21,0.2027,0.2056,0.2149,0.1961,0.203,0.209,6587.0,1354.0196,2716.0
