,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
36,10000416.SH,20150828,SSE,0.115,0.115,0.16,0.16,0.1243,0.1372,0.1372,81.0,11.2248,61.0
35,10000416.SH,20150831,SSE,0.1372,0.1372,0.1315,0.1368,0.0593,0.1363,0.1363,339.0,40.0719,205.0
34,10000416.SH,20150901,SSE,0.1363,0.1363,0.1276,0.1384,0.105,0.1196,0.1196,390.0,47.2502,297.0
33,10000416.SH,20150902,SSE,0.1196,0.1196,0.1022,0.1495,0.0802,0.12,0.2814,681.0,85.8493,457.0
32,10000416.SH,20150907,SSE,0.2814,0.12,0.1353,0.1585,0.1199,0.1315,0.1269,410.0,56.1317,556.0
31,10000416.SH,20150908,SSE,0.1269,0.1315,0.121,0.1346,0.11,0.1265,0.1269,575.0,69.8738,600.0
30,10000416.SH,20150909,SSE,0.1269,0.1265,0.1327,0.1465,0.127,0.1332,0.1332,285.0,38.8222,677.0
29,10000416.SH,20150910,SSE,0.1332,0.1332,0.1252,0.1291,0.1151,0.1203,0.1203,274.0,34.4662,745.0
28,10000416.SH,20150911,SSE,0.1203,0.1203,0.1217,0.131,0.1182,0.1215,0.1211,164.0,20.6585,732.0
27,10000416.SH,20150914,SSE,0.1211,0.1215,0.1267,0.1299,0.0726,0.0923,0.1397,1330.0,126.6388,1345.0
26,10000416.SH,20150915,SSE,0.1397,0.0923,0.0968,0.1015,0.087,0.0956,0.0956,491.0,46.1674,1497.0
25,10000416.SH,20150916,SSE,0.0956,0.0956,0.0982,0.1597,0.092,0.1417,0.1417,1164.0,132.9847,1766.0
24,10000416.SH,20150917,SSE,0.1417,0.1417,0.137,0.1538,0.1233,0.1234,0.1234,761.0,106.8897,1864.0
23,10000416.SH,20150918,SSE,0.1234,0.1234,0.13,0.1388,0.1227,0.125,0.125,695.0,90.759,2147.0
22,10000416.SH,20150921,SSE,0.125,0.125,0.1012,0.13,0.1012,0.1252,0.1248,869.0,106.5386,2299.0
21,10000416.SH,20150922,SSE,0.1248,0.1252,0.1298,0.1396,0.1253,0.1297,0.1297,1044.0,137.4537,2498.0
20,10000416.SH,20150923,SSE,0.1297,0.1297,0.1208,0.1231,0.0955,0.0994,0.0994,1172.0,124.2702,2638.0
19,10000416.SH,20150924,SSE,0.0994,0.0994,0.1026,0.1109,0.096,0.099,0.099,1266.0,130.2285,3307.0
18,10000416.SH,20150925,SSE,0.099,0.099,0.095,0.0997,0.07,0.0758,0.0758,3261.0,269.5529,4739.0
17,10000416.SH,20150928,SSE,0.0758,0.0758,0.0758,0.0787,0.0661,0.0684,0.0684,2628.0,185.408,5301.0
16,10000416.SH,20150929,SSE,0.0684,0.0684,0.0596,0.0597,0.039,0.0412,0.0412,3776.0,180.0409,6288.0
15,10000416.SH,20150930,SSE,0.0412,0.0412,0.0496,0.0563,0.0478,0.0512,0.0512,3287.0,171.2422,6799.0
14,10000416.SH,20151008,SSE,0.0512,0.0512,0.1002,0.1002,0.0786,0.0791,0.0791,3214.0,292.1345,6268.0
13,10000416.SH,20151009,SSE,0.0791,0.0791,0.0831,0.0942,0.0799,0.0902,0.0902,2258.0,200.0458,6025.0
12,10000416.SH,20151012,SSE,0.0902,0.0902,0.0989,0.1705,0.096,0.1517,0.1517,4386.0,609.1952,4715.0
11,10000416.SH,20151013,SSE,0.1517,0.1517,0.136,0.1483,0.1305,0.1408,0.1408,1345.0,192.2225,4492.0
10,10000416.SH,20151014,SSE,0.1408,0.1408,0.1329,0.1421,0.1208,0.1224,0.1224,1600.0,213.4221,4137.0
9,10000416.SH,20151015,SSE,0.1224,0.1224,0.1232,0.155,0.1183,0.1533,0.1634,1567.0,213.4926,4125.0
8,10000416.SH,20151016,SSE,0.1634,0.1533,0.1636,0.18,0.1601,0.1657,0.1788,1444.0,245.3262,3591.0
7,10000416.SH,20151019,SSE,0.1788,0.1657,0.1693,0.1778,0.1451,0.157,0.1758,1454.0,237.0579,3073.0
6,10000416.SH,20151020,SSE,0.1758,0.157,0.1578,0.169,0.1495,0.169,0.1957,836.0,130.7948,3036.0
5,10000416.SH,20151021,SSE,0.1957,0.169,0.1853,0.1932,0.1328,0.1543,0.1743,3264.0,559.8125,1673.0
4,10000416.SH,20151022,SSE,0.1743,0.1543,0.1681,0.18,0.1531,0.1751,0.1852,858.0,140.141,1451.0
3,10000416.SH,20151023,SSE,0.1852,0.1751,0.1818,0.1948,0.1733,0.1902,0.2016,727.0,133.3099,1223.0
2,10000416.SH,20151026,SSE,0.2016,0.1902,0.2111,0.224,0.1874,0.1973,0.2006,1067.0,223.8398,1097.0
1,10000416.SH,20151027,SSE,0.2006,0.1973,0.1912,0.1999,0.1579,0.1977,0.1982,990.0,174.0523,1143.0
0,10000416.SH,20151028,SSE,0.1982,0.1977,0.1869,0.1888,0.1497,0.1511,0.158,724.0,125.0302,889.0
