,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
61,10005004.SH,20230109,SSE,0.2568,,0.2438,0.2553,0.2418,0.2418,0.2433,115.0,28.1442,105.0
60,10005004.SH,20230110,SSE,0.2433,0.2418,0.2499,0.2502,0.2456,0.2502,0.2494,165.0,40.8813,196.0
59,10005004.SH,20230111,SSE,0.2494,0.2502,0.2447,0.2447,0.2392,0.2416,0.2432,16.0,3.8417,210.0
58,10005004.SH,20230112,SSE,0.2432,0.2416,0.2377,0.2488,0.2377,0.2423,0.2426,5.0,1.2225,211.0
57,10005004.SH,20230113,SSE,0.2426,0.2423,0.2247,0.2247,0.209,0.2102,0.2067,170.0,36.7769,357.0
56,10005004.SH,20230116,SSE,0.2067,0.2102,0.2007,0.2007,0.16,0.1758,0.1754,890.0,162.7736,831.0
55,10005004.SH,20230117,SSE,0.1754,0.1758,0.1787,0.1815,0.175,0.1768,0.1768,217.0,38.5031,947.0
54,10005004.SH,20230118,SSE,0.1768,0.1768,0.1723,0.1933,0.1683,0.1933,0.1933,685.0,126.6967,1438.0
53,10005004.SH,20230119,SSE,0.1933,0.1933,0.2027,0.203,0.1933,0.1933,0.1924,242.0,47.8384,1564.0
52,10005004.SH,20230120,SSE,0.1924,0.1933,0.1887,0.19,0.1786,0.1847,0.1847,359.0,66.5824,1591.0
51,10005004.SH,20230130,SSE,0.1847,0.1847,0.169,0.1803,0.1602,0.1803,0.178,461.0,79.0176,1691.0
50,10005004.SH,20230131,SSE,0.178,0.1803,0.1758,0.191,0.1715,0.1894,0.1865,519.0,94.7166,1665.0
49,10005004.SH,20230201,SSE,0.1865,0.1894,0.1806,0.2065,0.1795,0.1862,0.1831,365.0,68.5797,1618.0
48,10005004.SH,20230202,SSE,0.1831,0.1862,0.1971,0.1971,0.1859,0.1921,0.1884,459.0,87.8769,1532.0
47,10005004.SH,20230203,SSE,0.1884,0.1921,0.2018,0.2298,0.2018,0.2126,0.2145,421.0,91.1727,1574.0
46,10005004.SH,20230206,SSE,0.2145,0.2126,0.2384,0.2506,0.2379,0.2408,0.2432,521.0,128.1694,1487.0
45,10005004.SH,20230207,SSE,0.2432,0.2408,0.2329,0.244,0.2284,0.2367,0.2354,27.0,6.3153,1468.0
44,10005004.SH,20230208,SSE,0.2354,0.2367,0.2295,0.242,0.2295,0.242,0.241,19.0,4.4497,1473.0
43,10005004.SH,20230209,SSE,0.241,0.242,0.2403,0.2403,0.2176,0.219,0.2191,174.0,38.632,1445.0
42,10005004.SH,20230210,SSE,0.2191,0.219,0.2249,0.2304,0.2249,0.225,0.2247,8.0,1.8237,1443.0
41,10005004.SH,20230213,SSE,0.2247,0.225,0.23,0.235,0.217,0.217,0.2112,8.0,1.8211,1440.0
40,10005004.SH,20230214,SSE,0.2112,0.217,0.208,0.213,0.2023,0.2026,0.2026,35.0,7.2186,1456.0
39,10005004.SH,20230215,SSE,0.2026,0.2026,0.2002,0.2177,0.2002,0.2143,0.2147,57.0,12.108,1449.0
38,10005004.SH,20230216,SSE,0.2147,0.2143,0.2064,0.2338,0.187,0.2215,0.2206,279.0,56.9127,1421.0
37,10005004.SH,20230217,SSE,0.2206,0.2215,0.215,0.2453,0.21,0.2453,0.2448,75.0,16.7009,1416.0
36,10005004.SH,20230220,SSE,0.2448,0.2453,0.235,0.2398,0.1913,0.1917,0.1896,250.0,57.5919,1472.0
35,10005004.SH,20230221,SSE,0.1896,0.1917,0.1865,0.1938,0.1812,0.1812,0.1829,103.0,19.2695,1505.0
34,10005004.SH,20230222,SSE,0.1829,0.1812,0.1889,0.2054,0.1869,0.2049,0.2041,159.0,31.141,1515.0
33,10005004.SH,20230223,SSE,0.2041,0.2049,0.198,0.2093,0.1908,0.2087,0.2052,51.0,10.2201,1521.0
32,10005004.SH,20230224,SSE,0.2052,0.2087,0.213,0.2378,0.213,0.2276,0.2331,88.0,19.9492,1517.0
31,10005004.SH,20230227,SSE,0.2331,0.2276,0.24,0.242,0.2273,0.2371,0.234,46.0,10.713,1526.0
30,10005004.SH,20230228,SSE,0.234,0.2371,0.2303,0.25,0.2219,0.2219,0.2219,41.0,9.6594,1538.0
29,10005004.SH,20230301,SSE,0.2219,0.2219,0.2271,0.2271,0.1927,0.1981,0.2005,264.0,55.7186,1660.0
