,ts_code,call_put,k,trade_date,c,s,r,t,ts_code_p,call_put_p,c_p
52,10002967.SH,C,3.1,20210120,0.7,3.8,0.024929999999999997,0.019178082191780823,10002976.SH,P,0.0002
53,10002968.SH,C,3.2,20210120,0.6,3.8,0.024929999999999997,0.019178082191780823,10002977.SH,P,0.0002
54,10002969.SH,C,3.3,20210120,0.5,3.8,0.024929999999999997,0.019178082191780823,10002978.SH,P,0.0004
55,10002970.SH,C,3.4,20210120,0.4,3.8,0.024929999999999997,0.019178082191780823,10002979.SH,P,0.0005
56,10002971.SH,C,3.5,20210120,0.3,3.8,0.024929999999999997,0.019178082191780823,10002980.SH,P,0.0009
57,10002972.SH,C,3.6,20210120,0.2014,3.8,0.024929999999999997,0.019178082191780823,10002981.SH,P,0.0018
58,10002973.SH,C,3.7,20210120,0.1062,3.8,0.024929999999999997,0.019178082191780823,10002982.SH,P,0.0071
59,10002974.SH,C,3.8,20210120,0.0346,3.8,0.024929999999999997,0.019178082191780823,10002983.SH,P,0.0346
60,10002975.SH,C,3.9,20210120,0.0074,3.8,0.024929999999999997,0.019178082191780823,10002984.SH,P,0.1076
61,10002985.SH,C,3.1,20210120,0.7139,3.8,0.024929999999999997,0.1726027397260274,10002994.SH,P,0.0052
62,10002986.SH,C,3.2,20210120,0.6134,3.8,0.024929999999999997,0.1726027397260274,10002995.SH,P,0.0077
63,10002987.SH,C,3.3,20210120,0.5206,3.8,0.024929999999999997,0.1726027397260274,10002996.SH,P,0.0124
64,10002988.SH,C,3.4,20210120,0.4256,3.8,0.024929999999999997,0.1726027397260274,10002997.SH,P,0.0209
65,10002989.SH,C,3.5,20210120,0.3425,3.8,0.024929999999999997,0.1726027397260274,10002998.SH,P,0.033
66,10002990.SH,C,3.6,20210120,0.2599,3.8,0.024929999999999997,0.1726027397260274,10002999.SH,P,0.0553
67,10002991.SH,C,3.7,20210120,0.1959,3.8,0.024929999999999997,0.1726027397260274,10003000.SH,P,0.0892
68,10002992.SH,C,3.8,20210120,0.1414,3.8,0.024929999999999997,0.1726027397260274,10003001.SH,P,0.1334
