,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
46,10000172.SH,20150417,SSE,0.2896,0.2896,0.2689,0.2902,0.25,0.2766,0.2766,55.0,14.74,31.0
45,10000172.SH,20150420,SSE,0.2766,0.2766,0.2974,0.3333,0.2724,0.3333,0.3317,65.0,18.8699,55.0
44,10000172.SH,20150421,SSE,0.3317,0.3333,0.3385,0.3513,0.3091,0.3513,0.3171,26.0,8.8103,74.0
43,10000172.SH,20150422,SSE,0.3171,0.3513,0.2868,0.2888,0.285,0.2888,0.2646,13.0,3.7268,63.0
42,10000172.SH,20150423,SSE,0.2646,0.2888,0.2645,0.2826,0.2645,0.278,0.2756,36.0,9.9481,91.0
41,10000172.SH,20150424,SSE,0.2756,0.278,0.2856,0.3232,0.2856,0.2926,0.2889,72.0,22.1378,91.0
40,10000172.SH,20150427,SSE,0.2889,0.2926,0.2836,0.2836,0.2488,0.2488,0.2426,27.0,7.1221,88.0
39,10000172.SH,20150428,SSE,0.2426,0.2488,0.2484,0.256,0.2244,0.2513,0.2488,140.0,33.9332,108.0
38,10000172.SH,20150429,SSE,0.2488,0.2513,0.2638,0.2638,0.2366,0.2455,0.2449,87.0,21.5297,146.0
37,10000172.SH,20150430,SSE,0.2449,0.2455,0.2442,0.2531,0.2311,0.2521,0.2564,74.0,18.2044,185.0
36,10000172.SH,20150504,SSE,0.2564,0.2521,0.2528,0.2788,0.2399,0.2399,0.2399,148.0,37.2007,274.0
35,10000172.SH,20150505,SSE,0.2399,0.2399,0.2409,0.3037,0.2325,0.2984,0.2988,499.0,138.3481,365.0
34,10000172.SH,20150506,SSE,0.2988,0.2984,0.2949,0.3288,0.2548,0.3288,0.3178,262.0,73.4818,372.0
33,10000172.SH,20150507,SSE,0.3178,0.3288,0.3107,0.3335,0.3012,0.33,0.3319,142.0,45.798,402.0
32,10000172.SH,20150508,SSE,0.3319,0.33,0.3209,0.365,0.3208,0.3419,0.3335,57.0,19.2847,405.0
31,10000172.SH,20150511,SSE,0.3335,0.3419,0.3294,0.3507,0.2941,0.2941,0.2967,39.0,12.2441,398.0
30,10000172.SH,20150512,SSE,0.2967,0.2941,0.3082,0.3082,0.2803,0.2878,0.2878,54.0,15.8138,431.0
29,10000172.SH,20150513,SSE,0.2878,0.2878,0.2914,0.3185,0.2898,0.3049,0.3077,126.0,38.0883,454.0
28,10000172.SH,20150514,SSE,0.3077,0.3049,0.3177,0.3217,0.3,0.3115,0.3115,116.0,36.5449,545.0
27,10000172.SH,20150515,SSE,0.3115,0.3115,0.3139,0.342,0.3091,0.3216,0.3287,193.0,63.0545,554.0
26,10000172.SH,20150518,SSE,0.3287,0.3216,0.3407,0.3608,0.3337,0.355,0.356,258.0,87.9139,448.0
25,10000172.SH,20150519,SSE,0.356,0.355,0.3654,0.3654,0.2609,0.2788,0.2788,409.0,119.279,489.0
24,10000172.SH,20150520,SSE,0.2788,0.2788,0.2685,0.2969,0.2339,0.2969,0.2931,1346.0,354.1993,513.0
23,10000172.SH,20150521,SSE,0.2931,0.2969,0.2823,0.29,0.2566,0.2666,0.263,694.0,183.8268,916.0
22,10000172.SH,20150522,SSE,0.263,0.2666,0.25,0.25,0.2001,0.2001,0.2003,313.0,68.8022,956.0
21,10000172.SH,20150525,SSE,0.2003,0.2001,0.1885,0.1898,0.1509,0.153,0.153,1562.0,256.5131,2085.0
20,10000172.SH,20150526,SSE,0.153,0.153,0.1449,0.1688,0.136,0.1439,0.1439,2125.0,319.0921,3645.0
19,10000172.SH,20150527,SSE,0.1439,0.1439,0.1378,0.165,0.1351,0.15,0.15,3362.0,515.4775,5665.0
18,10000172.SH,20150528,SSE,0.15,0.15,0.1567,0.29,0.1474,0.29,0.29,5223.0,1004.165,6204.0
17,10000172.SH,20150529,SSE,0.29,0.29,0.265,0.3381,0.2,0.2921,0.2915,4435.0,1306.7357,4161.0
16,10000172.SH,20150601,SSE,0.2915,0.2921,0.299,0.3128,0.192,0.2002,0.1999,987.0,233.7613,4091.0
15,10000172.SH,20150602,SSE,0.1999,0.2002,0.2,0.2301,0.189,0.191,0.191,1365.0,285.9769,4106.0
14,10000172.SH,20150603,SSE,0.191,0.191,0.1978,0.2299,0.19,0.2105,0.2105,1173.0,245.0864,4408.0
13,10000172.SH,20150604,SSE,0.2105,0.2105,0.2119,0.28,0.1579,0.1666,0.1666,2734.0,567.5537,4687.0
12,10000172.SH,20150605,SSE,0.1666,0.1666,0.1256,0.2011,0.1218,0.165,0.165,2231.0,361.7883,5069.0
11,10000172.SH,20150608,SSE,0.165,0.165,0.1592,0.161,0.0789,0.0793,0.0793,5407.0,615.1474,5552.0
10,10000172.SH,20150609,SSE,0.0793,0.0793,0.0719,0.1079,0.0719,0.0943,0.0943,5092.0,482.7508,6093.0
9,10000172.SH,20150610,SSE,0.0943,0.0943,0.103,0.1288,0.0892,0.1047,0.1047,5132.0,539.6767,7044.0
8,10000172.SH,20150611,SSE,0.1047,0.1047,0.1018,0.1285,0.1001,0.1199,0.1199,6726.0,776.8447,7864.0
7,10000172.SH,20150612,SSE,0.1199,0.1199,0.1111,0.1253,0.1028,0.1051,0.1051,5658.0,631.7517,8098.0
6,10000172.SH,20150615,SSE,0.1051,0.1051,0.0901,0.1299,0.0901,0.126,0.126,6893.0,784.5276,8855.0
5,10000172.SH,20150616,SSE,0.126,0.126,0.1348,0.2022,0.118,0.1819,0.1819,7725.0,1149.7349,8500.0
