,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
47,10005002.SH,20230109,SSE,0.2314,,0.2203,0.2239,0.2105,0.2124,0.2149,101.0,21.5281,93.0
46,10005002.SH,20230110,SSE,0.2149,0.2124,0.2211,0.2211,0.2097,0.216,0.2195,34.0,7.3113,111.0
45,10005002.SH,20230111,SSE,0.2195,0.216,0.2185,0.2185,0.2015,0.215,0.215,304.0,63.7639,334.0
44,10005002.SH,20230112,SSE,0.215,0.215,0.207,0.2164,0.207,0.2118,0.2118,100.0,21.4431,356.0
43,10005002.SH,20230113,SSE,0.2118,0.2118,0.2,0.2022,0.1757,0.1763,0.1715,399.0,75.9117,561.0
42,10005002.SH,20230116,SSE,0.1715,0.1763,0.169,0.169,0.1199,0.1444,0.1435,3185.0,416.266,1620.0
41,10005002.SH,20230117,SSE,0.1435,0.1444,0.1415,0.1503,0.1373,0.1443,0.1434,630.0,91.0842,1810.0
40,10005002.SH,20230118,SSE,0.1434,0.1443,0.1404,0.1625,0.1355,0.1614,0.1614,949.0,142.9049,2323.0
39,10005002.SH,20230119,SSE,0.1614,0.1614,0.1672,0.1798,0.1585,0.1603,0.1603,375.0,63.5631,2140.0
38,10005002.SH,20230120,SSE,0.1603,0.1603,0.1509,0.1575,0.1395,0.1471,0.1475,495.0,73.2962,2198.0
37,10005002.SH,20230130,SSE,0.1475,0.1471,0.12,0.1429,0.1112,0.1396,0.1396,2815.0,358.3221,2433.0
36,10005002.SH,20230131,SSE,0.1396,0.1396,0.135,0.155,0.1272,0.1502,0.1502,2026.0,288.2252,2519.0
35,10005002.SH,20230201,SSE,0.1502,0.1502,0.1445,0.178,0.1444,0.1479,0.1479,1154.0,186.1197,2370.0
34,10005002.SH,20230202,SSE,0.1479,0.1479,0.1421,0.1644,0.1421,0.1542,0.1542,758.0,119.4545,2463.0
33,10005002.SH,20230203,SSE,0.1542,0.1542,0.1613,0.2043,0.1613,0.1852,0.1852,1128.0,213.4871,2317.0
32,10005002.SH,20230206,SSE,0.1852,0.1852,0.2037,0.2316,0.2037,0.2191,0.2207,1112.0,244.0334,2775.0
31,10005002.SH,20230207,SSE,0.2207,0.2191,0.213,0.221,0.2025,0.2113,0.2113,397.0,83.3648,2771.0
30,10005002.SH,20230208,SSE,0.2113,0.2113,0.206,0.219,0.194,0.2156,0.2156,219.0,44.8697,2852.0
29,10005002.SH,20230209,SSE,0.2156,0.2156,0.212,0.212,0.1846,0.1899,0.19,897.0,174.5427,2896.0
28,10005002.SH,20230210,SSE,0.19,0.1899,0.2002,0.2058,0.1929,0.198,0.198,318.0,63.5035,2897.0
27,10005002.SH,20230213,SSE,0.198,0.198,0.2072,0.2136,0.1776,0.1815,0.1815,943.0,174.4144,3033.0
26,10005002.SH,20230214,SSE,0.1815,0.1815,0.18,0.185,0.1698,0.1698,0.1698,371.0,66.481,3075.0
25,10005002.SH,20230215,SSE,0.1698,0.1698,0.172,0.1952,0.167,0.1885,0.19,1278.0,239.1007,3710.0
24,10005002.SH,20230216,SSE,0.19,0.1885,0.1876,0.2182,0.1574,0.199,0.2,1130.0,199.3065,3965.0
23,10005002.SH,20230217,SSE,0.2,0.199,0.1978,0.2316,0.184,0.2292,0.2306,1086.0,212.1194,4412.0
22,10005002.SH,20230220,SSE,0.2306,0.2292,0.22,0.2238,0.1571,0.1605,0.1605,1684.0,309.1111,4866.0
21,10005002.SH,20230221,SSE,0.1605,0.1605,0.162,0.1668,0.1451,0.1494,0.1494,2567.0,396.1067,5578.0
20,10005002.SH,20230222,SSE,0.1494,0.1494,0.1598,0.1799,0.1525,0.1773,0.1773,3954.0,655.9499,6120.0
19,10005002.SH,20230223,SSE,0.1773,0.1773,0.173,0.1886,0.159,0.1778,0.1778,2203.0,385.1058,6085.0
18,10005002.SH,20230224,SSE,0.1778,0.1778,0.1767,0.2205,0.1767,0.2147,0.2147,2635.0,520.6727,5794.0
17,10005002.SH,20230227,SSE,0.2147,0.2147,0.2263,0.2287,0.2036,0.2159,0.217,750.0,160.49,5689.0
16,10005002.SH,20230228,SSE,0.217,0.2159,0.2101,0.2389,0.197,0.197,0.204,801.0,174.4033,5747.0
15,10005002.SH,20230301,SSE,0.204,0.197,0.2057,0.2089,0.1591,0.1702,0.173,1391.0,243.1692,5665.0
14,10005002.SH,20230302,SSE,0.173,0.1702,0.1777,0.1801,0.1617,0.171,0.174,959.0,164.2725,5709.0
13,10005002.SH,20230303,SSE,0.174,0.171,0.1662,0.184,0.158,0.1699,0.171,1137.0,193.5405,5640.0
12,10005002.SH,20230306,SSE,0.171,0.1699,0.1737,0.207,0.1734,0.1994,0.201,2263.0,441.1555,5677.0
11,10005002.SH,20230307,SSE,0.201,0.1994,0.202,0.2327,0.1828,0.2296,0.232,1599.0,326.5513,5588.0
10,10005002.SH,20230308,SSE,0.232,0.2296,0.2425,0.2602,0.2386,0.251,0.253,422.0,104.5118,5408.0
9,10005002.SH,20230309,SSE,0.253,0.251,0.2496,0.2819,0.2467,0.268,0.272,362.0,96.1955,5378.0
8,10005002.SH,20230310,SSE,0.272,0.268,0.2844,0.3086,0.272,0.307,0.308,1219.0,355.3206,5299.0
7,10005002.SH,20230313,SSE,0.308,0.307,0.303,0.303,0.2687,0.2791,0.281,277.0,78.1498,5308.0
6,10005002.SH,20230314,SSE,0.281,0.2791,0.2855,0.3138,0.2847,0.2963,0.299,811.0,241.1462,4926.0
5,10005002.SH,20230315,SSE,0.299,0.2963,0.2855,0.2966,0.269,0.296,0.298,564.0,162.2803,4714.0
4,10005002.SH,20230316,SSE,0.298,0.296,0.3115,0.321,0.2937,0.321,0.323,576.0,177.4729,4626.0
3,10005002.SH,20230317,SSE,0.323,0.321,0.3083,0.3248,0.2668,0.3136,0.313,1486.0,440.7349,3576.0
2,10005002.SH,20230320,SSE,0.313,0.3136,0.303,0.3307,0.3018,0.3307,0.3303,350.0,109.6025,3514.0
1,10005002.SH,20230321,SSE,0.3303,0.3307,0.3139,0.3205,0.2984,0.3036,0.3036,2323.0,718.4966,1814.0
0,10005002.SH,20230322,SSE,0.3036,0.3036,0.2943,0.3019,0.2809,0.2954,0.294,867.0,251.3604,1214.0
