,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
41,10000876.SH,20170323,SSE,0.0471,0.0471,0.045,0.045,0.034,0.039,0.039,15661.0,600.8849,6156.0
40,10000876.SH,20170324,SSE,0.039,0.039,0.0387,0.0387,0.0242,0.0268,0.0268,11149.0,364.8912,7798.0
39,10000876.SH,20170327,SSE,0.0268,0.0268,0.027,0.0316,0.0227,0.03,0.03,11039.0,295.7384,9990.0
38,10000876.SH,20170328,SSE,0.03,0.03,0.0299,0.0342,0.0269,0.0331,0.033,8203.0,256.571,11851.0
37,10000876.SH,20170329,SSE,0.033,0.0331,0.0302,0.0356,0.0292,0.0324,0.0324,7965.0,255.9642,12427.0
36,10000876.SH,20170330,SSE,0.0324,0.0324,0.0323,0.0385,0.0309,0.0352,0.0352,10595.0,373.0069,14400.0
35,10000876.SH,20170331,SSE,0.0352,0.0352,0.0348,0.0362,0.0289,0.0295,0.0295,7004.0,227.4861,14664.0
34,10000876.SH,20170405,SSE,0.0295,0.0295,0.025,0.027,0.0201,0.0201,0.0201,12860.0,291.1953,15510.0
33,10000876.SH,20170406,SSE,0.0201,0.0201,0.0197,0.023,0.0175,0.0191,0.0191,12553.0,247.816,18901.0
32,10000876.SH,20170407,SSE,0.0191,0.0191,0.0191,0.0212,0.0175,0.0191,0.0191,9746.0,189.4641,20841.0
31,10000876.SH,20170410,SSE,0.0191,0.0191,0.0195,0.0201,0.0176,0.0192,0.0192,6338.0,118.49,22576.0
30,10000876.SH,20170411,SSE,0.0192,0.0192,0.0195,0.0258,0.0173,0.0182,0.0182,24557.0,525.8476,29345.0
29,10000876.SH,20170412,SSE,0.0182,0.0182,0.0189,0.0237,0.0166,0.0206,0.0206,14359.0,277.4129,31500.0
28,10000876.SH,20170413,SSE,0.0206,0.0206,0.021,0.0226,0.019,0.0197,0.0197,8451.0,171.8969,34365.0
27,10000876.SH,20170414,SSE,0.0197,0.0197,0.0203,0.0303,0.0202,0.0281,0.0281,20768.0,523.5792,41557.0
26,10000876.SH,20170417,SSE,0.0281,0.0281,0.0292,0.0354,0.0255,0.026,0.026,28616.0,904.0617,45751.0
25,10000876.SH,20170418,SSE,0.026,0.026,0.0264,0.0324,0.0264,0.0321,0.0321,21743.0,642.2961,53029.0
24,10000876.SH,20170419,SSE,0.0321,0.0321,0.0355,0.0508,0.0355,0.0446,0.0446,41872.0,1790.6202,59454.0
23,10000876.SH,20170420,SSE,0.0446,0.0446,0.0446,0.0449,0.0362,0.0378,0.0378,27476.0,1128.7473,61383.0
22,10000876.SH,20170421,SSE,0.0378,0.0378,0.0377,0.0377,0.03,0.0308,0.0308,37560.0,1246.9245,67809.0
21,10000876.SH,20170424,SSE,0.0308,0.0308,0.0291,0.0411,0.0291,0.0337,0.0337,48448.0,1768.7132,75566.0
20,10000876.SH,20170425,SSE,0.0337,0.0337,0.033,0.033,0.027,0.0286,0.0286,33473.0,975.0848,81087.0
19,10000876.SH,20170426,SSE,0.0286,0.0286,0.0285,0.0285,0.0196,0.0266,0.0266,61368.0,1429.6841,89372.0
18,10000876.SH,20170427,SSE,0.0266,0.0266,0.0277,0.0333,0.0212,0.0235,0.0235,73748.0,2052.6134,91124.0
17,10000876.SH,20170428,SSE,0.0235,0.0235,0.0229,0.0288,0.022,0.0253,0.0253,45038.0,1154.5652,90846.0
16,10000876.SH,20170502,SSE,0.0253,0.0253,0.0253,0.0275,0.0215,0.0275,0.0275,32389.0,800.5696,91955.0
15,10000876.SH,20170503,SSE,0.0275,0.0275,0.0273,0.0325,0.024,0.0316,0.0316,44869.0,1270.8116,94765.0
14,10000876.SH,20170504,SSE,0.0316,0.0316,0.033,0.0373,0.0274,0.0361,0.0361,48300.0,1621.4109,94038.0
13,10000876.SH,20170505,SSE,0.0361,0.0361,0.0354,0.054,0.0352,0.044,0.044,69080.0,3137.1276,87913.0
12,10000876.SH,20170508,SSE,0.044,0.044,0.0459,0.0518,0.037,0.0378,0.0378,57000.0,2525.4795,81213.0
11,10000876.SH,20170509,SSE,0.0378,0.0378,0.0392,0.0415,0.0338,0.0372,0.0372,38527.0,1450.8658,79964.0
10,10000876.SH,20170510,SSE,0.0372,0.0372,0.037,0.037,0.0248,0.0314,0.0314,54802.0,1606.0372,80163.0
9,10000876.SH,20170511,SSE,0.0314,0.0314,0.0333,0.0343,0.021,0.0218,0.0218,54107.0,1371.8669,78688.0
8,10000876.SH,20170512,SSE,0.0218,0.0218,0.0222,0.0229,0.0074,0.0074,0.0074,95884.0,1090.8405,96299.0
7,10000876.SH,20170515,SSE,0.0074,0.0074,0.0074,0.0078,0.0045,0.0062,0.0062,54240.0,290.3624,105799.0
6,10000876.SH,20170516,SSE,0.0062,0.0062,0.0063,0.008,0.0035,0.0035,0.0035,49889.0,282.7125,104077.0
5,10000876.SH,20170517,SSE,0.0035,0.0035,0.0036,0.0066,0.0033,0.0062,0.0062,36888.0,191.8596,99672.0
4,10000876.SH,20170518,SSE,0.0062,0.0062,0.0089,0.011,0.0056,0.0073,0.0073,62898.0,485.9804,80756.0
3,10000876.SH,20170519,SSE,0.0073,0.0073,0.0075,0.0077,0.0051,0.006,0.006,35010.0,212.9522,76535.0
2,10000876.SH,20170522,SSE,0.006,0.006,0.0059,0.006,0.0016,0.0025,0.0025,34159.0,91.1888,71836.0
1,10000876.SH,20170523,SSE,0.0025,0.0025,0.002,0.0023,0.0001,0.0003,0.0003,25434.0,14.8215,61528.0
0,10000876.SH,20170524,SSE,0.0003,0.0003,0.0002,0.0005,0.0001,0.0001,0.0,11748.0,3.087,58433.0
