,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
39,10001398.SH,20180628,SSE,0.0747,0.0747,0.0752,0.0923,0.0682,0.0868,0.0868,9343.0,760.2673,2003.0
38,10001398.SH,20180629,SSE,0.0868,0.0868,0.084,0.0841,0.056,0.0582,0.0582,6062.0,419.0488,2459.0
37,10001398.SH,20180702,SSE,0.0582,0.0582,0.0585,0.1326,0.0585,0.119,0.119,15878.0,1507.3615,4575.0
36,10001398.SH,20180703,SSE,0.119,0.119,0.1166,0.1543,0.105,0.1123,0.1123,14520.0,1781.5294,4953.0
35,10001398.SH,20180704,SSE,0.1123,0.1123,0.1132,0.1274,0.0977,0.1228,0.1228,9018.0,1035.9277,5591.0
34,10001398.SH,20180705,SSE,0.1228,0.1228,0.1214,0.1373,0.1007,0.1233,0.1233,7369.0,873.7595,5953.0
33,10001398.SH,20180706,SSE,0.1233,0.1233,0.1165,0.1361,0.0874,0.1001,0.1001,9041.0,984.9405,6396.0
32,10001398.SH,20180709,SSE,0.1001,0.1001,0.0949,0.0949,0.0567,0.0593,0.0593,12463.0,855.8277,7132.0
31,10001398.SH,20180710,SSE,0.0593,0.0593,0.0529,0.0698,0.0528,0.0571,0.0571,10126.0,623.8233,8784.0
30,10001398.SH,20180711,SSE,0.0571,0.0571,0.0739,0.0962,0.0729,0.0777,0.0777,14662.0,1191.3594,10736.0
29,10001398.SH,20180712,SSE,0.0777,0.0777,0.0772,0.0786,0.0454,0.0539,0.0539,14222.0,774.2854,11858.0
28,10001398.SH,20180713,SSE,0.0539,0.0539,0.0509,0.0554,0.0465,0.0489,0.0489,5733.0,294.1759,12333.0
27,10001398.SH,20180716,SSE,0.0489,0.0489,0.0499,0.06,0.0441,0.0521,0.0521,12469.0,676.6064,14165.0
26,10001398.SH,20180717,SSE,0.0521,0.0521,0.052,0.0667,0.051,0.0552,0.0552,13734.0,822.1708,17079.0
25,10001398.SH,20180718,SSE,0.0552,0.0552,0.0546,0.0607,0.0406,0.0589,0.0589,21800.0,1096.5696,19610.0
24,10001398.SH,20180719,SSE,0.0589,0.0589,0.0572,0.0572,0.0411,0.0506,0.0506,25330.0,1251.4258,23638.0
23,10001398.SH,20180720,SSE,0.0506,0.0506,0.0507,0.0606,0.0266,0.0295,0.0295,56086.0,2294.5005,31594.0
22,10001398.SH,20180723,SSE,0.0295,0.0295,0.0308,0.0328,0.0228,0.0236,0.0236,48272.0,1292.2767,38954.0
21,10001398.SH,20180724,SSE,0.0236,0.0236,0.0235,0.0235,0.0174,0.0189,0.0189,58671.0,1116.6282,51277.0
20,10001398.SH,20180725,SSE,0.0189,0.0189,0.0185,0.0213,0.0171,0.0183,0.0183,29377.0,565.9964,58255.0
19,10001398.SH,20180726,SSE,0.0183,0.0183,0.0178,0.0201,0.0149,0.0189,0.0189,50120.0,909.2917,62223.0
18,10001398.SH,20180727,SSE,0.0189,0.0189,0.0195,0.0215,0.0142,0.016,0.016,48854.0,844.405,65211.0
17,10001398.SH,20180730,SSE,0.016,0.016,0.0165,0.0171,0.0101,0.0133,0.0133,46256.0,632.4045,70276.0
16,10001398.SH,20180731,SSE,0.0133,0.0133,0.0131,0.0153,0.01,0.0116,0.0116,34783.0,447.5191,73244.0
15,10001398.SH,20180801,SSE,0.0116,0.0116,0.0105,0.0341,0.0086,0.0255,0.0255,73278.0,1145.7551,71955.0
14,10001398.SH,20180802,SSE,0.0255,0.0255,0.0275,0.056,0.0258,0.0436,0.0436,180922.0,7347.2068,65396.0
13,10001398.SH,20180803,SSE,0.0436,0.0436,0.0439,0.0533,0.0345,0.0533,0.0533,127625.0,5664.7636,59505.0
12,10001398.SH,20180806,SSE,0.0533,0.0533,0.049,0.0623,0.034,0.051,0.051,136918.0,6567.0634,52934.0
11,10001398.SH,20180807,SSE,0.051,0.051,0.0438,0.0517,0.0234,0.0239,0.0239,130016.0,4856.5611,63606.0
10,10001398.SH,20180808,SSE,0.0239,0.0239,0.0235,0.0353,0.0232,0.0332,0.0332,86737.0,2514.0333,65005.0
9,10001398.SH,20180809,SSE,0.0332,0.0332,0.0343,0.0368,0.0141,0.0159,0.0159,130593.0,2683.6879,70811.0
8,10001398.SH,20180810,SSE,0.0159,0.0159,0.016,0.0175,0.0113,0.0124,0.0124,80274.0,1205.785,71150.0
7,10001398.SH,20180813,SSE,0.0124,0.0124,0.0185,0.0287,0.011,0.0156,0.0156,160970.0,3350.0481,68393.0
6,10001398.SH,20180814,SSE,0.0156,0.0156,0.0149,0.0197,0.0118,0.015,0.015,104445.0,1742.4193,67413.0
5,10001398.SH,20180815,SSE,0.015,0.015,0.0143,0.0388,0.0142,0.037,0.037,159545.0,4166.6938,60149.0
4,10001398.SH,20180816,SSE,0.037,0.037,0.0513,0.0703,0.0224,0.0343,0.0343,193165.0,7167.778,51052.0
3,10001398.SH,20180817,SSE,0.0343,0.0343,0.0231,0.051,0.0217,0.0455,0.0455,175147.0,6076.9935,39699.0
2,10001398.SH,20180820,SSE,0.0455,0.0455,0.0431,0.048,0.0185,0.0192,0.0192,172303.0,5675.5821,37924.0
1,10001398.SH,20180821,SSE,0.0192,0.0192,0.0185,0.0191,0.001,0.0024,0.0024,102175.0,640.6192,29806.0
0,10001398.SH,20180822,SSE,0.0024,0.0024,0.0014,0.0021,0.0001,0.0001,0.0,24273.0,23.5641,28326.0
