,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
37,10003878.SH,20211224,SSE,0.425,,0.4049,0.41,0.3885,0.41,0.427,7.0,2.7724,5.0
36,10003878.SH,20211227,SSE,0.427,0.41,0.4103,0.42,0.4103,0.42,0.432,21.0,8.626,26.0
35,10003878.SH,20211228,SSE,0.432,0.42,0.4125,0.4125,0.39,0.39,0.414,11.0,4.3674,35.0
34,10003878.SH,20211229,SSE,0.414,0.39,0.3953,0.4492,0.3953,0.4492,0.475,27.0,11.4494,56.0
33,10003878.SH,20211230,SSE,0.475,0.4492,0.433,0.433,0.433,0.433,0.453,1.0,0.433,56.0
32,10003878.SH,20211231,SSE,0.453,0.433,0.426,0.426,0.426,0.426,0.444,1.0,0.426,57.0
31,10003878.SH,20220104,SSE,0.444,0.426,0.443,0.475,0.4354,0.4421,0.453,45.0,20.4066,93.0
30,10003878.SH,20220105,SSE,0.453,0.4421,0.4372,0.4513,0.418,0.4338,0.459,35.0,15.2021,95.0
29,10003878.SH,20220106,SSE,0.459,0.4338,0.4503,0.4984,0.4503,0.4813,0.507,76.0,36.8081,121.0
28,10003878.SH,20220107,SSE,0.507,0.4813,0.4729,0.4729,0.4681,0.4688,0.493,3.0,1.4098,104.0
27,10003878.SH,20220110,SSE,0.493,0.4688,0.4707,0.489,0.4642,0.4642,0.484,31.0,14.5244,122.0
26,10003878.SH,20220111,SSE,0.484,0.4642,0.453,0.4862,0.453,0.4852,0.504,10.0,4.7981,108.0
25,10003878.SH,20220112,SSE,0.504,0.4852,0.4812,0.4812,0.4562,0.4562,0.48,3.0,1.3954,106.0
24,10003878.SH,20220113,SSE,0.48,0.4562,0.448,0.5096,0.448,0.503,0.534,25.0,12.3347,119.0
23,10003878.SH,20220114,SSE,0.534,0.503,0.51,0.5574,0.51,0.5574,0.58,16.0,8.5185,126.0
22,10003878.SH,20220117,SSE,0.58,0.5574,0.5514,0.562,0.5494,0.5494,0.569,22.0,12.131,138.0
21,10003878.SH,20220118,SSE,0.569,0.5494,0.5415,0.563,0.508,0.5186,0.531,74.0,39.5327,175.0
20,10003878.SH,20220119,SSE,0.531,0.5186,0.5036,0.5272,0.5019,0.5187,0.531,43.0,22.3922,212.0
19,10003878.SH,20220120,SSE,0.531,0.5187,0.49,0.49,0.4468,0.4688,0.486,166.0,77.6572,304.0
18,10003878.SH,20220121,SSE,0.486,0.4688,0.48,0.495,0.4732,0.4835,0.4962,180.0,86.4636,339.0
17,10003878.SH,20220124,SSE,0.4962,0.4835,0.4953,0.5199,0.4879,0.498,0.505,443.0,220.3018,577.0
16,10003878.SH,20220125,SSE,0.505,0.498,0.5148,0.5517,0.5103,0.5517,0.571,163.0,85.782,639.0
15,10003878.SH,20220126,SSE,0.571,0.5517,0.5419,0.5716,0.537,0.5371,0.556,231.0,125.0379,803.0
14,10003878.SH,20220127,SSE,0.556,0.5371,0.5616,0.5888,0.5577,0.5888,0.593,110.0,63.2077,803.0
13,10003878.SH,20220128,SSE,0.593,0.5888,0.5669,0.6686,0.5669,0.6686,0.6659,94.0,58.4703,828.0
12,10003878.SH,20220207,SSE,0.6659,0.6686,0.6358,0.6358,0.5864,0.6043,0.605,77.0,46.0007,850.0
11,10003878.SH,20220208,SSE,0.605,0.6043,0.6044,0.6545,0.6044,0.6211,0.602,61.0,38.4063,855.0
10,10003878.SH,20220209,SSE,0.602,0.6211,0.5916,0.5999,0.5679,0.5697,0.58,60.0,34.6934,882.0
9,10003878.SH,20220210,SSE,0.58,0.5697,0.5797,0.5856,0.5678,0.5678,0.572,11.0,6.318,854.0
8,10003878.SH,20220211,SSE,0.572,0.5678,0.57,0.5709,0.5441,0.5709,0.577,103.0,57.5693,802.0
7,10003878.SH,20220214,SSE,0.577,0.5709,0.5899,0.611,0.5899,0.6085,0.612,38.0,22.7506,813.0
6,10003878.SH,20220215,SSE,0.612,0.6085,0.6097,0.6175,0.5863,0.5955,0.6,162.0,97.2917,847.0
5,10003878.SH,20220216,SSE,0.6,0.5955,0.58,0.585,0.5693,0.5827,0.584,649.0,375.4264,1148.0
4,10003878.SH,20220217,SSE,0.584,0.5827,0.579,0.5827,0.5585,0.5727,0.581,192.0,109.9068,1025.0
3,10003878.SH,20220218,SSE,0.581,0.5727,0.5905,0.5943,0.5551,0.5551,0.556,264.0,150.2935,997.0
2,10003878.SH,20220221,SSE,0.556,0.5551,0.561,0.5886,0.561,0.5709,0.5709,290.0,168.6379,618.0
1,10003878.SH,20220222,SSE,0.5709,0.5709,0.5972,0.6363,0.5972,0.6171,0.619,392.0,243.0133,545.0
0,10003878.SH,20220223,SSE,0.619,0.6171,0.6058,0.6252,0.6036,0.6047,0.6,367.0,224.2486,566.0
