,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
49,10000164.SH,20150414,SSE,0.3201,0.3201,0.3226,0.3226,0.3226,0.3226,0.3183,5.0,1.613,5.0
48,10000164.SH,20150415,SSE,0.3183,0.3226,0.315,0.3154,0.2838,0.2934,0.2995,30.0,9.0054,30.0
47,10000164.SH,20150416,SSE,0.2995,0.2934,0.2852,0.3038,0.2305,0.2305,0.2308,23.0,5.9246,40.0
46,10000164.SH,20150417,SSE,0.2308,0.2305,0.2144,0.2169,0.1792,0.2169,0.2176,80.0,16.2877,102.0
45,10000164.SH,20150420,SSE,0.2176,0.2169,0.2208,0.2815,0.1993,0.2771,0.2771,172.0,40.3574,114.0
44,10000164.SH,20150421,SSE,0.2771,0.2771,0.2447,0.2849,0.2431,0.2663,0.2663,63.0,16.4342,136.0
43,10000164.SH,20150422,SSE,0.2663,0.2663,0.2473,0.2512,0.2138,0.2138,0.2063,19.0,4.6045,137.0
42,10000164.SH,20150423,SSE,0.2063,0.2138,0.2062,0.2251,0.2062,0.2178,0.2182,62.0,13.4533,152.0
41,10000164.SH,20150424,SSE,0.2182,0.2178,0.226,0.2585,0.226,0.2268,0.229,81.0,19.2511,167.0
40,10000164.SH,20150427,SSE,0.229,0.2268,0.2233,0.2233,0.1932,0.1939,0.189,114.0,23.0559,174.0
39,10000164.SH,20150428,SSE,0.189,0.1939,0.195,0.2059,0.1712,0.1918,0.1936,248.0,47.9397,228.0
38,10000164.SH,20150429,SSE,0.1936,0.1918,0.2044,0.2044,0.186,0.1914,0.191,114.0,21.8132,326.0
37,10000164.SH,20150430,SSE,0.191,0.1914,0.1885,0.2041,0.1766,0.204,0.2038,92.0,17.7654,377.0
36,10000164.SH,20150504,SSE,0.2038,0.204,0.1967,0.2208,0.1867,0.1867,0.1867,290.0,57.7259,468.0
35,10000164.SH,20150505,SSE,0.1867,0.1867,0.1917,0.244,0.1911,0.2364,0.2362,725.0,153.3339,739.0
34,10000164.SH,20150506,SSE,0.2362,0.2364,0.2312,0.2577,0.1978,0.252,0.2497,858.0,189.2468,584.0
33,10000164.SH,20150507,SSE,0.2497,0.252,0.2533,0.2646,0.2388,0.2646,0.2625,240.0,60.2368,559.0
32,10000164.SH,20150508,SSE,0.2625,0.2646,0.2538,0.2893,0.2224,0.2617,0.26,110.0,28.5319,541.0
31,10000164.SH,20150511,SSE,0.26,0.2617,0.2614,0.2688,0.2293,0.2293,0.232,68.0,16.7098,586.0
30,10000164.SH,20150512,SSE,0.232,0.2293,0.2374,0.2374,0.2186,0.221,0.221,130.0,29.6125,621.0
29,10000164.SH,20150513,SSE,0.221,0.221,0.2122,0.2432,0.2122,0.2341,0.2341,117.0,26.9913,623.0
28,10000164.SH,20150514,SSE,0.2341,0.2341,0.2432,0.257,0.2326,0.2372,0.2373,127.0,30.6957,625.0
27,10000164.SH,20150515,SSE,0.2373,0.2372,0.2379,0.2737,0.2379,0.2464,0.2547,258.0,67.9346,711.0
26,10000164.SH,20150518,SSE,0.2547,0.2464,0.2639,0.2811,0.2555,0.2811,0.2811,227.0,61.0652,678.0
25,10000164.SH,20150519,SSE,0.2811,0.2811,0.2683,0.2683,0.1885,0.1985,0.1985,332.0,70.8603,746.0
24,10000164.SH,20150520,SSE,0.1985,0.1985,0.1913,0.2179,0.1684,0.2093,0.2093,1384.0,263.6148,756.0
23,10000164.SH,20150521,SSE,0.2093,0.2093,0.2012,0.2125,0.1865,0.1985,0.1976,352.0,69.7344,770.0
22,10000164.SH,20150522,SSE,0.1976,0.1985,0.188,0.188,0.1397,0.14,0.14,1463.0,224.6726,1362.0
21,10000164.SH,20150525,SSE,0.14,0.14,0.135,0.135,0.106,0.106,0.106,1491.0,175.3158,1696.0
20,10000164.SH,20150526,SSE,0.106,0.106,0.1023,0.1195,0.0924,0.1028,0.1031,2402.0,261.7785,2185.0
19,10000164.SH,20150527,SSE,0.1031,0.1028,0.0961,0.123,0.0911,0.1129,0.1129,1191.0,129.9288,2636.0
18,10000164.SH,20150528,SSE,0.1129,0.1129,0.113,0.2151,0.1,0.207,0.207,3411.0,462.2703,2672.0
17,10000164.SH,20150529,SSE,0.207,0.207,0.2006,0.2534,0.1884,0.22,0.22,2002.0,437.6086,2761.0
16,10000164.SH,20150601,SSE,0.22,0.22,0.2244,0.2374,0.1286,0.132,0.132,1621.0,277.0905,2952.0
15,10000164.SH,20150602,SSE,0.132,0.132,0.1277,0.166,0.1277,0.1308,0.1308,2445.0,358.4465,3385.0
14,10000164.SH,20150603,SSE,0.1308,0.1308,0.1353,0.1627,0.1301,0.1492,0.1492,2110.0,309.7464,3456.0
13,10000164.SH,20150604,SSE,0.1492,0.1492,0.1532,0.2199,0.1099,0.1125,0.1125,4938.0,723.2382,3816.0
12,10000164.SH,20150605,SSE,0.1125,0.1125,0.0847,0.1379,0.0781,0.113,0.113,3712.0,417.3848,3707.0
11,10000164.SH,20150608,SSE,0.113,0.113,0.115,0.115,0.048,0.051,0.051,5466.0,404.2598,5180.0
10,10000164.SH,20150609,SSE,0.051,0.051,0.0444,0.0679,0.043,0.06,0.06,5653.0,326.9745,5373.0
9,10000164.SH,20150610,SSE,0.06,0.06,0.07,0.0796,0.0521,0.064,0.064,4279.0,274.3242,6139.0
8,10000164.SH,20150611,SSE,0.064,0.064,0.062,0.0796,0.06,0.0727,0.0726,4916.0,352.0086,6823.0
7,10000164.SH,20150612,SSE,0.0726,0.0727,0.0652,0.0778,0.0615,0.0619,0.0619,2259.0,150.7183,7036.0
6,10000164.SH,20150615,SSE,0.0619,0.0619,0.055,0.0775,0.052,0.0704,0.0704,4190.0,274.6904,6986.0
5,10000164.SH,20150616,SSE,0.0704,0.0704,0.0724,0.1239,0.064,0.1114,0.11,6925.0,616.0208,7368.0
