time,buy
160914,2.6500
160918,2.4000
160919,2.5600
160920,2.7000
160921,2.7400
160922,2.6800
160923,2.4000
160926,2.4400
160927,2.4900
160928,2.6000
160929,2.8500
160930,2.5500
161008,2.3500
161009,2.3000
161010,2.4500
161011,2.3600
161012,2.3900
161013,2.4100
161014,2.4000
161017,2.4500
161018,2.5000
161019,2.7500
161020,2.7000
161021,3.0000
161024,2.9500
161025,2.7000
161026,2.8000
161027,3.0000
161028,3.0000
161031,3.0000
161101,2.8000
161102,2.5000
161103,2.4500
161104,2.4000
161107,2.4500
161108,2.3500
161109,2.4000
161110,2.4500
161111,2.5000
161114,2.7000
161115,2.6000
161116,2.8500
161117,2.8500
161118,2.8500
161121,2.6500
161122,2.7000
161123,2.7000
161124,2.8000
161125,2.9000
161128,2.9000
161129,2.8000
161130,3.2400
161201,3.2000
161202,2.7000
161205,2.6000
161206,2.4500
161207,2.5000
161208,2.5000
161209,2.5000
161212,2.6000
161213,2.6000
161214,2.8900
161215,2.5000
161216,3.2400
161219,3.0000
161220,2.6500
161221,3.0000
161222,2.7000
161223,2.5500
161226,2.5000
161227,2.5000
161228,2.8000
161229,3.2400
161230,3.2400
170103,2.7000
170104,2.5600
170105,2.4800
170106,2.4000
170109,2.3500
170110,2.3500
170111,2.4500
170112,2.4000
170113,2.4000
170116,2.5500
170117,2.3300
170118,3.2000
170119,2.5000
170120,3.0000
170122,2.5500
170123,2.4500
170124,2.8500
170125,2.6000
170126,2.7000
170203,2.7000
170204,2.5000
170206,2.5500
170207,2.6000
170208,2.9000
170209,2.6500
170210,2.6000
170213,2.6000
170214,2.6800
170215,3.3400
170216,2.8300
170217,3.3400
170220,3.3400
170221,3.3000
170222,3.0300
170223,3.3400
170224,3.3400
170227,2.6000
170228,3.0000
170301,3.2400
170302,3.1000
170303,2.8000
170306,2.9000
170307,3.3000
170308,3.1000
170309,3.0000
170310,2.8000
170313,2.9000
170314,3.0000
170315,3.0000
170316,3.8000
170317,3.4400
170320,3.8500
170321,5.5000
170322,5.0000
170323,3.4400
170324,3.2000
170327,3.2000
170328,2.7200
170329,3.5000
170330,3.1100
170331,4.5000
170401,2.6500
170405,2.9000
170406,3.4000
170407,3.0000
170410,2.9000
170411,2.8000
170412,3.0000
170413,2.9000
170414,2.9000
170417,3.4400
170418,3.4000
170419,3.8000
170420,3.6000
170421,3.4400
170424,3.4400
170425,3.4400
170426,3.5000
170427,4.0000
170428,4.3000
170502,3.7000
170503,4.5000
170504,4.3000
170505,3.4400
170508,3.3000
170509,3.3000
170510,3.3000
170511,3.4000
170512,3.4000
170515,3.1500
170516,3.4000
170517,3.4400
170518,3.4400
170519,3.2000
170522,2.8000
170523,2.8500
170524,2.9000
170525,3.2000
170526,3.2000
170527,2.8000
170531,3.1000
170601,3.4000
170602,3.4400
170605,3.4400
170606,3.4400
170607,3.5000
170608,3.6000
170609,3.4000
170612,3.4400
170613,3.4400
170614,3.4000
170615,3.4400
170616,3.3000
170619,3.4000
170620,3.4400
170621,3.4400
170622,3.4000
170623,3.0000
170626,2.9500
170627,2.9900
170628,3.4100
170629,3.0000
170630,3.9000
170703,3.2000
170704,3.2000
170705,2.9500
170706,3.0000
170707,2.8000
170710,2.9500
170711,3.1000
170712,3.3000
170713,3.2000
170714,3.0500
170717,3.2000
170718,3.4000
170719,3.6000
170720,3.4400
170721,3.4400
170724,3.2000
170725,3.4400
170726,3.4400
170727,3.4400
170728,3.4400
170731,3.4000
170801,4.0000
170802,3.8000
170803,3.4000
170804,3.1000
170807,3.2000
170808,3.4400
170809,3.4400
170810,3.4000
170811,3.2000
170814,3.4000
170815,3.7000
170816,3.6200
170817,4.6000
170818,3.4400
170821,3.4400
170822,3.4500
170823,4.0000
170824,3.4400
170825,3.4400
170828,3.6000
170829,3.4400
170830,3.4400
170831,3.4400
170901,3.4400
170904,3.4400
170905,3.4000
170906,3.4000
170907,3.2000
170908,3.2500
170911,3.3000
170912,3.4400
170913,3.6000
170914,3.5000
170915,3.4400
170918,3.5000
170919,3.4400
170920,3.4400
170921,3.4400
170922,3.4400
170925,3.4000
170926,3.4400
170927,3.4400
170928,2.9300
170929,3.2500
170930,3.1500
171009,3.4400
171010,3.4400
171011,3.4400
171012,3.3000
171013,3.1000
171016,3.1000
171017,3.1000
171018,3.2400
171019,3.1000
171020,3.1000
171023,3.0000
171024,3.2000
171025,3.4000
171026,3.4400
171027,3.2900
171030,3.4400
171031,2.7000
171101,3.4400
171102,3.1000
171103,2.8600
171106,2.9000
171107,3.0000
171108,3.2000
171109,3.4000
171110,3.4400
171113,3.4400
171114,3.4000
171115,3.4400
171116,3.1000
171117,3.4000
171120,3.2500
171121,3.4400
171122,3.4400
171123,3.0800
171124,3.4400
171127,3.4400
171128,3.4500
171129,3.4400
171130,3.4400
171201,3.0000
171204,2.9000
171205,3.0000
171206,3.2000
171207,3.0000
171208,3.0000
171211,3.2000
171212,3.4400
171213,3.4400
171214,3.4400
171215,3.4000
171218,3.3500
171219,3.4000
171220,3.4000
171221,3.1500
171222,2.9000
171225,2.8000
171226,3.0000
171227,3.1000
171228,4.6000
171229,6.0000
180102,2.8800
180103,2.9000
180104,2.8000
180105,2.7300
180108,2.7500
180109,2.8500
180110,3.0000
180111,3.4900
180112,3.4500
180115,3.0000
180116,3.0000
180117,3.2500
180118,3.4900
180119,3.4000
180122,3.3000
180123,3.0000
180124,3.0000
180125,3.0500
180126,3.3600
180129,3.1400
180130,3.2000
180131,3.2000
180201,2.8500
180202,2.8000
180205,2.7300
180206,2.7500
180207,2.7200
180208,2.9000
180209,2.9500
180211,2.7500
180212,2.8600
180213,2.9800
180214,2.8500
180222,3.0600
180223,3.0000
180224,2.8500
180226,3.0100
180227,3.4000
180228,3.4900
180301,3.2000
180302,3.3000
180305,3.3000
180306,3.1000
180307,3.0000
180308,2.9000
180309,2.9000
180312,2.9000
180313,3.3000
180314,3.0000
180315,3.1600
180316,3.0000
180319,3.0000
180320,3.1000
180321,3.0000
180322,3.0000
180323,2.9000
180326,2.7500
180327,2.9000
180328,3.1000
180329,3.2000
180330,3.5000
180402,2.9900
180403,2.9000
180404,2.8000
180408,2.7000
180409,2.7000
180410,2.8000
180411,2.8000
180412,2.8000
180413,2.8000
180416,2.8500
180417,3.3000
180418,3.5000
180419,3.5000
180420,3.5400
180423,2.8700
180424,3.5400
180425,3.5400
180426,3.5000
180427,3.5400
180428,3.0000
180502,3.3000
180503,3.1000
180504,2.8000
180507,2.7100
180508,2.7000
180509,2.7000
180510,2.7000
180511,2.7200
180514,2.8000
180515,3.0000
180516,3.5400
180517,2.8600
180518,2.7200
180521,2.7100
180522,2.7300
180523,2.8000
180524,2.7500
180525,3.0000
180528,2.8500
180529,3.4000
180530,4.0000
180531,3.5400
180601,3.2000
180604,2.9000
180605,2.9000
180606,2.9000
180607,2.9000
180608,2.8500
180611,2.7800
180612,3.0000
180613,3.0000
180614,3.2000
180615,3.0000
180619,3.0000
180620,3.0400
180621,3.0000
180622,2.8000
180625,2.8000
180626,2.8000
180627,3.1000
180628,3.8700
180629,3.4000
180702,2.8000
180703,2.7000
180704,2.6100
180705,2.5500
180706,2.5000
180709,2.6000
180710,2.6500
180711,2.6500
180712,2.6400
180713,2.6500
180716,2.7000
180717,2.8500
180718,2.7500
180719,2.6600
180720,2.6500
180723,2.6500
180724,2.6400
180725,2.7000
180726,2.7500
180727,2.8000
180730,2.7000
180731,2.6700
180801,2.6000
180802,2.5000
180803,2.4000
180806,2.3700
180807,2.3000
180808,2.3000
180809,2.3000
180810,2.2900
180813,2.4000
180814,2.5900
180815,2.6000
180816,2.6000
180817,2.6500
180820,2.7000
180821,2.8000
180822,2.7000
180823,2.6200
180824,2.5000
180827,2.6500
