time,buy
160923,2.5438
160926,2.5488
160927,2.5500
160928,2.5500
160929,2.5525
160930,2.5625
161008,2.5625
161009,2.5575
161010,2.5550
161011,2.5563
161012,2.5638
161013,2.5625
161014,2.5600
161017,2.5713
161018,2.5888
161019,2.5838
161020,2.5800
161021,2.6150
161024,2.6525
161025,2.6463
161026,2.6975
161027,2.7163
161028,2.7163
161031,2.7934
161101,2.7663
161102,2.7271
161103,2.7163
161104,2.7284
161107,2.7521
161108,2.7588
161109,2.7500
161110,2.8275
161111,2.8500
161114,2.9063
161115,2.9159
161116,2.9713
161117,3.0400
161118,3.0163
161121,3.0038
161122,2.9638
161123,2.9513
161124,2.9875
161125,3.0238
161128,3.0356
161129,3.1763
161130,3.1888
161201,3.3213
161202,3.2829
161205,3.2696
161206,3.2463
161207,3.2250
161208,3.1900
161209,3.2225
161212,3.3161
161213,3.3363
161214,3.3600
161215,3.5025
161216,3.4416
161219,3.5513
161220,3.5329
161221,3.4225
161222,3.3388
161223,3.3575
161226,3.3838
161227,3.4175
161228,3.4169
161229,3.3763
161230,3.3775
170103,3.4131
170104,3.4129
170105,3.4056
170106,3.3678
170109,3.2216
170110,3.2063
170111,3.2338
170112,3.2025
170113,3.1825
170116,3.2910
170117,3.2388
170118,3.2594
170119,3.2269
170120,3.1729
170122,3.1688
170123,3.1625
170124,3.2175
170125,3.3138
170126,3.3300
170203,3.4425
170204,3.4563
170206,3.4313
170207,3.4125
170208,3.4075
170209,3.3869
170210,3.4050
170213,3.3945
170214,3.3956
170215,3.4194
170216,3.3688
170217,3.3859
170220,3.3675
170221,3.4100
170222,3.4063
170223,3.4075
170224,3.4213
170227,3.4013
170228,3.4025
170301,3.4275
170302,3.4550
170303,3.4550
170306,3.4550
170307,3.4731
170308,3.5633
170309,3.5744
170310,3.5581
170313,3.5050
170314,3.5013
170315,3.4638
170316,3.5500
170317,3.5581
170320,3.6238
170321,3.7144
170323,3.6471
170324,3.6113
170327,3.6025
170328,3.5775
170329,3.6169
170330,3.6231
170331,3.6363
170401,3.6075
170405,3.5958
170406,3.6040
170407,3.5789
170410,3.5643
170411,3.5625
170412,3.5775
170413,3.5850
170414,3.6083
170417,3.6427
170418,3.6331
170419,3.6400
170420,3.6500
170421,3.6600
170424,3.6550
170426,3.6225
170427,3.6450
170428,3.6800
170502,3.7167
170503,3.7600
170504,3.8222
170505,3.7725
170509,3.8205
170510,3.8402
170511,3.7937
170512,3.8053
170515,3.7400
170516,3.7425
170517,3.7200
170518,3.7035
170519,3.7250
170522,3.7231
170523,3.6500
170524,3.6500
170525,3.6575
170526,3.6599
170601,3.5735
170602,3.6050
170605,3.5916
170606,3.6150
170607,3.6087
170608,3.6200
170609,3.5950
170612,3.5793
170613,3.5800
170614,3.5600
170615,3.5700
170616,3.5775
170619,3.5004
170620,3.5125
170621,3.5395
170622,3.5300
170623,3.4870
170626,3.4000
170627,3.3972
170628,3.4367
170629,3.4400
170630,3.4900
170703,3.5139
170704,3.4850
170705,3.4250
170706,3.4275
170707,3.4500
170710,3.4753
170711,3.4600
170712,3.4325
170713,3.4100
170714,3.4036
170717,3.3975
170718,3.4152
170719,3.4186
170720,3.3975
170721,3.4000
170724,3.3775
170725,3.3891
170726,3.4100
170727,3.3952
170728,3.3950
170731,3.4158
170801,3.4500
170802,3.4400
170803,3.4300
170804,3.4125
170807,3.4450
170808,3.4500
170809,3.4550
170810,3.4400
170811,3.4225
170814,3.4225
170815,3.4445
170816,3.4696
170817,3.4756
170818,3.4600
170821,3.4725
170822,3.4875
170823,3.4925
170824,3.5000
170825,3.4986
170828,3.5581
170829,3.5600
170830,3.5525
170831,3.5475
170901,3.5625
170904,3.5925
170905,3.6025
170906,3.5550
170907,3.5001
170908,3.4675
170911,3.5000
170912,3.5000
170913,3.5275
170914,3.5025
170915,3.5000
170918,3.5006
170919,3.4925
170920,3.4950
170921,3.5068
170922,3.4950
170925,3.4800
170926,3.4885
170927,3.5140
170928,3.4976
170929,3.4975
170930,3.5100
171009,3.5250
171010,3.5225
171011,3.5150
171012,3.5229
171013,3.5250
171016,3.5425
171017,3.5525
171018,3.5325
171019,3.5325
171020,3.5405
171023,3.5450
171025,3.6125
171026,3.5863
171027,3.6078
171030,3.6500
171031,3.6070
171101,3.5950
171102,3.6000
171103,3.5900
171106,3.5850
171107,3.5875
171108,3.5925
171109,3.6070
171110,3.6330
171113,3.6599
171114,3.6500
171115,3.6345
171116,3.6050
171117,3.6050
171120,3.5950
171121,3.5953
171123,3.6162
171124,3.6050
171127,3.6100
171128,3.6313
171129,3.6250
171130,3.6225
171201,3.6175
171204,3.6150
171205,3.6175
171206,3.6325
171207,3.6428
171208,3.6650
171211,3.7000
171212,3.7286
171213,3.7322
171214,3.6953
171215,3.6650
171218,3.6675
171219,3.6850
171220,3.6925
171221,3.6934
171222,3.6629
171225,3.6550
171226,3.6625
171227,3.6725
171228,3.6880
171229,3.7025
180102,3.6450
180103,3.6350
180104,3.6092
180105,3.5702
180108,3.5900
180109,3.6025
180110,3.6479
180111,3.6524
180112,3.6325
180115,3.6181
180116,3.6021
180117,3.6075
180118,3.6225
180119,3.6175
180122,3.5894
180123,3.5777
180124,3.5675
180125,3.5469
180126,3.5991
180129,3.5853
180130,3.5932
180131,3.5800
180201,3.5700
180202,3.5586
180205,3.5575
180206,3.5500
180207,3.5287
180208,3.5448
180209,3.5350
180211,3.5363
180212,3.5400
180213,3.5400
180214,3.5500
180222,3.5541
180224,3.5225
180226,3.4513
180227,3.4700
180228,3.5175
180301,3.5150
180302,3.5257
180305,3.5350
180306,3.4951
180307,3.4975
180308,3.4908
180312,3.4950
180313,3.5250
180314,3.5050
180315,3.5100
180316,3.4900
180319,3.4875
180320,3.4709
180321,3.4700
180322,3.4305
180323,3.4103
180326,3.4225
180327,3.3816
180328,3.3704
180329,3.3553
180330,3.3700
180402,3.3577
180403,3.3475
180404,3.3450
180408,3.3206
