time,buy
160923,2.4950
160926,2.4954
160927,2.4996
160928,2.5038
160929,2.5041
160930,2.5084
161008,2.5063
161009,2.5063
161010,2.5091
161011,2.5104
161012,2.5125
161013,2.5221
161014,2.5188
161017,2.5234
161018,2.5363
161019,2.5413
161020,2.5275
161021,2.5609
161024,2.6003
161025,2.6084
161026,2.6366
161027,2.6700
161028,2.6779
161031,2.7359
161101,2.7088
161102,2.6716
161103,2.6641
161104,2.6754
161107,2.6984
161108,2.7004
161109,2.7029
161110,2.7721
161111,2.8038
161114,2.8591
161115,2.8641
161116,2.9259
161117,2.9825
161118,2.9629
161121,2.9566
161122,2.9200
161123,2.9050
161124,2.9459
161125,2.9700
161128,2.9767
161129,3.1200
161130,3.0963
161201,3.2550
161202,3.2146
161205,3.2181
161206,3.1875
161207,3.1738
161208,3.1475
161209,3.1669
161212,3.2488
161213,3.2759
161214,3.3000
161215,3.4421
161216,3.3921
161219,3.4813
161220,3.4834
161221,3.3691
161222,3.2850
161223,3.3075
161226,3.3238
161227,3.3496
161228,3.3494
161229,3.3263
161230,3.3229
170103,3.3659
170104,3.3713
170105,3.3634
170106,3.3108
170109,3.1733
170110,3.1616
170111,3.1846
170112,3.1450
170113,3.1316
170116,3.2325
170117,3.1929
170118,3.2063
170119,3.1715
170120,3.1278
170122,3.1188
170123,3.1096
170124,3.1700
170125,3.2596
170126,3.2700
170203,3.3925
170204,3.3950
170206,3.3913
170207,3.3463
170208,3.3450
170209,3.3338
170210,3.3475
170213,3.3340
170214,3.3375
170215,3.3588
170216,3.3275
170217,3.3350
170220,3.3163
170221,3.3588
170222,3.3509
170223,3.3563
170224,3.3788
170227,3.3488
170228,3.3513
170301,3.3813
170302,3.4113
170303,3.4100
170306,3.4100
170307,3.4169
170308,3.5094
170309,3.5138
170310,3.5006
170313,3.4575
170314,3.4419
170315,3.4150
170316,3.5041
170317,3.5294
170320,3.5788
170321,3.6513
170323,3.5979
170324,3.5579
170327,3.5466
170328,3.5259
170329,3.5681
170330,3.5675
170331,3.5771
170401,3.5525
170405,3.5356
170406,3.5520
170407,3.5330
170410,3.5550
170411,3.5575
170412,3.5680
