val,buy,sell,avg,per
2.466,2.4367,2.492,2.4644,-0.000688901
2.4755,2.445,2.4988,2.4719,0.003852393
2.4451,2.4263,2.4788,2.4525,-0.012280347
2.4572,2.4254,2.4813,2.4533,0.004948673
2.4876,2.4414,2.4956,2.4685,0.012371805
2.46,2.4425,2.49,2.4663,-0.011095031
2.4752,2.4475,2.4938,2.4706,0.006178862
2.4837,2.4471,2.4975,2.4723,0.003434066
2.4797,2.4497,2.4989,2.4743,-0.0016105
2.4742,2.4463,2.495,2.4706,-0.00221801
2.4708,2.4409,2.4988,2.4698,-0.001374182
2.4588,2.4321,2.4879,2.46,-0.004856727
2.4642,2.435,2.49,2.4625,0.002196193
2.4576,2.435,2.49,2.4625,-0.002678354
2.4642,2.4363,2.4941,2.4652,0.002685547
2.4576,2.435,2.4925,2.4638,-0.002678354
2.434,2.4225,2.4766,2.4496,-0.009602865
2.4298,2.3975,2.4546,2.4261,-0.001725555
2.4007,2.3841,2.4388,2.4114,-0.011976294
2.4302,2.3988,2.4516,2.4252,0.012288083
2.4231,2.4013,2.4575,2.4294,-0.00292157
2.4185,2.3963,2.45,2.4231,-0.001898395
2.4032,2.3875,2.4416,2.4146,-0.006326235
2.3982,2.3788,2.4338,2.4063,-0.002080559
2.3962,2.3775,2.4346,2.4061,-0.000833959
2.386,2.3775,2.43,2.4038,-0.00425674
2.3045,2.2825,2.3366,2.3096,-0.034157586
2.2681,2.2475,2.3034,2.2754,-0.015795183
2.2783,2.27,2.32,2.295,0.004497156
2.3116,2.2913,2.3463,2.3188,0.014616161
2.3199,2.2941,2.3475,2.3208,0.003590587
2.386,2.2989,2.3544,2.3267,0.008154815
2.3476,2.3209,2.3838,2.3523,-0.016093881
2.3752,2.3391,2.3975,2.3683,0.011756688
2.3667,2.3258,2.3887,2.3573,-0.003578646
2.356,2.3275,2.3838,2.3556,-0.004521063
2.398,2.3725,2.4325,2.4025,0.017826825
2.4036,2.3741,2.4322,2.4032,0.002335279
2.3895,2.3638,2.4188,2.3913,-0.005866201
2.4022,2.375,2.4263,2.4006,0.005314919
2.3937,2.3713,2.4288,2.4,-0.003538423
2.3989,2.3697,2.4313,2.4005,0.002172369
2.3976,2.3686,2.4259,2.3972,-0.000541915
2.4073,2.3725,2.435,2.4038,0.004045712
2.405,2.3746,2.4346,2.4046,-0.000955427
2.3764,2.3425,2.3913,2.3669,-0.011891892
2.3824,2.3539,2.4097,2.3818,0.002524827
2.3748,2.351,2.4053,2.3782,-0.00319006
2.3782,2.3529,2.4025,2.3777,0.0014317
2.3732,2.3463,2.4025,2.3744,-0.00210243
2.3743,2.3475,2.3988,2.3731,0.000463509
2.3832,2.3475,2.3988,2.3731,0.003748473
2.3603,2.3413,2.3929,2.3671,-0.009608929
2.3537,2.3284,2.3841,2.3563,-0.002796255
2.4044,2.2991,2.3584,2.3288,0.021540553
2.3088,2.2975,2.3479,2.3227,-0.039760439
2.3168,2.2938,2.3521,2.3229,0.003465003
2.3082,2.2975,2.3441,2.3208,-0.003712017
2.3086,2.2925,2.3429,2.3177,0.000173295
2.3083,2.2938,2.3441,2.3189,-0.000129949
2.3079,2.2913,2.3416,2.3164,-0.000173288
2.3256,2.305,2.3563,2.3306,0.00766931
2.3311,2.305,2.3613,2.3331,0.002364981
2.3323,2.3013,2.3571,2.3292,0.000514778
2.3278,2.305,2.3563,2.3306,-0.001929426
2.3195,2.2938,2.3413,2.3175,-0.003565598
2.3106,2.2888,2.3413,2.315,-0.003837034
2.3182,2.2913,2.3425,2.3169,0.003289189
2.2946,2.2694,2.3254,2.2974,-0.010180312
2.2915,2.2746,2.3354,2.305,-0.001350998
2.2964,2.285,2.3319,2.3084,0.002138337
2.3198,2.2925,2.3463,2.3194,0.010189862
2.3343,2.2909,2.345,2.3179,0.006250539
2.3439,2.3103,2.3683,2.3393,0.004112582
2.3442,2.3175,2.3663,2.3419,0.000127992
2.3374,2.3075,2.3588,2.3331,-0.002900776
2.2815,2.255,2.315,2.285,-0.023915462
2.2607,2.2344,2.2873,2.2608,-0.009116809
2.2412,2.2044,2.2608,2.2326,-0.008625647
2.2232,2.1978,2.253,2.2254,-0.008031412
2.2321,2.2159,2.265,2.2404,0.004003239
2.2473,2.2213,2.2725,2.2469,0.006809731
2.2703,2.2429,2.2979,2.2704,0.010234504
2.2758,2.2494,2.305,2.2772,0.002422587
2.3041,2.2694,2.3238,2.2966,0.012435188
2.3002,2.2738,2.33,2.3019,-0.001692635
2.3331,2.3096,2.3638,2.3367,0.014303104
2.3193,2.3,2.35,2.325,-0.005914877
2.3527,2.3291,2.3781,2.3536,0.014400897
2.3468,2.3238,2.3688,2.3463,-0.002507757
2.2994,2.2622,2.3216,2.2919,-0.020197716
2.2958,2.2678,2.3233,2.2956,-0.000696439
2.322,2.3075,2.3588,2.3331,0.011412144
2.3362,2.3025,2.3475,2.325,0.006115418
2.31,2.285,2.335,2.31,-0.011214793
2.2917,2.2781,2.3296,2.3039,-0.007922078
2.2893,2.2694,2.3163,2.2928,-0.001047257
2.2955,2.27,2.3204,2.2952,0.002708251
2.3084,2.2879,2.3375,2.3127,0.005619691
2.3263,2.3004,2.3513,2.3258,0.007754289
2.3093,2.275,2.33,2.3025,-0.007307742
2.2925,2.2775,2.325,2.3013,-0.007274932
2.3033,2.2788,2.3275,2.3031,0.004711014
2.3024,2.28,2.33,2.305,-0.000390744
2.3159,2.295,2.3413,2.3181,0.005863447
2.3228,2.2948,2.3467,2.3207,0.002979403
2.3196,2.2875,2.3388,2.3131,-0.001377648
2.3137,2.2925,2.3375,2.315,-0.002543542
2.2798,2.2663,2.3163,2.2913,-0.014651856
2.2972,2.2788,2.3291,2.3039,0.007632248
2.3034,2.2791,2.3316,2.3054,0.002698938
2.3014,2.2794,2.3303,2.3049,-0.000868282
2.3099,2.2813,2.33,2.3056,0.003693404
2.3101,2.284,2.3363,2.3101,8.66E-05
2.3033,2.2713,2.3275,2.2994,-0.002943596
2.2928,2.2688,2.3213,2.295,-0.004558677
2.2913,2.2589,2.3119,2.2854,-0.000654222
2.2858,2.26,2.31,2.285,-0.002400384
2.2883,2.2625,2.31,2.2863,0.001093709
2.2918,2.25,2.3004,2.2752,0.00152952
2.2762,2.2489,2.3033,2.2761,-0.006806877
2.279,2.25,2.3,2.275,0.00123012
2.2854,2.2588,2.3063,2.2825,0.002808249
2.2907,2.2625,2.3075,2.285,0.002319069
2.2888,2.2613,2.3116,2.2864,-0.000829441
2.2931,2.261,2.312,2.2865,0.001878714
2.2978,2.2619,2.3222,2.2921,0.002049627
2.3136,2.2829,2.3363,2.3096,0.006876142
2.3159,2.283,2.334,2.3085,0.000994122
2.3117,2.2834,2.3338,2.3086,-0.00181355
2.3098,2.2888,2.3325,2.3106,-0.000821906
2.3092,2.2859,2.3366,2.3113,-0.000259763
2.3197,2.2888,2.3413,2.315,0.004547029
2.3244,2.2971,2.3446,2.3209,0.002026124
2.3431,2.3159,2.3663,2.3411,0.008045087
2.365,2.315,2.3638,2.3394,0.009346592
2.35,2.3163,2.3633,2.3398,-0.006342495
2.3608,2.3266,2.3775,2.3521,0.004595745
2.3985,2.3766,2.4238,2.4002,0.015969163
2.4144,2.3996,2.4513,2.4254,0.006629143
2.4159,2.3775,2.4238,2.4006,0.000621272
2.405,2.3746,2.435,2.4048,-0.004511776
2.4193,2.3913,2.4475,2.4194,0.005945946
2.4786,2.4479,2.5075,2.4777,0.024511222
2.5124,2.4688,2.5213,2.495,0.01363673
2.5112,2.4913,2.5463,2.5188,-0.000477631
2.6231,2.5979,2.65,2.6239,0.04456037
2.6219,2.5775,2.6341,2.6058,-0.000457474
2.5955,2.5884,2.6425,2.6154,-0.010069034
2.6466,2.6196,2.6575,2.6386,0.019687921
2.6833,2.6425,2.6913,2.6669,0.013866848
2.547,2.5088,2.5616,2.5352,0.017050673
2.5099,2.4925,2.5404,2.5164,-0.014566156
2.5135,2.4963,2.5421,2.5192,0.00143432
2.4911,2.4638,2.5206,2.4922,-0.012369663
2.4937,2.4734,2.5231,2.4983,0.001043716
2.5214,2.4933,2.5461,2.5197,0.011107992
2.5171,2.495,2.5369,2.5159,-0.001705402
2.5363,2.5063,2.56,2.5331,0.007627826
2.5654,2.5438,2.5938,2.5688,0.011473406
2.5694,2.5371,2.59,2.5636,0.001559211
2.5936,2.5646,2.6175,2.5911,0.009418541
2.6048,2.5725,2.6225,2.5975,0.004318322
2.5857,2.5525,2.6038,2.5781,-0.007332617
2.5885,2.5526,2.6033,2.5779,0.001082879
2.5725,2.5488,2.5988,2.5738,-0.006181186
2.5684,2.5434,2.5945,2.569,-0.00159378
2.5946,2.5625,2.6088,2.5856,0.010200903
2.5924,2.5613,2.6088,2.585,-0.000847915
2.5983,2.5734,2.6188,2.5961,0.002275883
2.5994,2.5675,2.6163,2.5919,0.000423354
2.5987,2.5659,2.6225,2.5942,-0.000269293
2.6067,2.5674,2.6234,2.5954,0.003078462
2.6071,2.5643,2.6259,2.5951,0.000153451
2.5941,2.5665,2.615,2.5907,-0.004986383
2.586,2.5609,2.6138,2.5873,-0.00312247
2.5913,2.5644,2.6144,2.5894,0.002049497
2.581,2.565,2.6088,2.5869,-0.003974839
2.5791,2.5434,2.5975,2.5704,-0.000736149
2.5449,2.5019,2.5522,2.5271,-0.01326044
2.5278,2.5071,2.5513,2.5292,-0.006719321
2.5265,2.49,2.5379,2.5139,-0.000514281
2.5153,2.4963,2.5513,2.5238,-0.00443301
2.5272,2.5013,2.5488,2.525,0.004731046
2.5299,2.5025,2.5491,2.5258,0.001068376
2.5053,2.4934,2.5466,2.52,-0.009723704
2.5052,2.4846,2.5338,2.5092,-3.99E-05
2.4763,2.4263,2.475,2.4506,-0.011536005
2.4338,2.4079,2.4525,2.4302,-0.017162702
2.442,2.4213,2.47,2.4456,0.003369217
2.4508,2.4025,2.4613,2.4319,0.003603604
2.5264,2.4129,2.4563,2.4346,0.03084707
2.4276,2.3975,2.4475,2.4225,-0.03910703
2.4325,2.4066,2.4575,2.4321,0.002018454
2.4419,2.4088,2.4538,2.4313,0.003864337
2.4286,2.4009,2.4488,2.4248,-0.005446578
2.4234,2.4022,2.4474,2.4248,-0.002141151
