time,val,buy,sell,avg,per,y1,y2,y3,y4,y5
1503,1.529969191,1.414287851,1.499865559,1.457577666,-3.671642751,2.8729061308445183,-1.8276291748586448,-0.06385869742835167,0.059974479152966595,5.687664323329993e-05
1504,-0.296379743,-0.312440769,-0.224164648,-0.268312163,-10.84568094,-1.0102261704749629,-5.155768938162895,-0.056003569561535994,-0.03126078874365064,-2.4272425925908787e-05
1505,-0.486932962,-0.515945952,-0.414190388,-0.465212513,0.783747487,-0.8816921443364093,0.7877938815532746,-0.07250778586623592,-0.020745433674410188,-6.838523860842622e-05
1506,-0.448229925,-0.440595637,-0.352096915,-0.396287516,-1.77499149,-0.8727457788983345,-0.5232028363954571,-0.059767295384085824,-0.04788066769223685,9.443278793912473e-05
1507,-0.250962914,-0.274864497,-0.199327259,-0.237108296,-0.777116177,-0.4846519266480634,-0.04676553896325347,-0.05322313123323239,-0.01335928620128067,6.993118999596895e-07
1508,-0.440923739,-0.468481187,-0.398814862,-0.433811153,-2.894062715,-0.9765904399650936,-1.087029304762214,-0.04823434471961558,-0.008097620509557271,-9.303464661479261e-05
1509,-0.366677096,-0.391153172,-0.317600541,-0.354419036,-0.190120374,-0.6957646493104749,0.27258866652444846,-0.052219262645230864,-0.011517541428659586,1.0101672586913437e-06
1510,-0.508061661,-0.660317948,-0.584898159,-0.622614297,0.56647323,-1.1424017240166495,0.699619517417511,-0.061498994377379275,0.10071043610312345,4.439101756527602e-05
1511,-0.558810031,-0.576463528,-0.509006136,-0.542827195,-0.674154983,-1.1024819405805104,0.06091041071889919,-0.047354252425467876,-0.014640509511541624,-1.8498750397168504e-06
1512,-0.591194205,-0.637772184,-0.557498182,-0.597730201,0.284161781,-1.1593508500162413,0.5566577972932936,-0.058446504225477654,0.005075704219921526,-2.9201401661573343e-06
1601,-0.686174618,-0.721824373,-0.646203143,-0.684034567,-0.051702501,-1.354452898120124,0.4020359227094571,-0.05440700079674061,-0.0024045351470629722,7.940739697216963e-05
1602,-0.717768934,-0.724790921,-0.660001693,-0.692526759,-1.02635537,-1.4273773640376335,-0.09053457833282796,-0.04470015246928489,-0.022762773051666255,-1.4476315986890562e-06
1603,-0.659714378,-0.686028029,-0.619985899,-0.653028193,-0.021204844,-1.2923527205551075,0.41214101889871013,-0.04725553364025776,-0.005954075820744989,7.86550580203103e-05
1604,-0.190143855,-0.245199018,-0.176461091,-0.21084175,1.187764124,-0.32492756665871164,0.94514809710429,-0.05145242147444724,0.018337597726287236,-5.583870627931706e-06
1605,-0.088054721,-0.13227243,-0.05641371,-0.094320981,-0.021870424,-0.1500766975063726,0.31019561898916287,-0.05505240172338928,0.004642828357916594,-2.500675930769589e-06
1606,-0.425916439,-0.465316869,-0.401377449,-0.433416168,-2.734316191,-0.9612429645760349,-1.0066026048951628,-0.04506657975012097,0.005188451213678433,-1.639186710115665e-05
1607,-0.405380134,-0.427345056,-0.374568839,-0.401027344,0.091599106,-0.7737401652595622,0.4237898920617279,-0.03788434738006403,-0.0033976779687743403,-6.152658498082173e-06
1608,-0.267944859,-0.29721249,-0.24367974,-0.270484584,-0.412846798,-0.5276888957502571,0.14359268084378188,-0.0385505962317575,0.0023333080739671302,-9.157419066080539e-06
1609,-0.213247199,-0.244605708,-0.189471152,-0.216964028,0.265171459,-0.3877718639953097,0.4783357712738296,-0.04014836116985502,0.0036463033173468745,7.559269124517414e-05
1610,0.210906495,0.150340696,0.227047922,0.188686242,0.106309255,0.43916206476317193,0.32341435357824466,-0.05665659237229836,0.018518721407480496,-8.784089255216027e-05
1611,1.217777855,1.230559654,1.321075781,1.276081756,1.197664081,2.6578077982363606,0.6850084233611344,-0.062375982655305924,-0.05315602897550055,-4.9744145834124294e-05
1612,1.456709871,1.449886426,1.502033902,1.476339484,0.738033129,3.0636626470091284,0.41354808504918467,-0.03677295485203686,-0.01749855896475029,9.819610861899577e-06
