time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,y_test_model1,y_test_model2,y_test_model3,y_test_model4,y_test_model6,y_test_model7,y_test_model9,y_test_model11,y_real
150526,2.93598694,-0.023578221,4.015873588,0.938311916,4.284164907,2.801249389,3.007146258,-1.068797383,2.99998371,-4.013029234,1.812831114,-1.203697935,1.434686015,0.222950083,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,0,0,0,0,0,0,0,1,0
150602,4.015873588,0.938311916,4.284164907,2.801249389,3.007146258,-1.068797383,2.99998371,-4.013029234,1.812831114,-1.203697935,1.434686015,0.222950083,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,0,0,0,0,0,0,0,0,0
150609,4.284164907,2.801249389,3.007146258,-1.068797383,2.99998371,-4.013029234,1.812831114,-1.203697935,1.434686015,0.222950083,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,0,0,0,0,0,0,0,0,0
150616,3.007146258,-1.068797383,2.99998371,-4.013029234,1.812831114,-1.203697935,1.434686015,0.222950083,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,1,1,1,0,1,1,0,1,1
150624,2.99998371,-4.013029234,1.812831114,-1.203697935,1.434686015,0.222950083,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,1,1,1,0,1,1,0,1,1
150701,1.812831114,-1.203697935,1.434686015,0.222950083,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,1,1,1,0,1,1,0,1,1
150708,1.434686015,0.222950083,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999,1,0,0,0,1,0,0,1,0
150715,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999,-0.335715067,0.615649194,1,0,0,0,0,0,0,1,0
150723,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999,-0.335715067,0.615649194,-0.386184943,0.232605803,1,0,1,0,0,0,0,1,0
150731,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999,-0.335715067,0.615649194,-0.386184943,0.232605803,-0.413263399,1.15582289,0,0,1,0,0,0,0,0,0
150807,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999,-0.335715067,0.615649194,-0.386184943,0.232605803,-0.413263399,1.15582289,-0.661369822,0.292274751,1,0,1,0,0,0,0,1,0
