time,0,1,2,3,4,5,6,7,8,9,10,11
1508,2.872906131,-1.827629175,-1.01022617,-5.155768938,-0.881692144,0.787793882,-0.872745779,-0.523202836,-0.484651927,-0.046765539,-0.97659044,-1.087029305
1509,-1.01022617,-5.155768938,-0.881692144,0.787793882,-0.872745779,-0.523202836,-0.484651927,-0.046765539,-0.97659044,-1.087029305,-0.695764649,0.272588667
1510,-0.881692144,0.787793882,-0.872745779,-0.523202836,-0.484651927,-0.046765539,-0.97659044,-1.087029305,-0.695764649,0.272588667,-1.142401724,0.699619517
1511,-0.872745779,-0.523202836,-0.484651927,-0.046765539,-0.97659044,-1.087029305,-0.695764649,0.272588667,-1.142401724,0.699619517,-1.102481941,0.060910411
1512,-0.484651927,-0.046765539,-0.97659044,-1.087029305,-0.695764649,0.272588667,-1.142401724,0.699619517,-1.102481941,0.060910411,-1.15935085,0.556657797
1601,-0.97659044,-1.087029305,-0.695764649,0.272588667,-1.142401724,0.699619517,-1.102481941,0.060910411,-1.15935085,0.556657797,-1.354452898,0.402035923
1602,-0.695764649,0.272588667,-1.142401724,0.699619517,-1.102481941,0.060910411,-1.15935085,0.556657797,-1.354452898,0.402035923,-1.427377364,-0.090534578
1603,-1.142401724,0.699619517,-1.102481941,0.060910411,-1.15935085,0.556657797,-1.354452898,0.402035923,-1.427377364,-0.090534578,-1.292352721,0.412141019
1604,-1.102481941,0.060910411,-1.15935085,0.556657797,-1.354452898,0.402035923,-1.427377364,-0.090534578,-1.292352721,0.412141019,-0.324927567,0.945148097
1605,-1.15935085,0.556657797,-1.354452898,0.402035923,-1.427377364,-0.090534578,-1.292352721,0.412141019,-0.324927567,0.945148097,-0.150076698,0.310195619
1606,-1.354452898,0.402035923,-1.427377364,-0.090534578,-1.292352721,0.412141019,-0.324927567,0.945148097,-0.150076698,0.310195619,-0.961242965,-1.006602605
1607,-1.427377364,-0.090534578,-1.292352721,0.412141019,-0.324927567,0.945148097,-0.150076698,0.310195619,-0.961242965,-1.006602605,-0.773740165,0.423789892
1608,-1.292352721,0.412141019,-0.324927567,0.945148097,-0.150076698,0.310195619,-0.961242965,-1.006602605,-0.773740165,0.423789892,-0.527688896,0.143592681
1609,-0.324927567,0.945148097,-0.150076698,0.310195619,-0.961242965,-1.006602605,-0.773740165,0.423789892,-0.527688896,0.143592681,-0.387771864,0.478335771
1610,-0.150076698,0.310195619,-0.961242965,-1.006602605,-0.773740165,0.423789892,-0.527688896,0.143592681,-0.387771864,0.478335771,0.439162065,0.323414354
1611,-0.961242965,-1.006602605,-0.773740165,0.423789892,-0.527688896,0.143592681,-0.387771864,0.478335771,0.439162065,0.323414354,2.657807798,0.685008423
1612,-0.773740165,0.423789892,-0.527688896,0.143592681,-0.387771864,0.478335771,0.439162065,0.323414354,2.657807798,0.685008423,3.063662647,0.413548085
1701,-0.527688896,0.143592681,-0.387771864,0.478335771,0.439162065,0.323414354,2.657807798,0.685008423,3.063662647,0.413548085,3.335431902,2.114936062
1702,-0.387771864,0.478335771,0.439162065,0.323414354,2.657807798,0.685008423,3.063662647,0.413548085,3.335431902,2.114936062,3.109614452,0.273983767
1703,0.439162065,0.323414354,2.657807798,0.685008423,3.063662647,0.413548085,3.335431902,2.114936062,3.109614452,0.273983767,3.829166337,-0.049947874
1704,2.657807798,0.685008423,3.063662647,0.413548085,3.335431902,2.114936062,3.109614452,0.273983767,3.829166337,-0.049947874,4.367239501,0.614047974
1705,3.063662647,0.413548085,3.335431902,2.114936062,3.109614452,0.273983767,3.829166337,-0.049947874,4.367239501,0.614047974,3.648385804,-1.454463041
1706,3.335431902,2.114936062,3.109614452,0.273983767,3.829166337,-0.049947874,4.367239501,0.614047974,3.648385804,-1.454463041,3.477855366,-0.33091867
1707,3.109614452,0.273983767,3.829166337,-0.049947874,4.367239501,0.614047974,3.648385804,-1.454463041,3.477855366,-0.33091867,3.2731803,0.210980948
1708,3.829166337,-0.049947874,4.367239501,0.614047974,3.648385804,-1.454463041,3.477855366,-0.33091867,3.2731803,0.210980948,3.700957667,0.006660268
1709,4.367239501,0.614047974,3.648385804,-1.454463041,3.477855366,-0.33091867,3.2731803,0.210980948,3.700957667,0.006660268,3.562216916,-0.02039321
1710,3.648385804,-1.454463041,3.477855366,-0.33091867,3.2731803,0.210980948,3.700957667,0.006660268,3.562216916,-0.02039321,3.831314632,-0.238255684
