time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
150526,2.93598694,-0.023578221,4.015873588,0.938311916,4.284164907,2.801249389,3.007146258,-1.068797383,2.99998371,-4.013029234,1.812831114,-1.203697935,1.434686015,0.222950083,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469
150602,4.015873588,0.938311916,4.284164907,2.801249389,3.007146258,-1.068797383,2.99998371,-4.013029234,1.812831114,-1.203697935,1.434686015,0.222950083,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893
150609,4.284164907,2.801249389,3.007146258,-1.068797383,2.99998371,-4.013029234,1.812831114,-1.203697935,1.434686015,0.222950083,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328
150616,3.007146258,-1.068797383,2.99998371,-4.013029234,1.812831114,-1.203697935,1.434686015,0.222950083,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755
150624,2.99998371,-4.013029234,1.812831114,-1.203697935,1.434686015,0.222950083,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293
150701,1.812831114,-1.203697935,1.434686015,0.222950083,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455
150708,1.434686015,0.222950083,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999
150715,-0.239891923,-4.008072639,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999,-0.335715067,0.615649194
150723,-0.440851901,1.124797713,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999,-0.335715067,0.615649194,-0.386184943,0.232605803
150731,-1.126082352,-2.661250503,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999,-0.335715067,0.615649194,-0.386184943,0.232605803,-0.413263399,1.15582289
150807,-1.338668615,2.287818505,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999,-0.335715067,0.615649194,-0.386184943,0.232605803,-0.413263399,1.15582289,-0.661369822,0.292274751
150814,-0.975312289,2.068599469,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999,-0.335715067,0.615649194,-0.386184943,0.232605803,-0.413263399,1.15582289,-0.661369822,0.292274751,-0.413605696,0.84779238
150825,-1.053903838,-0.754180893,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999,-0.335715067,0.615649194,-0.386184943,0.232605803,-0.413263399,1.15582289,-0.661369822,0.292274751,-0.413605696,0.84779238,-0.284965165,-0.162076791
150902,-1.06927831,0.314810328,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999,-0.335715067,0.615649194,-0.386184943,0.232605803,-0.413263399,1.15582289,-0.661369822,0.292274751,-0.413605696,0.84779238,-0.284965165,-0.162076791,-0.775960127,0.663005682
150914,-0.517933374,1.021196755,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999,-0.335715067,0.615649194,-0.386184943,0.232605803,-0.413263399,1.15582289,-0.661369822,0.292274751,-0.413605696,0.84779238,-0.284965165,-0.162076791,-0.775960127,0.663005682,-0.744657068,-0.923519166
150923,-0.096205882,1.935161293,-0.79244017,-1.94552455,-0.795576364,0.163506999,-0.335715067,0.615649194,-0.386184943,0.232605803,-0.413263399,1.15582289,-0.661369822,0.292274751,-0.413605696,0.84779238,-0.284965165,-0.162076791,-0.775960127,0.663005682,-0.744657068,-0.923519166,-0.664881857,0.303628633
150930,-0.79244017,-1.94552455,-0.795576364,0.163506999,-0.335715067,0.615649194,-0.386184943,0.232605803,-0.413263399,1.15582289,-0.661369822,0.292274751,-0.413605696,0.84779238,-0.284965165,-0.162076791,-0.775960127,0.663005682,-0.744657068,-0.923519166,-0.664881857,0.303628633,-0.711773429,0.206444175
151013,-0.795576364,0.163506999,-0.335715067,0.615649194,-0.386184943,0.232605803,-0.413263399,1.15582289,-0.661369822,0.292274751,-0.413605696,0.84779238,-0.284965165,-0.162076791,-0.775960127,0.663005682,-0.744657068,-0.923519166,-0.664881857,0.303628633,-0.711773429,0.206444175,-0.849253639,-0.101445161
151020,-0.335715067,0.615649194,-0.386184943,0.232605803,-0.413263399,1.15582289,-0.661369822,0.292274751,-0.413605696,0.84779238,-0.284965165,-0.162076791,-0.775960127,0.663005682,-0.744657068,-0.923519166,-0.664881857,0.303628633,-0.711773429,0.206444175,-0.849253639,-0.101445161,-0.904579594,-0.461103579
151027,-0.386184943,0.232605803,-0.413263399,1.15582289,-0.661369822,0.292274751,-0.413605696,0.84779238,-0.284965165,-0.162076791,-0.775960127,0.663005682,-0.744657068,-0.923519166,-0.664881857,0.303628633,-0.711773429,0.206444175,-0.849253639,-0.101445161,-0.904579594,-0.461103579,-1.4391294,-1.20725275
151103,-0.413263399,1.15582289,-0.661369822,0.292274751,-0.413605696,0.84779238,-0.284965165,-0.162076791,-0.775960127,0.663005682,-0.744657068,-0.923519166,-0.664881857,0.303628633,-0.711773429,0.206444175,-0.849253639,-0.101445161,-0.904579594,-0.461103579,-1.4391294,-1.20725275,-1.133040462,-1.226398158
151110,-0.661369822,0.292274751,-0.413605696,0.84779238,-0.284965165,-0.162076791,-0.775960127,0.663005682,-0.744657068,-0.923519166,-0.664881857,0.303628633,-0.711773429,0.206444175,-0.849253639,-0.101445161,-0.904579594,-0.461103579,-1.4391294,-1.20725275,-1.133040462,-1.226398158,-0.94712697,0.214088158
151117,-0.413605696,0.84779238,-0.284965165,-0.162076791,-0.775960127,0.663005682,-0.744657068,-0.923519166,-0.664881857,0.303628633,-0.711773429,0.206444175,-0.849253639,-0.101445161,-0.904579594,-0.461103579,-1.4391294,-1.20725275,-1.133040462,-1.226398158,-0.94712697,0.214088158,-0.967523214,-0.010687904
151124,-0.284965165,-0.162076791,-0.775960127,0.663005682,-0.744657068,-0.923519166,-0.664881857,0.303628633,-0.711773429,0.206444175,-0.849253639,-0.101445161,-0.904579594,-0.461103579,-1.4391294,-1.20725275,-1.133040462,-1.226398158,-0.94712697,0.214088158,-0.967523214,-0.010687904,-1.043559379,-0.218332633
151201,-0.775960127,0.663005682,-0.744657068,-0.923519166,-0.664881857,0.303628633,-0.711773429,0.206444175,-0.849253639,-0.101445161,-0.904579594,-0.461103579,-1.4391294,-1.20725275,-1.133040462,-1.226398158,-0.94712697,0.214088158,-0.967523214,-0.010687904,-1.043559379,-0.218332633,-1.083741154,-0.719707455
151208,-0.744657068,-0.923519166,-0.664881857,0.303628633,-0.711773429,0.206444175,-0.849253639,-0.101445161,-0.904579594,-0.461103579,-1.4391294,-1.20725275,-1.133040462,-1.226398158,-0.94712697,0.214088158,-0.967523214,-0.010687904,-1.043559379,-0.218332633,-1.083741154,-0.719707455,-1.278291789,-0.262214516
151215,-0.664881857,0.303628633,-0.711773429,0.206444175,-0.849253639,-0.101445161,-0.904579594,-0.461103579,-1.4391294,-1.20725275,-1.133040462,-1.226398158,-0.94712697,0.214088158,-0.967523214,-0.010687904,-1.043559379,-0.218332633,-1.083741154,-0.719707455,-1.278291789,-0.262214516,-1.225730182,0.212615791
151223,-0.711773429,0.206444175,-0.849253639,-0.101445161,-0.904579594,-0.461103579,-1.4391294,-1.20725275,-1.133040462,-1.226398158,-0.94712697,0.214088158,-0.967523214,-0.010687904,-1.043559379,-0.218332633,-1.083741154,-0.719707455,-1.278291789,-0.262214516,-1.225730182,0.212615791,-1.287429519,0.283874232
151231,-0.849253639,-0.101445161,-0.904579594,-0.461103579,-1.4391294,-1.20725275,-1.133040462,-1.226398158,-0.94712697,0.214088158,-0.967523214,-0.010687904,-1.043559379,-0.218332633,-1.083741154,-0.719707455,-1.278291789,-0.262214516,-1.225730182,0.212615791,-1.287429519,0.283874232,-1.271661017,0.515081113
160111,-0.904579594,-0.461103579,-1.4391294,-1.20725275,-1.133040462,-1.226398158,-0.94712697,0.214088158,-0.967523214,-0.010687904,-1.043559379,-0.218332633,-1.083741154,-0.719707455,-1.278291789,-0.262214516,-1.225730182,0.212615791,-1.287429519,0.283874232,-1.271661017,0.515081113,-1.496707026,-0.686978059
160118,-1.4391294,-1.20725275,-1.133040462,-1.226398158,-0.94712697,0.214088158,-0.967523214,-0.010687904,-1.043559379,-0.218332633,-1.083741154,-0.719707455,-1.278291789,-0.262214516,-1.225730182,0.212615791,-1.287429519,0.283874232,-1.271661017,0.515081113,-1.496707026,-0.686978059,-1.479560607,0.82317724
160126,-1.133040462,-1.226398158,-0.94712697,0.214088158,-0.967523214,-0.010687904,-1.043559379,-0.218332633,-1.083741154,-0.719707455,-1.278291789,-0.262214516,-1.225730182,0.212615791,-1.287429519,0.283874232,-1.271661017,0.515081113,-1.496707026,-0.686978059,-1.479560607,0.82317724,-1.252589004,-0.433780915
160202,-0.94712697,0.214088158,-0.967523214,-0.010687904,-1.043559379,-0.218332633,-1.083741154,-0.719707455,-1.278291789,-0.262214516,-1.225730182,0.212615791,-1.287429519,0.283874232,-1.271661017,0.515081113,-1.496707026,-0.686978059,-1.479560607,0.82317724,-1.252589004,-0.433780915,-1.244326264,0.918330342
160215,-0.967523214,-0.010687904,-1.043559379,-0.218332633,-1.083741154,-0.719707455,-1.278291789,-0.262214516,-1.225730182,0.212615791,-1.287429519,0.283874232,-1.271661017,0.515081113,-1.496707026,-0.686978059,-1.479560607,0.82317724,-1.252589004,-0.433780915,-1.244326264,0.918330342,-1.373359006,0.237377814
160222,-1.043559379,-0.218332633,-1.083741154,-0.719707455,-1.278291789,-0.262214516,-1.225730182,0.212615791,-1.287429519,0.283874232,-1.271661017,0.515081113,-1.496707026,-0.686978059,-1.479560607,0.82317724,-1.252589004,-0.433780915,-1.244326264,0.918330342,-1.373359006,0.237377814,-1.344339233,0.394045028
160229,-1.083741154,-0.719707455,-1.278291789,-0.262214516,-1.225730182,0.212615791,-1.287429519,0.283874232,-1.271661017,0.515081113,-1.496707026,-0.686978059,-1.479560607,0.82317724,-1.252589004,-0.433780915,-1.244326264,0.918330342,-1.373359006,0.237377814,-1.344339233,0.394045028,-1.291264585,-0.171271621
160307,-1.278291789,-0.262214516,-1.225730182,0.212615791,-1.287429519,0.283874232,-1.271661017,0.515081113,-1.496707026,-0.686978059,-1.479560607,0.82317724,-1.252589004,-0.433780915,-1.244326264,0.918330342,-1.373359006,0.237377814,-1.344339233,0.394045028,-1.291264585,-0.171271621,-1.329356721,0.314829158
160314,-1.225730182,0.212615791,-1.287429519,0.283874232,-1.271661017,0.515081113,-1.496707026,-0.686978059,-1.479560607,0.82317724,-1.252589004,-0.433780915,-1.244326264,0.918330342,-1.373359006,0.237377814,-1.344339233,0.394045028,-1.291264585,-0.171271621,-1.329356721,0.314829158,-1.407644767,-0.161703182
160321,-1.287429519,0.283874232,-1.271661017,0.515081113,-1.496707026,-0.686978059,-1.479560607,0.82317724,-1.252589004,-0.433780915,-1.244326264,0.918330342,-1.373359006,0.237377814,-1.344339233,0.394045028,-1.291264585,-0.171271621,-1.329356721,0.314829158,-1.407644767,-0.161703182,-1.420876218,0.24452149
160328,-1.271661017,0.515081113,-1.496707026,-0.686978059,-1.479560607,0.82317724,-1.252589004,-0.433780915,-1.244326264,0.918330342,-1.373359006,0.237377814,-1.344339233,0.394045028,-1.291264585,-0.171271621,-1.329356721,0.314829158,-1.407644767,-0.161703182,-1.420876218,0.24452149,-1.317374621,0.563330059
160405,-1.496707026,-0.686978059,-1.479560607,0.82317724,-1.252589004,-0.433780915,-1.244326264,0.918330342,-1.373359006,0.237377814,-1.344339233,0.394045028,-1.291264585,-0.171271621,-1.329356721,0.314829158,-1.407644767,-0.161703182,-1.420876218,0.24452149,-1.317374621,0.563330059,-1.292812461,0.381929301
160412,-1.479560607,0.82317724,-1.252589004,-0.433780915,-1.244326264,0.918330342,-1.373359006,0.237377814,-1.344339233,0.394045028,-1.291264585,-0.171271621,-1.329356721,0.314829158,-1.407644767,-0.161703182,-1.420876218,0.24452149,-1.317374621,0.563330059,-1.292812461,0.381929301,-1.142830312,0.387759407
160419,-1.252589004,-0.433780915,-1.244326264,0.918330342,-1.373359006,0.237377814,-1.344339233,0.394045028,-1.291264585,-0.171271621,-1.329356721,0.314829158,-1.407644767,-0.161703182,-1.420876218,0.24452149,-1.317374621,0.563330059,-1.292812461,0.381929301,-1.142830312,0.387759407,-0.887486213,0.496635107
160426,-1.244326264,0.918330342,-1.373359006,0.237377814,-1.344339233,0.394045028,-1.291264585,-0.171271621,-1.329356721,0.314829158,-1.407644767,-0.161703182,-1.420876218,0.24452149,-1.317374621,0.563330059,-1.292812461,0.381929301,-1.142830312,0.387759407,-0.887486213,0.496635107,-0.129721326,0.007262209
160504,-1.373359006,0.237377814,-1.344339233,0.394045028,-1.291264585,-0.171271621,-1.329356721,0.314829158,-1.407644767,-0.161703182,-1.420876218,0.24452149,-1.317374621,0.563330059,-1.292812461,0.381929301,-1.142830312,0.387759407,-0.887486213,0.496635107,-0.129721326,0.007262209,-0.489370535,-1.098390479
160512,-1.344339233,0.394045028,-1.291264585,-0.171271621,-1.329356721,0.314829158,-1.407644767,-0.161703182,-1.420876218,0.24452149,-1.317374621,0.563330059,-1.292812461,0.381929301,-1.142830312,0.387759407,-0.887486213,0.496635107,-0.129721326,0.007262209,-0.489370535,-1.098390479,-0.497437324,-0.095048519
160519,-1.291264585,-0.171271621,-1.329356721,0.314829158,-1.407644767,-0.161703182,-1.420876218,0.24452149,-1.317374621,0.563330059,-1.292812461,0.381929301,-1.142830312,0.387759407,-0.887486213,0.496635107,-0.129721326,0.007262209,-0.489370535,-1.098390479,-0.497437324,-0.095048519,-0.176198358,0.379314334
160526,-1.329356721,0.314829158,-1.407644767,-0.161703182,-1.420876218,0.24452149,-1.317374621,0.563330059,-1.292812461,0.381929301,-1.142830312,0.387759407,-0.887486213,0.496635107,-0.129721326,0.007262209,-0.489370535,-1.098390479,-0.497437324,-0.095048519,-0.176198358,0.379314334,-0.22760435,0.837606687
160602,-1.407644767,-0.161703182,-1.420876218,0.24452149,-1.317374621,0.563330059,-1.292812461,0.381929301,-1.142830312,0.387759407,-0.887486213,0.496635107,-0.129721326,0.007262209,-0.489370535,-1.098390479,-0.497437324,-0.095048519,-0.176198358,0.379314334,-0.22760435,0.837606687,-0.179224294,0.282507748
160612,-1.420876218,0.24452149,-1.317374621,0.563330059,-1.292812461,0.381929301,-1.142830312,0.387759407,-0.887486213,0.496635107,-0.129721326,0.007262209,-0.489370535,-1.098390479,-0.497437324,-0.095048519,-0.176198358,0.379314334,-0.22760435,0.837606687,-0.179224294,0.282507748,-0.222166436,-0.268336085
160617,-1.317374621,0.563330059,-1.292812461,0.381929301,-1.142830312,0.387759407,-0.887486213,0.496635107,-0.129721326,0.007262209,-0.489370535,-1.098390479,-0.497437324,-0.095048519,-0.176198358,0.379314334,-0.22760435,0.837606687,-0.179224294,0.282507748,-0.222166436,-0.268336085,-0.473062028,-0.307505308
160624,-1.292812461,0.381929301,-1.142830312,0.387759407,-0.887486213,0.496635107,-0.129721326,0.007262209,-0.489370535,-1.098390479,-0.497437324,-0.095048519,-0.176198358,0.379314334,-0.22760435,0.837606687,-0.179224294,0.282507748,-0.222166436,-0.268336085,-0.473062028,-0.307505308,-0.720308726,-0.865262504
160701,-1.142830312,0.387759407,-0.887486213,0.496635107,-0.129721326,0.007262209,-0.489370535,-1.098390479,-0.497437324,-0.095048519,-0.176198358,0.379314334,-0.22760435,0.837606687,-0.179224294,0.282507748,-0.222166436,-0.268336085,-0.473062028,-0.307505308,-0.720308726,-0.865262504,-0.822156514,-3.017837416
160708,-0.887486213,0.496635107,-0.129721326,0.007262209,-0.489370535,-1.098390479,-0.497437324,-0.095048519,-0.176198358,0.379314334,-0.22760435,0.837606687,-0.179224294,0.282507748,-0.222166436,-0.268336085,-0.473062028,-0.307505308,-0.720308726,-0.865262504,-0.822156514,-3.017837416,-0.885830511,-0.150804574
160715,-0.129721326,0.007262209,-0.489370535,-1.098390479,-0.497437324,-0.095048519,-0.176198358,0.379314334,-0.22760435,0.837606687,-0.179224294,0.282507748,-0.222166436,-0.268336085,-0.473062028,-0.307505308,-0.720308726,-0.865262504,-0.822156514,-3.017837416,-0.885830511,-0.150804574,-0.804286352,-0.014049283
160722,-0.489370535,-1.098390479,-0.497437324,-0.095048519,-0.176198358,0.379314334,-0.22760435,0.837606687,-0.179224294,0.282507748,-0.222166436,-0.268336085,-0.473062028,-0.307505308,-0.720308726,-0.865262504,-0.822156514,-3.017837416,-0.885830511,-0.150804574,-0.804286352,-0.014049283,-0.863370622,0.2909681
160729,-0.497437324,-0.095048519,-0.176198358,0.379314334,-0.22760435,0.837606687,-0.179224294,0.282507748,-0.222166436,-0.268336085,-0.473062028,-0.307505308,-0.720308726,-0.865262504,-0.822156514,-3.017837416,-0.885830511,-0.150804574,-0.804286352,-0.014049283,-0.863370622,0.2909681,-0.816125777,-0.049381291
160805,-0.176198358,0.379314334,-0.22760435,0.837606687,-0.179224294,0.282507748,-0.222166436,-0.268336085,-0.473062028,-0.307505308,-0.720308726,-0.865262504,-0.822156514,-3.017837416,-0.885830511,-0.150804574,-0.804286352,-0.014049283,-0.863370622,0.2909681,-0.816125777,-0.049381291,-0.853351387,-0.16912779
160812,-0.22760435,0.837606687,-0.179224294,0.282507748,-0.222166436,-0.268336085,-0.473062028,-0.307505308,-0.720308726,-0.865262504,-0.822156514,-3.017837416,-0.885830511,-0.150804574,-0.804286352,-0.014049283,-0.863370622,0.2909681,-0.816125777,-0.049381291,-0.853351387,-0.16912779,-0.834305544,-0.046761762
160819,-0.179224294,0.282507748,-0.222166436,-0.268336085,-0.473062028,-0.307505308,-0.720308726,-0.865262504,-0.822156514,-3.017837416,-0.885830511,-0.150804574,-0.804286352,-0.014049283,-0.863370622,0.2909681,-0.816125777,-0.049381291,-0.853351387,-0.16912779,-0.834305544,-0.046761762,-0.814050848,0.477193516
160826,-0.222166436,-0.268336085,-0.473062028,-0.307505308,-0.720308726,-0.865262504,-0.822156514,-3.017837416,-0.885830511,-0.150804574,-0.804286352,-0.014049283,-0.863370622,0.2909681,-0.816125777,-0.049381291,-0.853351387,-0.16912779,-0.834305544,-0.046761762,-0.814050848,0.477193516,-0.51012907,-0.017818564
160902,-0.473062028,-0.307505308,-0.720308726,-0.865262504,-0.822156514,-3.017837416,-0.885830511,-0.150804574,-0.804286352,-0.014049283,-0.863370622,0.2909681,-0.816125777,-0.049381291,-0.853351387,-0.16912779,-0.834305544,-0.046761762,-0.814050848,0.477193516,-0.51012907,-0.017818564,-0.596660671,-0.41764718
160909,-0.720308726,-0.865262504,-0.822156514,-3.017837416,-0.885830511,-0.150804574,-0.804286352,-0.014049283,-0.863370622,0.2909681,-0.816125777,-0.049381291,-0.853351387,-0.16912779,-0.834305544,-0.046761762,-0.814050848,0.477193516,-0.51012907,-0.017818564,-0.596660671,-0.41764718,-0.55265916,-0.304970603
160919,-0.822156514,-3.017837416,-0.885830511,-0.150804574,-0.804286352,-0.014049283,-0.863370622,0.2909681,-0.816125777,-0.049381291,-0.853351387,-0.16912779,-0.834305544,-0.046761762,-0.814050848,0.477193516,-0.51012907,-0.017818564,-0.596660671,-0.41764718,-0.55265916,-0.304970603,-0.521355176,0.161560207
160926,-0.885830511,-0.150804574,-0.804286352,-0.014049283,-0.863370622,0.2909681,-0.816125777,-0.049381291,-0.853351387,-0.16912779,-0.834305544,-0.046761762,-0.814050848,0.477193516,-0.51012907,-0.017818564,-0.596660671,-0.41764718,-0.55265916,-0.304970603,-0.521355176,0.161560207,-0.472132533,0.072325965
161010,-0.804286352,-0.014049283,-0.863370622,0.2909681,-0.816125777,-0.049381291,-0.853351387,-0.16912779,-0.834305544,-0.046761762,-0.814050848,0.477193516,-0.51012907,-0.017818564,-0.596660671,-0.41764718,-0.55265916,-0.304970603,-0.521355176,0.161560207,-0.472132533,0.072325965,-0.437697252,0.338497412
161017,-0.863370622,0.2909681,-0.816125777,-0.049381291,-0.853351387,-0.16912779,-0.834305544,-0.046761762,-0.814050848,0.477193516,-0.51012907,-0.017818564,-0.596660671,-0.41764718,-0.55265916,-0.304970603,-0.521355176,0.161560207,-0.472132533,0.072325965,-0.437697252,0.338497412,-0.37055221,0.309143799
161024,-0.816125777,-0.049381291,-0.853351387,-0.16912779,-0.834305544,-0.046761762,-0.814050848,0.477193516,-0.51012907,-0.017818564,-0.596660671,-0.41764718,-0.55265916,-0.304970603,-0.521355176,0.161560207,-0.472132533,0.072325965,-0.437697252,0.338497412,-0.37055221,0.309143799,-0.065452938,1.388498831
