time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
150331,2.939975186,-0.133364974,3.1480423,1.536946355,3.153757424,-0.236938843,3.571969171,1.566570057,3.807707262,1.930712247,4.043985006,0.702112696,3.990832325,0.70075295,3.482768966,-2.989141983,3.498388689,-0.267246293,3.768218428,1.072452104,4.356819622,2.362643444,3.970244241,-1.551891367,3.538447701,-1.112327885,3.054120243,-2.729611336,3.155819396,-0.132086135,2.986406206,-1.070448804,3.406966957,1.521858973,3.559149136,1.928662501,3.665480917,0.330985785,3.69586745,0.610191365
150401,3.1480423,1.536946355,3.153757424,-0.236938843,3.571969171,1.566570057,3.807707262,1.930712247,4.043985006,0.702112696,3.990832325,0.70075295,3.482768966,-2.989141983,3.498388689,-0.267246293,3.768218428,1.072452104,4.356819622,2.362643444,3.970244241,-1.551891367,3.538447701,-1.112327885,3.054120243,-2.729611336,3.155819396,-0.132086135,2.986406206,-1.070448804,3.406966957,1.521858973,3.559149136,1.928662501,3.665480917,0.330985785,3.69586745,0.610191365,2.909343508,-3.704424187
150402,3.153757424,-0.236938843,3.571969171,1.566570057,3.807707262,1.930712247,4.043985006,0.702112696,3.990832325,0.70075295,3.482768966,-2.989141983,3.498388689,-0.267246293,3.768218428,1.072452104,4.356819622,2.362643444,3.970244241,-1.551891367,3.538447701,-1.112327885,3.054120243,-2.729611336,3.155819396,-0.132086135,2.986406206,-1.070448804,3.406966957,1.521858973,3.559149136,1.928662501,3.665480917,0.330985785,3.69586745,0.610191365,2.909343508,-3.704424187,2.694713119,-1.825407586
150403,3.571969171,1.566570057,3.807707262,1.930712247,4.043985006,0.702112696,3.990832325,0.70075295,3.482768966,-2.989141983,3.498388689,-0.267246293,3.768218428,1.072452104,4.356819622,2.362643444,3.970244241,-1.551891367,3.538447701,-1.112327885,3.054120243,-2.729611336,3.155819396,-0.132086135,2.986406206,-1.070448804,3.406966957,1.521858973,3.559149136,1.928662501,3.665480917,0.330985785,3.69586745,0.610191365,2.909343508,-3.704424187,2.694713119,-1.825407586,2.483574412,-1.329188525
150407,3.807707262,1.930712247,4.043985006,0.702112696,3.990832325,0.70075295,3.482768966,-2.989141983,3.498388689,-0.267246293,3.768218428,1.072452104,4.356819622,2.362643444,3.970244241,-1.551891367,3.538447701,-1.112327885,3.054120243,-2.729611336,3.155819396,-0.132086135,2.986406206,-1.070448804,3.406966957,1.521858973,3.559149136,1.928662501,3.665480917,0.330985785,3.69586745,0.610191365,2.909343508,-3.704424187,2.694713119,-1.825407586,2.483574412,-1.329188525,2.118035753,-1.655152486
150408,4.043985006,0.702112696,3.990832325,0.70075295,3.482768966,-2.989141983,3.498388689,-0.267246293,3.768218428,1.072452104,4.356819622,2.362643444,3.970244241,-1.551891367,3.538447701,-1.112327885,3.054120243,-2.729611336,3.155819396,-0.132086135,2.986406206,-1.070448804,3.406966957,1.521858973,3.559149136,1.928662501,3.665480917,0.330985785,3.69586745,0.610191365,2.909343508,-3.704424187,2.694713119,-1.825407586,2.483574412,-1.329188525,2.118035753,-1.655152486,2.040621875,-0.953750954
150409,3.990832325,0.70075295,3.482768966,-2.989141983,3.498388689,-0.267246293,3.768218428,1.072452104,4.356819622,2.362643444,3.970244241,-1.551891367,3.538447701,-1.112327885,3.054120243,-2.729611336,3.155819396,-0.132086135,2.986406206,-1.070448804,3.406966957,1.521858973,3.559149136,1.928662501,3.665480917,0.330985785,3.69586745,0.610191365,2.909343508,-3.704424187,2.694713119,-1.825407586,2.483574412,-1.329188525,2.118035753,-1.655152486,2.040621875,-0.953750954,1.787465349,-1.162881046
150410,3.482768966,-2.989141983,3.498388689,-0.267246293,3.768218428,1.072452104,4.356819622,2.362643444,3.970244241,-1.551891367,3.538447701,-1.112327885,3.054120243,-2.729611336,3.155819396,-0.132086135,2.986406206,-1.070448804,3.406966957,1.521858973,3.559149136,1.928662501,3.665480917,0.330985785,3.69586745,0.610191365,2.909343508,-3.704424187,2.694713119,-1.825407586,2.483574412,-1.329188525,2.118035753,-1.655152486,2.040621875,-0.953750954,1.787465349,-1.162881046,1.736082609,-0.403540902
150414,3.498388689,-0.267246293,3.768218428,1.072452104,4.356819622,2.362643444,3.970244241,-1.551891367,3.538447701,-1.112327885,3.054120243,-2.729611336,3.155819396,-0.132086135,2.986406206,-1.070448804,3.406966957,1.521858973,3.559149136,1.928662501,3.665480917,0.330985785,3.69586745,0.610191365,2.909343508,-3.704424187,2.694713119,-1.825407586,2.483574412,-1.329188525,2.118035753,-1.655152486,2.040621875,-0.953750954,1.787465349,-1.162881046,1.736082609,-0.403540902,1.713385829,-0.244472563
150415,3.768218428,1.072452104,4.356819622,2.362643444,3.970244241,-1.551891367,3.538447701,-1.112327885,3.054120243,-2.729611336,3.155819396,-0.132086135,2.986406206,-1.070448804,3.406966957,1.521858973,3.559149136,1.928662501,3.665480917,0.330985785,3.69586745,0.610191365,2.909343508,-3.704424187,2.694713119,-1.825407586,2.483574412,-1.329188525,2.118035753,-1.655152486,2.040621875,-0.953750954,1.787465349,-1.162881046,1.736082609,-0.403540902,1.713385829,-0.244472563,1.450166108,-1.322208966
