time,buy
160923,2.5194
160926,2.5221
160927,2.5248
160928,2.5269
160929,2.5283
160930,2.5354
161008,2.5344
161009,2.5319
161010,2.5321
161011,2.5333
161012,2.5381
161013,2.5423
161014,2.5394
161017,2.5473
161018,2.5625
161019,2.5625
161020,2.5538
161021,2.5879
161024,2.6264
161025,2.6273
161026,2.6671
161027,2.6931
161028,2.6971
161031,2.7646
161101,2.7375
161102,2.6994
161103,2.6902
161104,2.7019
161107,2.7253
161108,2.7296
161109,2.7264
161110,2.7998
161111,2.8269
161114,2.8827
161115,2.8900
161116,2.9486
161117,3.0113
161118,2.9896
161121,2.9802
161122,2.9419
161123,2.9281
161124,2.9667
161125,2.9969
161128,3.0061
161129,3.1481
161130,3.1425
161201,3.2881
161202,3.2488
161205,3.2439
161206,3.2169
161207,3.1994
161208,3.1688
161209,3.1947
161212,3.2824
161213,3.3061
161214,3.3300
161215,3.4723
161216,3.4169
161219,3.5163
161220,3.5081
161221,3.3958
161222,3.3119
161223,3.3325
161226,3.3538
161227,3.3836
161228,3.3831
161229,3.3513
161230,3.3502
170103,3.3895
170104,3.3921
170105,3.3845
170106,3.3393
170109,3.1975
170110,3.1839
170111,3.2092
170112,3.1738
170113,3.1571
170116,3.2618
170117,3.2158
170118,3.2328
170119,3.1992
170120,3.1503
170122,3.1438
170123,3.1361
170124,3.1938
170125,3.2867
170126,3.3000
170203,3.4175
170204,3.4256
170206,3.4113
170207,3.3794
170208,3.3763
170209,3.3603
170210,3.3763
170213,3.3643
170214,3.3666
170215,3.3891
170216,3.3481
170217,3.3604
170220,3.3419
170221,3.3844
170222,3.3786
170223,3.3819
170224,3.4000
170227,3.3750
170228,3.3769
170301,3.4044
170302,3.4331
170303,3.4325
170306,3.4325
170307,3.4450
170308,3.5363
170309,3.5441
170310,3.5294
170313,3.4813
170314,3.4716
170315,3.4394
170316,3.5271
170317,3.5438
170320,3.6013
170321,3.6828
170322,3.6691
170323,3.6225
170324,3.5846
170327,3.5746
170328,3.5517
170329,3.5925
170330,3.5953
170331,3.6067
170401,3.5800
170405,3.5657
170406,3.5780
170407,3.5559
170410,3.5597
170411,3.5600
170412,3.5727
170413,3.5800
170414,3.6017
170417,3.6380
170418,3.6301
170419,3.6385
170420,3.6476
170421,3.6529
170424,3.6495
170425,3.6071
170426,3.6213
170427,3.6413
170428,3.6775
170502,3.7141
170503,3.7575
170504,3.8155
170505,3.7663
170508,3.7728
170509,3.8109
170510,3.8384
170511,3.7906
170512,3.8038
170515,3.7372
170516,3.7400
170517,3.7150
170518,3.7015
170519,3.7200
170522,3.7166
170523,3.6465
170524,3.6480
170525,3.6549
170526,3.6507
170601,3.5668
170602,3.6005
170605,3.5875
170606,3.6113
170607,3.5993
170608,3.6175
170609,3.5896
170612,3.5747
170613,3.5750
170614,3.5500
170615,3.5675
170616,3.5738
170619,3.4954
170620,3.5088
170621,3.5353
170622,3.5250
170623,3.4810
170626,3.3963
170627,3.3923
170628,3.4334
170629,3.4350
170630,3.4850
170703,3.5088
170704,3.4800
170705,3.4175
170706,3.4238
170707,3.4475
170710,3.4676
170711,3.4575
170712,3.4313
170713,3.4075
170714,3.3993
170717,3.3931
170718,3.4114
170719,3.4152
170720,3.3938
170721,3.3988
170724,3.3750
170725,3.3869
170726,3.4088
170727,3.3938
170728,3.3925
170731,3.4131
170801,3.4450
170802,3.4388
170803,3.4275
170804,3.4100
170807,3.4403
170808,3.4450
170809,3.4513
170810,3.4372
170811,3.4200
170814,3.4210
170815,3.4426
170816,3.4684
170817,3.4742
170818,3.4586
170821,3.4713
170822,3.4838
170823,3.4913
170824,3.4963
170825,3.4966
170828,3.5559
170829,3.5550
170830,3.5513
170831,3.5438
170901,3.5550
170904,3.5885
170905,3.6000
170906,3.5538
170907,3.4970
170908,3.4638
170911,3.4963
170912,3.4975
170913,3.5250
170914,3.5000
170915,3.4950
170918,3.4988
170919,3.4913
170920,3.4925
170921,3.5034
170922,3.4900
170925,3.4788
170926,3.4868
170927,3.5118
170928,3.4959
170929,3.4963
170930,3.5013
171009,3.5213
171010,3.5202
171011,3.5138
171012,3.5214
171013,3.5200
171016,3.5392
171017,3.5513
171018,3.5300
171019,3.5300
171020,3.5382
171023,3.5438
171025,3.6088
171026,3.5839
171027,3.6049
171030,3.6442
171031,3.6035
171101,3.5922
171102,3.5957
171103,3.5888
171106,3.5838
171107,3.5863
171108,3.5913
171109,3.6047
171110,3.6318
171113,3.6551
171114,3.6467
171115,3.6310
171116,3.6025
171117,3.6038
171120,3.5913
171121,3.5939
171123,3.6131
171124,3.6013
171127,3.6088
171128,3.6294
171129,3.6225
171130,3.6213
171201,3.6150
171204,3.6135
171205,3.6150
171206,3.6311
171207,3.6413
171208,3.6638
171211,3.6975
171212,3.7255
171213,3.7298
171214,3.6939
171215,3.6625
171218,3.6650
171219,3.6800
171220,3.6900
171221,3.6920
171222,3.6615
171225,3.6524
171226,3.6600
171227,3.6713
171228,3.6865
171229,3.6969
180102,3.6400
180103,3.6325
180104,3.6049
180105,3.5677
180108,3.5875
180109,3.6013
180110,3.6449
180111,3.6500
180112,3.6266
180115,3.6142
180116,3.6006
180118,3.6188
180119,3.6113
180122,3.5872
180123,3.5728
180124,3.5663
180126,3.5918
180129,3.5827
180130,3.5919
180131,3.5775
180201,3.5638
180202,3.5573
180205,3.5550
180206,3.5488
180208,3.5387
180209,3.5325
180211,3.5313
180212,3.5367
180213,3.5375
180214,3.5425
