time,val,cmax,avg,std,rc,rc2,rc3
150804,3948.16,0.86172753,0.970989577,0.038443549,1,0,2.842142605
150805,3866.9,0.916914659,0.967079072,0.0398127,0,0,1.260010321
150806,3831.85,0.966065291,0.965649716,0.039280267,0,0,-0.010579753
150807,3906.94,0.990825278,0.965190979,0.038909819,0,0,-0.658813103
150810,4084.36,0.967380335,0.963559996,0.038048051,0,0,-0.100408255
150811,4066.67,0.933177441,0.960938974,0.038255007,0,0,0.725696705
150812,4016.13,0.94037607,0.957957777,0.037363635,0,0,0.470556667
150813,4075.46,0.976637394,0.956789647,0.036330988,0,0,-0.546303529
150814,4073.54,0.978780515,0.95821918,0.036618979,0,0,-0.561493939
150817,4077.87,0.980050861,0.958185222,0.036597313,0,0,-0.59746568
150818,3825.41,0.977968905,0.957083667,0.035590177,0,0,-0.586825888
150819,3886.14,1,0.957083667,0.035590177,0,0,-1.205847677
150820,3761.45,1,0.958612954,0.036784971,0,0,-1.125107483
150821,3589.54,0.934964107,0.958507258,0.036853079,0,0,0.638838117
150824,3275.53,0.933093557,0.955161936,0.03591307,0,0,0.614494364
150825,3042.93,0.962300091,0.953276941,0.034392977,0,0,-0.262354442
150826,3025.69,0.93415125,0.951664301,0.034501045,0,0,0.507609283
150827,3205.64,0.934467089,0.952679661,0.03362695,0,0,0.541606405
150828,3342.29,0.937537338,0.952523844,0.033692763,0,0,0.444798984
150831,3366.54,0.966653282,0.95465355,0.033140478,0,0,-0.362086891
150901,3362.08,0.946757876,0.958905067,0.025061107,0,0,0.484702862
150902,3365.83,0.938176361,0.959968152,0.023594162,0,0,0.923609478
150907,3250.49,0.956561126,0.959492944,0.023560584,0,0,0.124437403
150908,3334.02,1,0.95995168,0.02428105,0,0,-1.649365219
150909,3399.31,0.997253468,0.961445337,0.025642725,0,0,-1.396424608
150910,3357.56,0.984859743,0.964029452,0.025245161,0,0,-0.825120172
150911,3347.19,0.999409005,0.966981098,0.02577946,0,0,-1.257897054
150914,3281.13,0.998938171,0.968096137,0.026685473,0,0,-1.155761189
150915,3152.23,1,0.969157111,0.027540747,0,0,-1.11990022
150916,3309.25,0.984372668,0.969373202,0.027647468,0,0,-0.542525847
150917,3237,1,0.970474757,0.028435628,0,0,-1.038318672
150918,3251.27,1,0.970474757,0.028435628,0,0,-1.038318672
150921,3308.25,1,0.970474757,0.028435628,0,0,-1.038318672
150922,3339.03,0.963586728,0.971905888,0.027249906,0,1,0.305291324
150923,3263.03,0.895161077,0.970009264,0.031136385,1,1,2.403881717
150924,3285,0.890089459,0.966398732,0.035899743,1,0,2.125621671
150925,3231.95,0.943026673,0.966842503,0.035533124,0,0,0.67024308
150928,3242.75,0.983226008,0.969280449,0.034861255,0,0,-0.400030308
150929,3178.85,0.990359808,0.971921573,0.034326634,0,0,-0.5371408
150930,3202.95,0.989047777,0.973041297,0.034510498,0,0,-0.46381481
151008,3296.48,0.990150942,0.975210951,0.03413309,0,0,-0.437698193
151009,3340.12,0.956220527,0.976113159,0.033331733,0,0,0.596807611
151012,3447.69,0.967030098,0.976636608,0.033089849,0,0,0.290315899
151013,3445.04,0.985967416,0.975934978,0.032715033,0,0,-0.306661387
151014,3406.11,0.973857858,0.974765198,0.032328628,0,0,0.028066133
151015,3486.82,0.959954916,0.973519957,0.032398908,0,0,0.418688212
151016,3534.07,0.92842813,0.969970913,0.033289172,0,0,1.247936802
151019,3534.18,0.89192684,0.964620346,0.036802757,0,0,1.975219059
151020,3577.7,0.92496576,0.960868634,0.036830818,0,0,0.974805228
151021,3473.25,0.904771222,0.956888562,0.038423769,0,0,1.356382812
151022,3524.53,0.908759818,0.952326553,0.03845221,0,0,1.13300992
151023,3571.24,0.924686251,0.948560865,0.037205331,0,0,0.641698746
151026,3589.26,0.93028368,0.945075049,0.035352026,0,0,0.418402317
151027,3592.88,0.908193427,0.942305384,0.035989546,0,0,0.947829618
151028,3524.92,0.914308299,0.943262745,0.034907864,0,0,0.829453401
151029,3533.31,0.899542985,0.943735422,0.034206933,0,0,1.291914602
151030,3534.08,0.90254893,0.941711535,0.035426777,0,0,1.105452088
151102,3475.96,0.884763755,0.936788422,0.036187328,0,0,1.437648758
151103,3465.49,0.891471466,0.931844005,0.035225379,0,0,1.146120786
151104,3628.54,0.908486609,0.927815946,0.032866965,0,0,0.588108378
151105,3705.97,0.901280906,0.923372445,0.029866433,0,0,0.739677825
151106,3793.37,0.908872586,0.921005048,0.028989318,0,0,0.418514911
151109,3840.35,0.89706407,0.917506746,0.027316212,0,0,0.748371557
151110,3833.24,0.886926973,0.912554724,0.022867056,0,0,1.120728065
151111,3833.65,0.907943286,0.909258995,0.017742451,0,0,0.074155984
151112,3795.32,0.920246853,0.907273592,0.013480819,0,0,-0.962349559
151113,3746.24,0.920275496,0.90686596,0.012919037,0,0,-1.037967067
151116,3764.13,0.931607796,0.908850008,0.013536269,0,0,-1.681245202
151117,3758.39,0.904409754,0.907822208,0.013018715,0,0,0.262119077
151118,3715.58,0.917762704,0.908471782,0.013181562,0,0,-0.704842234
151119,3774.97,0.929925658,0.909530074,0.014028363,0,0,-1.45388197
151120,3774.38,0.934617938,0.910026658,0.014750314,0,0,-1.66716991
151123,3753.34,0.935560561,0.910290503,0.015172872,0,0,-1.665476323
151124,3753.89,0.917864257,0.910774044,0.015256392,0,0,-0.464737217
151125,3781.61,0.920048954,0.911061077,0.015379887,0,0,-0.584391614
151126,3759.43,0.920249456,0.9120964,0.015260199,0,0,-0.534269325
151127,3556.99,0.905115419,0.912224725,0.0151863,0,0,0.468139435
151130,3566.41,0.902389105,0.913105992,0.013971686,0,0,0.767043244
151201,3591.7,0.944846173,0.915774728,0.014700332,0,0,-1.977604675
151202,3721.95,0.965008398,0.918600817,0.018233857,0,0,-2.545132397
151203,3749.3,0.98776674,0.922925109,0.023426203,0,0,-2.767910382
151204,3677.59,1,0.92748148,0.02879584,0,0,-2.518367906
151207,3687.61,0.999893052,0.932622929,0.032072562,0,0,-2.09743531
151208,3623.02,1,0.93827658,0.033526587,0,0,-1.841029013
151209,3635.94,1,0.942879416,0.035409305,0,0,-1.613151795
151210,3623.08,0.990646841,0.946399415,0.0365227,0,0,-1.211504774
151211,3608.06,0.99537763,0.950154522,0.037542001,0,0,-1.20460037
151214,3711.32,0.993859758,0.95326712,0.038491993,0,0,-1.054573576
151215,3694.39,0.982539183,0.957173591,0.037216039,0,0,-0.681576881
151216,3685.44,0.998244134,0.961197663,0.037081238,0,0,-0.99906242
151217,3755.89,0.998088116,0.964605786,0.037188005,0,0,-0.900352946
151218,3767.91,0.992524348,0.967501106,0.036984011,0,0,-0.676596212
151221,3865.97,0.97100857,0.969273507,0.036214129,0,0,-0.047911214
151222,3876.73,0.975463857,0.972153487,0.034141597,0,0,-0.096960042
151223,3866.38,0.969742541,0.974638166,0.031883655,0,0,0.153546553
151224,3829.4,0.917523273,0.974501857,0.032133266,0,0,1.773196126
151225,3838.2,0.919953156,0.975243744,0.030580751,0,0,1.808019274
151228,3727.63,0.926476696,0.976448123,0.027918943,0,0,1.78987533
151229,3761.87,0.960074599,0.977209545,0.027210383,0,0,0.629720849
151230,3765.18,0.967129514,0.9773156,0.02716442,0,0,0.374978989
151231,3731,0.948631966,0.975358862,0.027774616,0,0,0.962277798
160104,3469.07,0.951216618,0.972919693,0.027638482,0,0,0.785248437
160105,3478.78,0.934555669,0.969652823,0.028139329,0,0,1.247263353
160106,3539.81,0.937888375,0.966547242,0.02804109,0,0,1.022031153
160107,3294.38,0.934571146,0.9632758,0.027748009,0,0,1.034476125
160108,3361.56,0.930696747,0.960278295,0.027873406,0,0,1.061282133
160111,3192.45,0.957332597,0.958376043,0.026622064,0,0,0.039194778
160112,3215.71,0.952965515,0.956331331,0.025290433,0,0,0.133086543
160113,3155.88,0.950656868,0.954737215,0.02454538,0,0,0.166236875
160114,3221.57,0.9688294,0.953266479,0.022605908,0,0,-0.688444881
160115,3118.73,0.971929951,0.95195857,0.020538344,0,0,-0.972394906
