,normval,normbuy,normsell,normavg,normper,feature_0,feature_1,feature_2,feature_3,feature_4
0,1.442887358,1.445733259,1.51386123,1.480091848,-0.100215716,2.9399751858820036,-0.13336497441338174,-0.022046250990477634,-0.053227054052643386,-6.953425593447804e-05
1,1.593157824,1.518908106,1.592710085,1.55632408,1.572177101,3.1480422995804145,1.5369463545584003,-0.05866296548424793,-0.005378663584582721,9.133819683959654e-05
2,1.573806305,1.544618187,1.614196398,1.579825726,-0.201444517,3.1537574237079378,-0.2369388431853554,-0.03833173857001626,-0.031235062410442493,1.0077368449379343e-05
3,1.730395634,1.758011863,1.826891183,1.792920488,1.606781936,3.571969170890703,1.5665700567542136,-0.007258220097010604,-0.07456648642710673,1.4165432104973341e-05
4,1.927070252,1.852743624,1.909879603,1.881792261,1.97332951,3.807707262059947,1.9307122471170204,-0.05236693890584887,0.006616229863643852,5.530085335880841e-06
5,2.003883933,1.992764683,2.052004664,2.022999634,0.747598689,4.043985005948879,0.7021126959692938,-0.024359665104094486,-0.038026449155393216,8.913514447550508e-05
6,2.081290007,1.92690732,1.99543061,1.961776857,0.74534375,3.990832324780295,0.7007529498470997,-0.09741213027292583,0.057467583229005026,8.542377100029253e-05
7,1.773245425,1.711733716,1.793971787,1.753421923,-2.949838431,3.4827689656416387,-2.9891419828921872,-0.0631608647345906,-0.012778120557441763,9.164583635967727e-05
8,1.750734475,1.70619616,1.794563153,1.750854516,-0.227890309,3.4983886892742295,-0.2672462932667115,-0.05226556938893867,-0.03439883975759117,1.6059477028096403e-05
9,1.862301904,1.84463506,1.921312687,1.883569697,1.114811983,3.76821842774644,1.0724521038832289,-0.03284340866540569,-0.04719756874992398,9.505079271232564e-05
10,2.107157853,2.157704743,2.210490861,2.184548767,2.411675601,4.356819621905261,2.3626434438748714,0.010764004005417327,-0.08018411101044998,-6.995907099549559e-05
11,1.949383737,1.981096261,2.035643526,2.00878015,-1.507012144,3.9702442410571037,-1.5518913666261231,-0.005804335855623677,-0.06105294663443628,-7.342357109807462e-05
12,1.839593489,1.715095804,1.792591932,1.754211894,-1.072648356,3.538447700945702,-1.1123278852647083,-0.08905665112281719,0.03257328410295801,-7.2848412635107e-05
13,1.567487442,1.500119969,1.567478452,1.534204883,-2.695170818,3.0541202431882652,-2.729611336143481,-0.06052100246985992,0.0022153070412234133,5.513625909725484e-06
14,1.558404076,1.545409266,1.624840993,1.585553018,-0.096533028,3.155819396336472,-0.1320861346013608,-0.03360199538598113,-0.050461920800645155,1.4385454774501483e-05
15,1.458092122,1.481134063,1.54421804,1.51307315,-1.036681492,2.986406205557742,-1.070448803539579,-0.012085197783823665,-0.062211773118467706,9.613770504457442e-06
16,1.60757273,1.685430325,1.762038001,1.724192984,1.560329363,3.406966956894263,1.5218589731044825,0.014546489551464648,-0.1162862066468413,1.9176501490636433e-05
17,1.800298058,1.721028899,1.794760275,1.758359243,1.968485026,3.55914913624952,1.9286625010163163,-0.06042637137513007,-0.0024003493150368538,1.0960674856286268e-05
18,1.838013773,1.790841659,1.865527122,1.82866669,0.372169991,3.665480917170043,0.3309857846058611,-0.047860412459160284,-0.023231927717823897,1.1690244814510642e-05
19,1.904164373,1.785501873,1.863161657,1.824716834,0.651551073,3.6958674496599873,0.6101913649143962,-0.08328180358419146,0.025199730916079854,-7.112082559623811e-05
20,1.529969191,1.414287851,1.499865559,1.457577666,-3.671642751,2.9093435076965983,-3.7044241870268038,-0.09196150918678941,0.024722596015872123,8.935266719978241e-05
21,1.356792846,1.316985082,1.398347658,1.35804128,-1.794996734,2.694713118784932,-1.825407585968117,-0.05027200938219961,-0.029720818380216896,1.2239620697962472e-05
22,1.234562336,1.215726915,1.292098827,1.254357545,-1.301142695,2.4835744123067363,-1.3291885249171456,-0.037466382543164256,-0.04186858326287557,9.239663800392206e-05
23,1.084094406,1.027450011,1.098327766,1.063184487,-1.631284947,2.118035753393632,-1.6551524863859253,-0.05462244929796617,-0.010061171669124569,7.589350479730861e-06
24,1.000369468,0.997388993,1.070533545,1.034153041,-0.93068119,2.0406218753981142,-0.9537509542226055,-0.028013770432061047,-0.05140698616041839,-6.915343560309761e-05
25,0.898872727,0.858950093,0.942207034,0.900845382,-1.142718111,1.7874653485375267,-1.1628810459289807,-0.04982184481970747,-0.032276390373968344,1.2925763801407975e-05
26,0.865501231,0.833240012,0.910273248,0.872011429,-0.383990392,1.736082609012311,-0.40354090193902276,-0.04265127537704899,-0.0344096915669414,1.1669553241555608e-05
27,0.846149712,0.822955979,0.900811385,0.862136787,-0.22516716,1.713385829365663,-0.24447256296354353,-0.038231653452094616,-0.04180461898542387,1.2504078613195801e-05
28,0.733002568,0.692625643,0.771893508,0.732383999,-1.305836114,1.4501661075149195,-1.322208966260262,-0.048977496197148584,-0.02863396153389608,-6.940847699821173e-05
29,0.707727115,0.688868016,0.765979844,0.727644171,-0.299615563,1.4416480416953275,-0.3158760573031086,-0.035986883607552145,-0.044222695406951784,1.2258015565536073e-05
