trade_date,0,1,2,3,4,5,6,7,8,y1,y2,y3,y4,y5,y6,y7
20150209,-0.112978116,0.014092587,0.000560495,0.033835422,-0.040511288,0.036261708,-0.04633332,7.52e-05,-0.07596727,-0.2008331385457342,0.2617942188371545,0.18094340706063863,-0.17135361461790566,-0.13778013478568096,0.04814950099658253,0.014689314532264203
20150216,-0.25822863,-0.08417335,0.009362932,0.039483223,-0.123351745,-0.007871725,-0.14283645,-0.006262928,-0.20966205,-0.6314562082127781,0.3521441714820836,0.5630304099953557,-0.5364807825416699,-0.10474659171322466,-0.005673858018977512,-0.14850341926386074
20150302,-0.31860954,-0.0985754,0.01327832,0.074018404,-0.17807615,0.10825917,-0.18654081,-0.008357987,-0.2792742,-0.6593844040892534,0.5630747819234286,0.6457476484330001,-0.7766956291409961,-0.267711530344209,0.258939730885457,-0.2627499341235608
20150309,-0.31710133,-0.20145658,0.03240946,0.004743151,-0.1443961,0.11525458,-0.1787422,-0.010956638,-0.27192757,-0.6733001270666112,0.14543960268036202,0.8204750648764878,-0.9274586798613011,-0.25895691606499577,0.2802869035011578,-0.29848782158570303
20150316,-0.32087806,-0.0610509,0.029338628,0.17042038,-0.30155373,0.1371141,-0.18380395,-0.012623705,-0.27609327,-0.6843465158243849,0.9962039276319817,0.608986501995324,-0.7356819117456453,-0.10560968981308409,0.47159953641946545,-0.45873187255272524
20150323,-0.43501434,0.33954558,0.03813809,0.4809502,-0.5132595,-0.8727866,-0.37404022,-0.042533897,-0.5644248,-2.2932866774502876,2.8666861661944587,0.49215041257316533,0.7768186307059628,0.9364645519941056,-1.506983457325541,-0.23735097908712294
20150330,-0.14128484,0.010670058,0.037283715,0.17101541,-0.25848567,0.15371381,-0.23025826,-0.012246102,-0.3521814,-0.658354269004904,0.9316977143674369,0.22715998412322597,-0.2961985363001862,-0.3407662973984777,0.5367923531546887,-0.5102968284585748
20150407,-0.13395567,0.21676375,0.038010284,0.36684844,-0.3974738,0.3983288,-0.2787518,0.001816798,-0.4076206,-0.40837021779920313,2.0130378572025447,-0.14886049399273538,-0.18571485846358507,-0.6612438734504958,1.1109645316286536,-0.6900469211993455
20150414,0.07680813,0.9429307,0.04660304,0.7137444,-0.43180767,-0.7682931,-0.4470109,-0.04008062,-0.7083439,-1.7944905199466619,4.091250171892598,-1.1854522485776984,2.634391803166446,0.1346982899730271,-1.2853046598016913,-0.057890284843757314
20150421,0.0851603,1.8455715,0.035246987,1.2396982,-0.24744207,-0.5557248,-0.45905045,-0.0403345,-0.7161902,-0.697212775680262,7.04043777168049,-2.559224119384651,4.033252962125492,-1.0137665076385018,-1.4711053763961726,0.8254990624023638
20150428,0.5244955,0.4684983,0.011189587,0.19812582,0.018456653,0.35372815,-0.3115603,-0.008264847,-0.45100388,0.049500962999085324,0.9978386257890178,-1.5663217043501183,1.4504025986530984,-1.4865758501741924,0.8211553761007505,-0.2862173242390125
20150506,0.5187098,-0.038274635,0.017930923,-0.18235151,0.21429035,0.33322617,-0.30455926,-0.012675755,-0.43329456,-0.15091256493353367,-1.1635413671869679,-0.8225198316330453,0.6155585474569705,-1.4651400928191434,0.7121567100625182,-0.37780184871815115
20150513,0.52171904,-0.15599997,-0.009941672,-0.17624581,0.13182269,0.319013,-0.312392,-0.010987312,-0.39528158,-0.2772542563025554,-1.3346564791462956,-0.7210482873843791,0.3797259128489452,-1.19000880692825,0.7966350182723835,-0.6816790440499242
20150520,0.52582616,-0.3015571,0.008959383,-0.21394117,0.09046801,-0.1973664,-0.30031687,-0.026118226,-0.40806448,-1.0158741350708287,-1.7672269576776705,-0.3654523527357465,0.6773426051537499,-0.2948677860654294,-0.1117758533682631,-0.7780395658548432
20150527,0.5650423,0.08332649,-7.42426,0.3512755,-0.4184148,0.828404,-0.26911286,0.13675092,-0.48511735,-2.457941164277987,0.7451862193024829,-14.974781116034668,-10.173548646731163,1.2149689266113606,-1.3080422965352918,-0.08063816245918994
20150615,0.15226687,-0.000781383,-0.007720274,-0.10824532,0.15042539,0.12991177,-0.04246229,0.004543129,-0.06674308,0.10763076783027056,-0.5810578975061531,-0.2502199825150031,0.17723694553949573,-0.5526498890119332,0.163869861915808,0.09476280454719696
20150623,0.15964887,0.22760624,0.004509866,-0.054626774,0.2113201,0.42527315,-0.13084388,-2.58e-05,-0.1947734,0.43242382563794185,0.04503865273456827,-0.628819101863923,0.3226946408113013,-1.4372944575262403,0.6099785911648851,0.325773560951834
20150630,0.063527524,0.4179831,0.014872155,0.032520007,0.24610831,0.9670574,-0.20221934,0.002915777,-0.2939792,1.0570653522043798,0.8331042285612963,-0.8650277993978308,-0.027523851698627207,-2.5490689572636405,1.5170222805653986,0.4831771845247546
