,0,1,2,3,4,5,6,7,8,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8
0,-0.112978116,0.014092587,0.000560495,0.033835422,-0.040511288,0.036261708,-0.04633332,7.52e-05,-0.07596727,0.40151596493178054,-0.2579560222196479,0.004283582463349787,-0.11049117635287534,0.11242382885775923,0.11075824770333716,-0.04285363259511654,0.037419911307656775,-0.0020894962946851046
1,-0.1889902,-0.005933847,0.008211041,0.03681856,-0.057943277,0.07409676,-0.09420466,-0.001914606,-0.14743353,0.6106582199669731,-0.5720767019154028,0.029682498360112122,-0.1921832755470457,0.24147227523679157,0.1714142170106063,-0.12458334922086711,0.011753092320004098,-0.001240391987176208
2,-0.18781744,-0.010654682,0.004621932,0.046458814,-0.079377845,0.039458416,-0.09176,-0.001908898,-0.14358939,0.6757049029550959,-0.46171063231486803,0.07121259863477927,-0.2387165847381203,0.24992945533475144,0.06116234644138495,-0.11312058045540091,-0.027849415605923078,-0.005311619573534444
3,-0.25885987,-0.070943385,0.006524976,0.026862767,-0.09137664,0.029780319,-0.14064634,-0.00450848,-0.21121632,0.774918028940866,-0.7415651266531949,0.19912757785620547,-0.37942560169802964,0.42574936404429853,-0.0989885389726436,-0.21621640444351464,-0.06887081150143051,-0.001137060946173342
4,-0.25864238,-0.08793306,0.002348688,0.032320928,-0.11557386,-0.015506513,-0.13146082,-0.005216792,-0.20856136,0.818355297297913,-0.6086435271769498,0.26415130774941353,-0.4586516836693517,0.4535315641498297,-0.2521138052407552,-0.2310124586389486,-0.11763698993731148,-0.004485866016593355
5,-0.25822863,-0.08417335,0.009362932,0.039483223,-0.123351745,-0.007871725,-0.14283645,-0.006262928,-0.20966205,0.8642426243001309,-0.6273512196143713,0.2742269372003435,-0.44274504498808565,0.45621743959294303,-0.2142171599841228,-0.20944584160667967,-0.1559948476833128,-0.002531572968742331
6,-0.25862712,-0.06669092,0.012448793,0.05646834,-0.13599916,-0.000111612,-0.1420347,-0.00570365,-0.20994066,0.950922850029141,-0.592239221026533,0.24751058154464436,-0.428728868526951,0.43830107566305315,-0.1520170389309279,-0.19314962720821166,-0.1721867508822298,-0.0010537888371414243
7,-0.25784987,-0.11715564,-0.006391739,0.011044331,-0.102163516,0.032502405,-0.14006919,-0.005873688,-0.20968814,0.6830331744099492,-0.7926775950557491,0.18422673370282291,-0.4921383632322516,0.4791211489058043,-0.16529952945462906,-0.2599801134270425,-0.16895955770819135,0.0009564231528181046
8,-0.25952208,-0.03351397,0.023778606,0.094178185,-0.16761176,0.037482418,-0.1414724,-0.006426983,-0.21081316,1.133216173539429,-0.557099736223845,0.17227440718696144,-0.40728738964501127,0.41011418209360195,0.05766926229879382,-0.1669390942420204,-0.2466585770261902,0.004652249724599088
9,-0.31847274,-0.10004312,0.010081925,0.06864102,-0.17362285,0.076958925,-0.1826131,-0.007656865,-0.27914962,1.1536598248189935,-0.9364370565741743,0.15690116575236268,-0.5605549212334284,0.5571293015848884,0.018795464789505667,-0.30821728085232264,-0.3251893926108722,0.012236103957357846
10,-0.31860954,-0.0985754,0.01327832,0.074018404,-0.17807615,0.10825917,-0.18654081,-0.008357987,-0.2792742,1.1654295864084505,-0.994563903429931,0.10926552477827231,-0.558054323069741,0.5583491280892637,0.13051060959891833,-0.3062524500923821,-0.36696814174816406,0.018774937060700422
