time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
20150506,-0.200833139,0.261794219,0.180943407,-0.171353615,-0.137780135,0.048149501,0.014689315,-0.631456208,0.352144171,0.56303041,-0.536480783,-0.104746592,-0.005673858,-0.148503419,-0.659384404,0.563074782,0.645747648,-0.776695629,-0.26771153,0.258939731,-0.262749934,-0.673300127,0.145439603,0.820475065,-0.92745868,-0.258956916,0.280286904,-0.298487822,-0.684346516,0.996203928,0.608986502,-0.735681912,-0.10560969,0.471599536,-0.458731873,-2.293286677,2.866686166,0.492150413,0.776818631,0.936464552,-1.506983457,-0.237350979,-0.658354269,0.931697714,0.227159984,-0.296198536,-0.340766297,0.536792353,-0.510296828,-0.408370218,2.013037857,-0.148860494,-0.185714858,-0.661243873,1.110964532,-0.690046921,-1.79449052,4.091250172,-1.185452249,2.634391803,0.13469829,-1.28530466,-0.057890285,-0.697212776,7.040437772,-2.559224119,4.033252962,-1.013766508,-1.471105376,0.825499062,0.049500963,0.997838626,-1.566321704,1.450402599,-1.48657585,0.821155376,-0.286217324,-0.150912565,-1.163541367,-0.822519832,0.615558547,-1.465140093,0.71215671,-0.377801849
20150513,-0.631456208,0.352144171,0.56303041,-0.536480783,-0.104746592,-0.005673858,-0.148503419,-0.659384404,0.563074782,0.645747648,-0.776695629,-0.26771153,0.258939731,-0.262749934,-0.673300127,0.145439603,0.820475065,-0.92745868,-0.258956916,0.280286904,-0.298487822,-0.684346516,0.996203928,0.608986502,-0.735681912,-0.10560969,0.471599536,-0.458731873,-2.293286677,2.866686166,0.492150413,0.776818631,0.936464552,-1.506983457,-0.237350979,-0.658354269,0.931697714,0.227159984,-0.296198536,-0.340766297,0.536792353,-0.510296828,-0.408370218,2.013037857,-0.148860494,-0.185714858,-0.661243873,1.110964532,-0.690046921,-1.79449052,4.091250172,-1.185452249,2.634391803,0.13469829,-1.28530466,-0.057890285,-0.697212776,7.040437772,-2.559224119,4.033252962,-1.013766508,-1.471105376,0.825499062,0.049500963,0.997838626,-1.566321704,1.450402599,-1.48657585,0.821155376,-0.286217324,-0.150912565,-1.163541367,-0.822519832,0.615558547,-1.465140093,0.71215671,-0.377801849,-0.277254256,-1.334656479,-0.721048287,0.379725913,-1.190008807,0.796635018,-0.681679044
20150520,-0.659384404,0.563074782,0.645747648,-0.776695629,-0.26771153,0.258939731,-0.262749934,-0.673300127,0.145439603,0.820475065,-0.92745868,-0.258956916,0.280286904,-0.298487822,-0.684346516,0.996203928,0.608986502,-0.735681912,-0.10560969,0.471599536,-0.458731873,-2.293286677,2.866686166,0.492150413,0.776818631,0.936464552,-1.506983457,-0.237350979,-0.658354269,0.931697714,0.227159984,-0.296198536,-0.340766297,0.536792353,-0.510296828,-0.408370218,2.013037857,-0.148860494,-0.185714858,-0.661243873,1.110964532,-0.690046921,-1.79449052,4.091250172,-1.185452249,2.634391803,0.13469829,-1.28530466,-0.057890285,-0.697212776,7.040437772,-2.559224119,4.033252962,-1.013766508,-1.471105376,0.825499062,0.049500963,0.997838626,-1.566321704,1.450402599,-1.48657585,0.821155376,-0.286217324,-0.150912565,-1.163541367,-0.822519832,0.615558547,-1.465140093,0.71215671,-0.377801849,-0.277254256,-1.334656479,-0.721048287,0.379725913,-1.190008807,0.796635018,-0.681679044,-1.015874135,-1.767226958,-0.365452353,0.677342605,-0.294867786,-0.111775853,-0.778039566
20150527,-0.673300127,0.145439603,0.820475065,-0.92745868,-0.258956916,0.280286904,-0.298487822,-0.684346516,0.996203928,0.608986502,-0.735681912,-0.10560969,0.471599536,-0.458731873,-2.293286677,2.866686166,0.492150413,0.776818631,0.936464552,-1.506983457,-0.237350979,-0.658354269,0.931697714,0.227159984,-0.296198536,-0.340766297,0.536792353,-0.510296828,-0.408370218,2.013037857,-0.148860494,-0.185714858,-0.661243873,1.110964532,-0.690046921,-1.79449052,4.091250172,-1.185452249,2.634391803,0.13469829,-1.28530466,-0.057890285,-0.697212776,7.040437772,-2.559224119,4.033252962,-1.013766508,-1.471105376,0.825499062,0.049500963,0.997838626,-1.566321704,1.450402599,-1.48657585,0.821155376,-0.286217324,-0.150912565,-1.163541367,-0.822519832,0.615558547,-1.465140093,0.71215671,-0.377801849,-0.277254256,-1.334656479,-0.721048287,0.379725913,-1.190008807,0.796635018,-0.681679044,-1.015874135,-1.767226958,-0.365452353,0.677342605,-0.294867786,-0.111775853,-0.778039566,-2.457941164,0.745186219,-14.97478112,-10.17354865,1.214968927,-1.308042297,-0.080638162
20150615,-0.684346516,0.996203928,0.608986502,-0.735681912,-0.10560969,0.471599536,-0.458731873,-2.293286677,2.866686166,0.492150413,0.776818631,0.936464552,-1.506983457,-0.237350979,-0.658354269,0.931697714,0.227159984,-0.296198536,-0.340766297,0.536792353,-0.510296828,-0.408370218,2.013037857,-0.148860494,-0.185714858,-0.661243873,1.110964532,-0.690046921,-1.79449052,4.091250172,-1.185452249,2.634391803,0.13469829,-1.28530466,-0.057890285,-0.697212776,7.040437772,-2.559224119,4.033252962,-1.013766508,-1.471105376,0.825499062,0.049500963,0.997838626,-1.566321704,1.450402599,-1.48657585,0.821155376,-0.286217324,-0.150912565,-1.163541367,-0.822519832,0.615558547,-1.465140093,0.71215671,-0.377801849,-0.277254256,-1.334656479,-0.721048287,0.379725913,-1.190008807,0.796635018,-0.681679044,-1.015874135,-1.767226958,-0.365452353,0.677342605,-0.294867786,-0.111775853,-0.778039566,-2.457941164,0.745186219,-14.97478112,-10.17354865,1.214968927,-1.308042297,-0.080638162,0.107630768,-0.581057898,-0.250219983,0.177236946,-0.552649889,0.163869862,0.094762805
20150623,-2.293286677,2.866686166,0.492150413,0.776818631,0.936464552,-1.506983457,-0.237350979,-0.658354269,0.931697714,0.227159984,-0.296198536,-0.340766297,0.536792353,-0.510296828,-0.408370218,2.013037857,-0.148860494,-0.185714858,-0.661243873,1.110964532,-0.690046921,-1.79449052,4.091250172,-1.185452249,2.634391803,0.13469829,-1.28530466,-0.057890285,-0.697212776,7.040437772,-2.559224119,4.033252962,-1.013766508,-1.471105376,0.825499062,0.049500963,0.997838626,-1.566321704,1.450402599,-1.48657585,0.821155376,-0.286217324,-0.150912565,-1.163541367,-0.822519832,0.615558547,-1.465140093,0.71215671,-0.377801849,-0.277254256,-1.334656479,-0.721048287,0.379725913,-1.190008807,0.796635018,-0.681679044,-1.015874135,-1.767226958,-0.365452353,0.677342605,-0.294867786,-0.111775853,-0.778039566,-2.457941164,0.745186219,-14.97478112,-10.17354865,1.214968927,-1.308042297,-0.080638162,0.107630768,-0.581057898,-0.250219983,0.177236946,-0.552649889,0.163869862,0.094762805,0.432423826,0.045038653,-0.628819102,0.322694641,-1.437294458,0.609978591,0.325773561
20150630,-0.658354269,0.931697714,0.227159984,-0.296198536,-0.340766297,0.536792353,-0.510296828,-0.408370218,2.013037857,-0.148860494,-0.185714858,-0.661243873,1.110964532,-0.690046921,-1.79449052,4.091250172,-1.185452249,2.634391803,0.13469829,-1.28530466,-0.057890285,-0.697212776,7.040437772,-2.559224119,4.033252962,-1.013766508,-1.471105376,0.825499062,0.049500963,0.997838626,-1.566321704,1.450402599,-1.48657585,0.821155376,-0.286217324,-0.150912565,-1.163541367,-0.822519832,0.615558547,-1.465140093,0.71215671,-0.377801849,-0.277254256,-1.334656479,-0.721048287,0.379725913,-1.190008807,0.796635018,-0.681679044,-1.015874135,-1.767226958,-0.365452353,0.677342605,-0.294867786,-0.111775853,-0.778039566,-2.457941164,0.745186219,-14.97478112,-10.17354865,1.214968927,-1.308042297,-0.080638162,0.107630768,-0.581057898,-0.250219983,0.177236946,-0.552649889,0.163869862,0.094762805,0.432423826,0.045038653,-0.628819102,0.322694641,-1.437294458,0.609978591,0.325773561,1.057065352,0.833104229,-0.865027799,-0.027523852,-2.549068957,1.517022281,0.483177185
20150707,-0.408370218,2.013037857,-0.148860494,-0.185714858,-0.661243873,1.110964532,-0.690046921,-1.79449052,4.091250172,-1.185452249,2.634391803,0.13469829,-1.28530466,-0.057890285,-0.697212776,7.040437772,-2.559224119,4.033252962,-1.013766508,-1.471105376,0.825499062,0.049500963,0.997838626,-1.566321704,1.450402599,-1.48657585,0.821155376,-0.286217324,-0.150912565,-1.163541367,-0.822519832,0.615558547,-1.465140093,0.71215671,-0.377801849,-0.277254256,-1.334656479,-0.721048287,0.379725913,-1.190008807,0.796635018,-0.681679044,-1.015874135,-1.767226958,-0.365452353,0.677342605,-0.294867786,-0.111775853,-0.778039566,-2.457941164,0.745186219,-14.97478112,-10.17354865,1.214968927,-1.308042297,-0.080638162,0.107630768,-0.581057898,-0.250219983,0.177236946,-0.552649889,0.163869862,0.094762805,0.432423826,0.045038653,-0.628819102,0.322694641,-1.437294458,0.609978591,0.325773561,1.057065352,0.833104229,-0.865027799,-0.027523852,-2.549068957,1.517022281,0.483177185,0.923969085,0.774390805,-0.713561824,-0.297810896,-2.590628096,1.515609198,0.385738402
20150714,-1.79449052,4.091250172,-1.185452249,2.634391803,0.13469829,-1.28530466,-0.057890285,-0.697212776,7.040437772,-2.559224119,4.033252962,-1.013766508,-1.471105376,0.825499062,0.049500963,0.997838626,-1.566321704,1.450402599,-1.48657585,0.821155376,-0.286217324,-0.150912565,-1.163541367,-0.822519832,0.615558547,-1.465140093,0.71215671,-0.377801849,-0.277254256,-1.334656479,-0.721048287,0.379725913,-1.190008807,0.796635018,-0.681679044,-1.015874135,-1.767226958,-0.365452353,0.677342605,-0.294867786,-0.111775853,-0.778039566,-2.457941164,0.745186219,-14.97478112,-10.17354865,1.214968927,-1.308042297,-0.080638162,0.107630768,-0.581057898,-0.250219983,0.177236946,-0.552649889,0.163869862,0.094762805,0.432423826,0.045038653,-0.628819102,0.322694641,-1.437294458,0.609978591,0.325773561,1.057065352,0.833104229,-0.865027799,-0.027523852,-2.549068957,1.517022281,0.483177185,0.923969085,0.774390805,-0.713561824,-0.297810896,-2.590628096,1.515609198,0.385738402,0.606931496,0.151722775,-0.463068079,-0.600478262,-2.229723586,1.375642161,0.135156932
20150721,-0.697212776,7.040437772,-2.559224119,4.033252962,-1.013766508,-1.471105376,0.825499062,0.049500963,0.997838626,-1.566321704,1.450402599,-1.48657585,0.821155376,-0.286217324,-0.150912565,-1.163541367,-0.822519832,0.615558547,-1.465140093,0.71215671,-0.377801849,-0.277254256,-1.334656479,-0.721048287,0.379725913,-1.190008807,0.796635018,-0.681679044,-1.015874135,-1.767226958,-0.365452353,0.677342605,-0.294867786,-0.111775853,-0.778039566,-2.457941164,0.745186219,-14.97478112,-10.17354865,1.214968927,-1.308042297,-0.080638162,0.107630768,-0.581057898,-0.250219983,0.177236946,-0.552649889,0.163869862,0.094762805,0.432423826,0.045038653,-0.628819102,0.322694641,-1.437294458,0.609978591,0.325773561,1.057065352,0.833104229,-0.865027799,-0.027523852,-2.549068957,1.517022281,0.483177185,0.923969085,0.774390805,-0.713561824,-0.297810896,-2.590628096,1.515609198,0.385738402,0.606931496,0.151722775,-0.463068079,-0.600478262,-2.229723586,1.375642161,0.135156932,-0.233346396,0.102775658,-0.207820221,-0.289473984,-1.212550254,0.487863165,-0.067414765
20150728,0.049500963,0.997838626,-1.566321704,1.450402599,-1.48657585,0.821155376,-0.286217324,-0.150912565,-1.163541367,-0.822519832,0.615558547,-1.465140093,0.71215671,-0.377801849,-0.277254256,-1.334656479,-0.721048287,0.379725913,-1.190008807,0.796635018,-0.681679044,-1.015874135,-1.767226958,-0.365452353,0.677342605,-0.294867786,-0.111775853,-0.778039566,-2.457941164,0.745186219,-14.97478112,-10.17354865,1.214968927,-1.308042297,-0.080638162,0.107630768,-0.581057898,-0.250219983,0.177236946,-0.552649889,0.163869862,0.094762805,0.432423826,0.045038653,-0.628819102,0.322694641,-1.437294458,0.609978591,0.325773561,1.057065352,0.833104229,-0.865027799,-0.027523852,-2.549068957,1.517022281,0.483177185,0.923969085,0.774390805,-0.713561824,-0.297810896,-2.590628096,1.515609198,0.385738402,0.606931496,0.151722775,-0.463068079,-0.600478262,-2.229723586,1.375642161,0.135156932,-0.233346396,0.102775658,-0.207820221,-0.289473984,-1.212550254,0.487863165,-0.067414765,-0.13937252,0.383699473,0.224791174,-0.343619794,-0.357236299,0.285164032,-0.000641039
20150804,-0.150912565,-1.163541367,-0.822519832,0.615558547,-1.465140093,0.71215671,-0.377801849,-0.277254256,-1.334656479,-0.721048287,0.379725913,-1.190008807,0.796635018,-0.681679044,-1.015874135,-1.767226958,-0.365452353,0.677342605,-0.294867786,-0.111775853,-0.778039566,-2.457941164,0.745186219,-14.97478112,-10.17354865,1.214968927,-1.308042297,-0.080638162,0.107630768,-0.581057898,-0.250219983,0.177236946,-0.552649889,0.163869862,0.094762805,0.432423826,0.045038653,-0.628819102,0.322694641,-1.437294458,0.609978591,0.325773561,1.057065352,0.833104229,-0.865027799,-0.027523852,-2.549068957,1.517022281,0.483177185,0.923969085,0.774390805,-0.713561824,-0.297810896,-2.590628096,1.515609198,0.385738402,0.606931496,0.151722775,-0.463068079,-0.600478262,-2.229723586,1.375642161,0.135156932,-0.233346396,0.102775658,-0.207820221,-0.289473984,-1.212550254,0.487863165,-0.067414765,-0.13937252,0.383699473,0.224791174,-0.343619794,-0.357236299,0.285164032,-0.000641039,-0.288060478,1.046732228,0.296273972,-0.406424065,-0.285844266,0.384123987,-0.136457237
20150811,-0.277254256,-1.334656479,-0.721048287,0.379725913,-1.190008807,0.796635018,-0.681679044,-1.015874135,-1.767226958,-0.365452353,0.677342605,-0.294867786,-0.111775853,-0.778039566,-2.457941164,0.745186219,-14.97478112,-10.17354865,1.214968927,-1.308042297,-0.080638162,0.107630768,-0.581057898,-0.250219983,0.177236946,-0.552649889,0.163869862,0.094762805,0.432423826,0.045038653,-0.628819102,0.322694641,-1.437294458,0.609978591,0.325773561,1.057065352,0.833104229,-0.865027799,-0.027523852,-2.549068957,1.517022281,0.483177185,0.923969085,0.774390805,-0.713561824,-0.297810896,-2.590628096,1.515609198,0.385738402,0.606931496,0.151722775,-0.463068079,-0.600478262,-2.229723586,1.375642161,0.135156932,-0.233346396,0.102775658,-0.207820221,-0.289473984,-1.212550254,0.487863165,-0.067414765,-0.13937252,0.383699473,0.224791174,-0.343619794,-0.357236299,0.285164032,-0.000641039,-0.288060478,1.046732228,0.296273972,-0.406424065,-0.285844266,0.384123987,-0.136457237,-0.297486255,1.393878948,0.162731416,-0.282032827,-0.231125918,0.379432901,-0.160394235
20150818,-1.015874135,-1.767226958,-0.365452353,0.677342605,-0.294867786,-0.111775853,-0.778039566,-2.457941164,0.745186219,-14.97478112,-10.17354865,1.214968927,-1.308042297,-0.080638162,0.107630768,-0.581057898,-0.250219983,0.177236946,-0.552649889,0.163869862,0.094762805,0.432423826,0.045038653,-0.628819102,0.322694641,-1.437294458,0.609978591,0.325773561,1.057065352,0.833104229,-0.865027799,-0.027523852,-2.549068957,1.517022281,0.483177185,0.923969085,0.774390805,-0.713561824,-0.297810896,-2.590628096,1.515609198,0.385738402,0.606931496,0.151722775,-0.463068079,-0.600478262,-2.229723586,1.375642161,0.135156932,-0.233346396,0.102775658,-0.207820221,-0.289473984,-1.212550254,0.487863165,-0.067414765,-0.13937252,0.383699473,0.224791174,-0.343619794,-0.357236299,0.285164032,-0.000641039,-0.288060478,1.046732228,0.296273972,-0.406424065,-0.285844266,0.384123987,-0.136457237,-0.297486255,1.393878948,0.162731416,-0.282032827,-0.231125918,0.379432901,-0.160394235,-0.358841479,0.213212891,0.325153853,-0.989164365,-0.239949704,0.39950963,-0.187293957
20150825,-2.457941164,0.745186219,-14.97478112,-10.17354865,1.214968927,-1.308042297,-0.080638162,0.107630768,-0.581057898,-0.250219983,0.177236946,-0.552649889,0.163869862,0.094762805,0.432423826,0.045038653,-0.628819102,0.322694641,-1.437294458,0.609978591,0.325773561,1.057065352,0.833104229,-0.865027799,-0.027523852,-2.549068957,1.517022281,0.483177185,0.923969085,0.774390805,-0.713561824,-0.297810896,-2.590628096,1.515609198,0.385738402,0.606931496,0.151722775,-0.463068079,-0.600478262,-2.229723586,1.375642161,0.135156932,-0.233346396,0.102775658,-0.207820221,-0.289473984,-1.212550254,0.487863165,-0.067414765,-0.13937252,0.383699473,0.224791174,-0.343619794,-0.357236299,0.285164032,-0.000641039,-0.288060478,1.046732228,0.296273972,-0.406424065,-0.285844266,0.384123987,-0.136457237,-0.297486255,1.393878948,0.162731416,-0.282032827,-0.231125918,0.379432901,-0.160394235,-0.358841479,0.213212891,0.325153853,-0.989164365,-0.239949704,0.39950963,-0.187293957,-0.67995328,-3.076677923,1.414439157,-2.211252949,-2.464594788,-2.216096952,2.321643681
20150901,0.107630768,-0.581057898,-0.250219983,0.177236946,-0.552649889,0.163869862,0.094762805,0.432423826,0.045038653,-0.628819102,0.322694641,-1.437294458,0.609978591,0.325773561,1.057065352,0.833104229,-0.865027799,-0.027523852,-2.549068957,1.517022281,0.483177185,0.923969085,0.774390805,-0.713561824,-0.297810896,-2.590628096,1.515609198,0.385738402,0.606931496,0.151722775,-0.463068079,-0.600478262,-2.229723586,1.375642161,0.135156932,-0.233346396,0.102775658,-0.207820221,-0.289473984,-1.212550254,0.487863165,-0.067414765,-0.13937252,0.383699473,0.224791174,-0.343619794,-0.357236299,0.285164032,-0.000641039,-0.288060478,1.046732228,0.296273972,-0.406424065,-0.285844266,0.384123987,-0.136457237,-0.297486255,1.393878948,0.162731416,-0.282032827,-0.231125918,0.379432901,-0.160394235,-0.358841479,0.213212891,0.325153853,-0.989164365,-0.239949704,0.39950963,-0.187293957,-0.67995328,-3.076677923,1.414439157,-2.211252949,-2.464594788,-2.216096952,2.321643681,0.189751666,2.145172605,0.350377395,-0.66294739,-1.41004083,0.050656668,0.832219898
20150910,0.432423826,0.045038653,-0.628819102,0.322694641,-1.437294458,0.609978591,0.325773561,1.057065352,0.833104229,-0.865027799,-0.027523852,-2.549068957,1.517022281,0.483177185,0.923969085,0.774390805,-0.713561824,-0.297810896,-2.590628096,1.515609198,0.385738402,0.606931496,0.151722775,-0.463068079,-0.600478262,-2.229723586,1.375642161,0.135156932,-0.233346396,0.102775658,-0.207820221,-0.289473984,-1.212550254,0.487863165,-0.067414765,-0.13937252,0.383699473,0.224791174,-0.343619794,-0.357236299,0.285164032,-0.000641039,-0.288060478,1.046732228,0.296273972,-0.406424065,-0.285844266,0.384123987,-0.136457237,-0.297486255,1.393878948,0.162731416,-0.282032827,-0.231125918,0.379432901,-0.160394235,-0.358841479,0.213212891,0.325153853,-0.989164365,-0.239949704,0.39950963,-0.187293957,-0.67995328,-3.076677923,1.414439157,-2.211252949,-2.464594788,-2.216096952,2.321643681,0.189751666,2.145172605,0.350377395,-0.66294739,-1.41004083,0.050656668,0.832219898,-1.234685005,1.806577178,1.053641159,-0.473578504,0.061873789,-1.174800301,0.461564404
20150917,1.057065352,0.833104229,-0.865027799,-0.027523852,-2.549068957,1.517022281,0.483177185,0.923969085,0.774390805,-0.713561824,-0.297810896,-2.590628096,1.515609198,0.385738402,0.606931496,0.151722775,-0.463068079,-0.600478262,-2.229723586,1.375642161,0.135156932,-0.233346396,0.102775658,-0.207820221,-0.289473984,-1.212550254,0.487863165,-0.067414765,-0.13937252,0.383699473,0.224791174,-0.343619794,-0.357236299,0.285164032,-0.000641039,-0.288060478,1.046732228,0.296273972,-0.406424065,-0.285844266,0.384123987,-0.136457237,-0.297486255,1.393878948,0.162731416,-0.282032827,-0.231125918,0.379432901,-0.160394235,-0.358841479,0.213212891,0.325153853,-0.989164365,-0.239949704,0.39950963,-0.187293957,-0.67995328,-3.076677923,1.414439157,-2.211252949,-2.464594788,-2.216096952,2.321643681,0.189751666,2.145172605,0.350377395,-0.66294739,-1.41004083,0.050656668,0.832219898,-1.234685005,1.806577178,1.053641159,-0.473578504,0.061873789,-1.174800301,0.461564404,-1.367246317,1.724870724,1.1315928,-0.539817352,0.264997221,-1.165304326,0.353188715
