0,1,2,3,4,5,6,7,8,9,10
-0.648936921,0.982775359,0.538710611,1.325722063,-0.091990077,-1.183478646,0.09662476,-0.240338929,-0.593785032,0.028676856,-0.825676809
-0.39336692,-0.414331888,-2.435891913,-0.476860484,-1.071659329,0.351058294,-0.994980552,1.445910237,-0.985657399,-0.160049721,-0.418256497
-0.208741477,-0.472696108,3.737823758,-0.5559206,1.271499311,0.254048986,-1.508453776,-0.331616963,-0.813029247,-0.634541857,-0.40528527
0.51304732,0.426629689,1.311119792,-0.248082822,-0.313658645,1.066959032,2.50519143,-0.301861611,-0.862773985,-0.369898606,-0.537981962
0.649980479,0.885138574,0.9255426,0.144781602,0.588831837,0.58716695,-0.916938511,0.887911392,-0.186130808,1.48877525,-0.257857344
-0.359586561,-0.775239525,-3.923386104,-0.451322821,0.537665062,0.016124075,0.524250031,-1.205816376,-0.506297454,1.127510357,-0.379251026
-0.672770259,-0.659160033,5.316381125,-0.241631022,-0.818786391,-0.108302173,0.720219004,0.088479024,0.001985463,1.018257935,0.244997885
-0.733128689,-0.128137672,-0.651288184,-0.027606538,1.257659849,0.146406152,1.738203496,1.474152666,0.524557501,-0.121070942,-0.171157988
-0.537541029,0.787901119,-0.759311243,0.189739236,0.313435712,0.432244079,0.114966685,-0.108168545,-1.035629101,0.011679015,1.449616828
-0.845792126,0.853223661,-0.210615314,-0.217961856,-0.344556295,1.565357453,-0.819602806,-0.673200576,0.858375643,-0.064848988,-0.398593296
0.07998336,-1.113880311,-0.006150589,2.030540471,0.04908712,1.133495359,-0.211141336,0.005901046,-0.074782035,-0.019298132,0.046840975
