0,1,2,3,4,5,6,7,8
-0.112978116,0.014092587,0.000560495,0.033835422,-0.040511288,0.036261708,-0.04633332,7.52E-05,-0.07596727
-0.25822863,-0.08417335,0.009362932,0.039483223,-0.123351745,-0.007871725,-0.14283645,-0.006262928,-0.20966205
-0.31860954,-0.0985754,0.01327832,0.074018404,-0.17807615,0.10825917,-0.18654081,-0.008357987,-0.2792742
-0.31710133,-0.20145658,0.03240946,0.004743151,-0.1443961,0.11525458,-0.1787422,-0.010956638,-0.27192757
-0.32087806,-0.0610509,0.029338628,0.17042038,-0.30155373,0.1371141,-0.18380395,-0.012623705,-0.27609327
-0.43501434,0.33954558,0.03813809,0.4809502,-0.5132595,-0.8727866,-0.37404022,-0.042533897,-0.5644248
-0.14128484,0.010670058,0.037283715,0.17101541,-0.25848567,0.15371381,-0.23025826,-0.012246102,-0.3521814
-0.13395567,0.21676375,0.038010284,0.36684844,-0.3974738,0.3983288,-0.2787518,0.001816798,-0.4076206
0.07680813,0.9429307,0.04660304,0.7137444,-0.43180767,-0.7682931,-0.4470109,-0.04008062,-0.7083439
0.0851603,1.8455715,0.035246987,1.2396982,-0.24744207,-0.5557248,-0.45905045,-0.0403345,-0.7161902
0.5244955,0.4684983,0.011189587,0.19812582,0.018456653,0.35372815,-0.3115603,-0.008264847,-0.45100388
0.5187098,-0.038274635,0.017930923,-0.18235151,0.21429035,0.33322617,-0.30455926,-0.012675755,-0.43329456
0.52171904,-0.15599997,-0.009941672,-0.17624581,0.13182269,0.319013,-0.312392,-0.010987312,-0.39528158
0.52582616,-0.3015571,0.008959383,-0.21394117,0.09046801,-0.1973664,-0.30031687,-0.026118226,-0.40806448
0.5650423,0.08332649,-7.42426,0.3512755,-0.4184148,0.828404,-0.26911286,0.13675092,-0.48511735
0.15226687,-0.000781383,-0.007720274,-0.10824532,0.15042539,0.12991177,-0.04246229,0.004543129,-0.06674308
0.15964887,0.22760624,0.004509866,-0.054626774,0.2113201,0.42527315,-0.13084388,-2.58E-05,-0.1947734
0.063527524,0.4179831,0.014872155,0.032520007,0.24610831,0.9670574,-0.20221934,0.002915777,-0.2939792
0.000425911,0.3464009,-0.003531099,0.028532181,0.23305944,0.9819984,-0.24767384,0.00644936,-0.3483648
0.004119561,0.1303922,-0.037734,-0.047526944,0.20185864,0.86657685,-0.25209197,0.008456975,-0.3619169
-0.011047485,0.035675313,-0.05258896,-0.012923427,0.07287853,0.33223435,-0.2644007,-0.010317676,-0.3716852
-0.1536564,0.015198737,0.010089336,0.046033982,-0.051745467,0.15717612,-0.0680905,-0.000153258,-0.13143277
-0.24915783,0.07838568,0.021371042,0.16280232,-0.18242948,0.16792509,-0.113546744,-0.003599986,-0.17758045
-0.2450222,0.1534697,0.007551985,0.22523274,-0.23075885,0.15318161,-0.119778186,-0.000276446,-0.17302594
-0.2467184,-0.13157223,-0.11432822,0.023712713,-0.12323969,0.20696518,-0.095768176,9.36E-05,-0.17445885
-0.7952408,-0.41230315,-0.3064893,-0.870458,1.1420045,-0.09947961,-0.33159074,-0.017746598,-0.45925766
-0.620162,0.407759,-0.000294039,0.2455727,0.077590026,0.36687192,-0.17273489,0.007409126,-0.26406208
-0.71220475,0.16584644,0.014580446,0.21840473,-0.14219545,-0.40507022,-0.23243892,-0.02220466,-0.31638312
-0.7126088,0.11173938,0.010067152,0.2094654,-0.19814119,-0.4487313,-0.22202322,-0.020651072,-0.32010224
-0.21329239,-0.09789091,0.002254617,-0.06882388,0.046161793,0.105654955,-0.08414547,-0.003738478,-0.08924684
-0.2115076,-0.1319191,0.0036746,-0.058524966,-0.000137394,0.057095975,-0.08092563,-0.004325308,-0.07212437
-0.29917964,-0.15125588,0.018904157,0.009646036,-0.11638213,0.075377494,-0.11497863,-0.006730527,-0.14831595
-0.38126862,-0.21924517,0.022188812,0.005431972,-0.15254015,0.1737323,-0.15746638,-0.01008442,-0.22424355
-0.17049073,-0.1214795,0.005923449,-0.052849922,-0.00392331,0.023225108,-0.08468832,-0.005199805,-0.101330794
-0.23295514,-0.11263302,0.028969143,0.040682096,-0.13719654,0.052827008,-0.043913335,-0.003056757,-0.15448034
-0.3788534,-0.2861813,-0.042593233,0.000388909,-0.20100152,0.30019924,-0.20175213,-0.009702742,-0.29382744
-0.3768745,-0.355278,0.029226646,0.006915465,-0.2606135,-0.096150324,-0.20888415,-0.01666227,-0.27669805
-0.050576694,-0.04896541,0.003151745,-0.022471432,-0.00098003,0.002127448,-0.04521478,-0.001794696,-0.06998852
-0.050833665,-0.06241564,0.001271169,-0.040104453,0.014252564,0.006261552,-0.043615222,-0.002100095,-0.04979322
-0.16933988,-0.059932403,-0.002433064,-0.047722895,0.033879846,0.06420483,-0.08113036,-0.00307595,-0.10836765
-0.4717624,-0.12901342,0.007038374,-0.12808351,0.14787841,0.25535184,-0.18227065,-0.005455978,-0.24742496
-0.81675565,-0.14214754,0.001634743,-0.0604304,0.073732406,0.45122868,-0.27175534,-0.013046861,-0.3710049
-1.0053827,-0.3383654,0.022776056,-0.28219506,0.27633762,0.45844576,-0.229218,-0.013736956,-0.37481615
-1.173325,-0.28827116,0.01026228,-0.007266674,-0.16902636,0.1376847,-0.2615022,-0.016410127,-0.34029797
-1.164332,-0.21709827,-0.009853208,0.13179274,-0.3493516,0.22092962,-0.25724638,-0.014753237,-0.35194632
-1.1568167,-0.19291443,-0.5013587,0.19308269,-0.444298,0.552377,-0.2819624,0.000453245,-0.43634543
-0.13389137,-0.05173747,0.000782517,-0.034195326,0.021229513,0.028216204,-0.045485128,-0.000905227,-0.066640265
-0.25340056,-0.0937839,0.010602345,-0.02402226,-0.022940287,0.031738326,-0.067755476,-0.002981193,-0.113662995
-0.36182067,-0.15477522,0.010180414,-0.054181818,-0.023064082,0.068010435,-0.10406251,-0.004506327,-0.085473835
-0.35807994,-0.16295111,0.012099388,-0.03286148,-0.066644356,0.046757013,-0.07510467,-0.003629036,-0.028196182
-0.4684153,-0.26858526,0.013725819,-0.087981984,-0.06040802,0.023532996,-0.12888616,-0.008336641,-0.07071248
-0.4632561,-0.28343174,-0.014786338,-0.0728472,-0.10302224,0.012535432,-0.13558316,-0.011770189,-0.032990925
-0.46533024,-0.31026402,-0.0656092,-0.09010038,-0.09219766,0.05413322,-0.15373927,-0.009691209,-0.071936995
-0.11123316,-0.07593599,0.00424985,-0.029492099,-0.008251337,-0.026669191,-0.03808809,-0.000795148,-0.009050618
-0.29225454,-0.0686332,-0.007721041,-0.00133409,-0.04709611,-0.023332471,-0.089961775,-0.003878892,-0.07957236
-0.29284468,-0.06546522,0.003198024,0.00598849,-0.054025218,-0.007983595,-0.09439078,-0.003919445,-0.08482102
-0.28781387,-0.067569986,0.002208767,0.006499473,-0.044716246,0.32507712,-0.09484457,-0.004466206,-0.092051834
-0.12265426,-0.06213388,0.001978282,-0.016063299,-0.019568982,-0.033441234,-0.04373297,-0.001591973,-0.058604598
-0.122290015,-0.07108081,0.002089161,-0.030703431,-0.003200498,-0.036287736,-0.042288348,-0.001064047,-0.040310074
-0.12195346,-0.07234023,0.004510258,-0.025569474,-0.011905452,-0.037320033,-0.044819377,-0.00135472,-0.025490394
-0.12186253,-0.07439856,0.003652101,-0.02043004,-0.02152473,-0.04101341,-0.038562346,-0.001078729,0.012450581
-0.23330985,-0.141734,0.005216994,-0.029762065,-0.06169027,-0.09503888,-0.07539466,-0.006276622,-0.046754323
-0.3243297,-0.18901254,0.011437222,-0.008596107,-0.12812288,-0.10343582,-0.008450577,-0.005175583,-0.057099685
-0.3278771,-0.21179351,-0.002571382,-0.04389606,-0.09602642,-0.1192406,-0.099761985,-0.009790637,0.007693892
-0.32840893,-0.2248492,-0.10375488,-0.039393455,-0.11406801,0.02355641,-0.068374075,-0.004013874,0.029708425
-0.20547776,-0.15750156,-0.003528923,-0.061192155,-0.024564711,-0.08644258,-0.07203319,-0.005860843,0.042626083
-0.20875736,-0.1569424,-0.001449864,-0.042536996,-0.05458901,-0.094162464,-0.07953037,-0.006712407,0.045080394
-0.28327096,-0.20945174,-0.000318079,-0.011500668,-0.14269558,-0.0372874,0.012222387,-0.007365778,0.030400751
-0.29285708,-0.24478763,-0.54574275,-0.042569906,-0.11522625,0.18680711,-0.0694641,0.013389852,-0.000785096
-0.07959893,-0.07529209,0.002764534,-0.03982356,0.004612459,-0.02536495,-0.028604114,-0.000616659,0.060032114
-0.07797227,-0.076474816,0.000574778,-0.038454223,0.001027918,-0.021407519,-0.031559844,-0.00065333,0.08222611
-0.07567048,-0.07983141,0.000477449,-0.059225127,0.03266307,-0.007931534,-0.038891807,-0.001492031,0.07208813
-0.077089585,-0.07970898,0.000915475,-0.05199765,0.021826964,0.016461762,-0.041300833,-0.000985339,0.065860264
-0.15406783,0.026659206,0.001919563,0.069886774,-0.089935176,-0.052721575,-0.046910807,-0.001731157,-0.0641579
-0.15285361,0.04617587,0.00185973,0.08003715,-0.09228333,-0.029904936,-0.042880066,-0.000775941,-0.065359645
-0.24400796,-0.00352465,0.012345524,0.070492625,-0.117095746,-0.24733503,-0.07902457,-0.008230291,-0.11458621
