time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1507,1.610043341,-0.351739643,-0.170181516,-0.840187561,1.523794828,-0.271282758,-0.392215714,2.409814144,0.821840392,0.861295724,0.398251294,3.801477531,-0.337463922,-0.539116385,1.524587546,-1.036639331,3.286980329,1.634540453,0.424080139,-0.146331039,-0.974379215,-0.4862733,-0.730062765,1.155977604,0.080433414,-0.253741353,-0.33063081,-0.049366211,-1.165537403,-2.848999969,5.757252789,-1.97249844,0.739760566,-0.207167802,-0.010544533,1.141179594,-0.182728877,0.741579047,-0.962030916,1.079107785,-0.06356009,-0.31775212
1508,2.409814144,0.821840392,0.861295724,0.398251294,3.801477531,-0.337463922,-0.539116385,1.524587546,-1.036639331,3.286980329,1.634540453,0.424080139,-0.146331039,-0.974379215,-0.4862733,-0.730062765,1.155977604,0.080433414,-0.253741353,-0.33063081,-0.049366211,-1.165537403,-2.848999969,5.757252789,-1.97249844,0.739760566,-0.207167802,-0.010544533,1.141179594,-0.182728877,0.741579047,-0.962030916,1.079107785,-0.06356009,-0.31775212,2.330074284,-0.002379098,2.831261792,-1.893793072,-0.001753438,0.318312352,1.474781328
1509,1.524587546,-1.036639331,3.286980329,1.634540453,0.424080139,-0.146331039,-0.974379215,-0.4862733,-0.730062765,1.155977604,0.080433414,-0.253741353,-0.33063081,-0.049366211,-1.165537403,-2.848999969,5.757252789,-1.97249844,0.739760566,-0.207167802,-0.010544533,1.141179594,-0.182728877,0.741579047,-0.962030916,1.079107785,-0.06356009,-0.31775212,2.330074284,-0.002379098,2.831261792,-1.893793072,-0.001753438,0.318312352,1.474781328,0.138968545,-0.817195622,-0.239429064,-0.825301893,0.605960093,-0.147716985,-0.021733701
1510,-0.4862733,-0.730062765,1.155977604,0.080433414,-0.253741353,-0.33063081,-0.049366211,-1.165537403,-2.848999969,5.757252789,-1.97249844,0.739760566,-0.207167802,-0.010544533,1.141179594,-0.182728877,0.741579047,-0.962030916,1.079107785,-0.06356009,-0.31775212,2.330074284,-0.002379098,2.831261792,-1.893793072,-0.001753438,0.318312352,1.474781328,0.138968545,-0.817195622,-0.239429064,-0.825301893,0.605960093,-0.147716985,-0.021733701,0.137001445,-0.96373687,-0.503251225,-0.638479451,0.320995716,-0.243905174,-0.063856016
1511,-1.165537403,-2.848999969,5.757252789,-1.97249844,0.739760566,-0.207167802,-0.010544533,1.141179594,-0.182728877,0.741579047,-0.962030916,1.079107785,-0.06356009,-0.31775212,2.330074284,-0.002379098,2.831261792,-1.893793072,-0.001753438,0.318312352,1.474781328,0.138968545,-0.817195622,-0.239429064,-0.825301893,0.605960093,-0.147716985,-0.021733701,0.137001445,-0.96373687,-0.503251225,-0.638479451,0.320995716,-0.243905174,-0.063856016,0.140863751,-0.522794894,-0.114233339,-0.168277312,0.119917484,-0.201112106,-0.070497652
1512,1.141179594,-0.182728877,0.741579047,-0.962030916,1.079107785,-0.06356009,-0.31775212,2.330074284,-0.002379098,2.831261792,-1.893793072,-0.001753438,0.318312352,1.474781328,0.138968545,-0.817195622,-0.239429064,-0.825301893,0.605960093,-0.147716985,-0.021733701,0.137001445,-0.96373687,-0.503251225,-0.638479451,0.320995716,-0.243905174,-0.063856016,0.140863751,-0.522794894,-0.114233339,-0.168277312,0.119917484,-0.201112106,-0.070497652,-0.442273543,-1.432599461,0.337613562,-0.80420523,-0.797808388,-0.156529557,-0.133959835
1601,2.330074284,-0.002379098,2.831261792,-1.893793072,-0.001753438,0.318312352,1.474781328,0.138968545,-0.817195622,-0.239429064,-0.825301893,0.605960093,-0.147716985,-0.021733701,0.137001445,-0.96373687,-0.503251225,-0.638479451,0.320995716,-0.243905174,-0.063856016,0.140863751,-0.522794894,-0.114233339,-0.168277312,0.119917484,-0.201112106,-0.070497652,-0.442273543,-1.432599461,0.337613562,-0.80420523,-0.797808388,-0.156529557,-0.133959835,1.923345441,-2.393187244,-0.541147365,-4.764958328,0.391517729,-0.101502425,0.129871745
1602,0.138968545,-0.817195622,-0.239429064,-0.825301893,0.605960093,-0.147716985,-0.021733701,0.137001445,-0.96373687,-0.503251225,-0.638479451,0.320995716,-0.243905174,-0.063856016,0.140863751,-0.522794894,-0.114233339,-0.168277312,0.119917484,-0.201112106,-0.070497652,-0.442273543,-1.432599461,0.337613562,-0.80420523,-0.797808388,-0.156529557,-0.133959835,1.923345441,-2.393187244,-0.541147365,-4.764958328,0.391517729,-0.101502425,0.129871745,0.25856237,-0.486535068,-0.062472361,-0.430394197,0.176333683,-0.173476579,0.076017564
1603,0.137001445,-0.96373687,-0.503251225,-0.638479451,0.320995716,-0.243905174,-0.063856016,0.140863751,-0.522794894,-0.114233339,-0.168277312,0.119917484,-0.201112106,-0.070497652,-0.442273543,-1.432599461,0.337613562,-0.80420523,-0.797808388,-0.156529557,-0.133959835,1.923345441,-2.393187244,-0.541147365,-4.764958328,0.391517729,-0.101502425,0.129871745,0.25856237,-0.486535068,-0.062472361,-0.430394197,0.176333683,-0.173476579,0.076017564,0.404102804,-0.239876183,-0.625259264,-1.073734713,1.249198611,-0.069263354,0.106203686
1604,0.140863751,-0.522794894,-0.114233339,-0.168277312,0.119917484,-0.201112106,-0.070497652,-0.442273543,-1.432599461,0.337613562,-0.80420523,-0.797808388,-0.156529557,-0.133959835,1.923345441,-2.393187244,-0.541147365,-4.764958328,0.391517729,-0.101502425,0.129871745,0.25856237,-0.486535068,-0.062472361,-0.430394197,0.176333683,-0.173476579,0.076017564,0.404102804,-0.239876183,-0.625259264,-1.073734713,1.249198611,-0.069263354,0.106203686,0.054372513,-0.377845214,-0.403810745,-0.318028096,0.166201454,-0.136945723,0.023683933
1605,-0.442273543,-1.432599461,0.337613562,-0.80420523,-0.797808388,-0.156529557,-0.133959835,1.923345441,-2.393187244,-0.541147365,-4.764958328,0.391517729,-0.101502425,0.129871745,0.25856237,-0.486535068,-0.062472361,-0.430394197,0.176333683,-0.173476579,0.076017564,0.404102804,-0.239876183,-0.625259264,-1.073734713,1.249198611,-0.069263354,0.106203686,0.054372513,-0.377845214,-0.403810745,-0.318028096,0.166201454,-0.136945723,0.023683933,0.290583717,-0.518202856,-0.443116726,-0.346101702,-0.034084786,-0.203288755,-0.015618712
1606,1.923345441,-2.393187244,-0.541147365,-4.764958328,0.391517729,-0.101502425,0.129871745,0.25856237,-0.486535068,-0.062472361,-0.430394197,0.176333683,-0.173476579,0.076017564,0.404102804,-0.239876183,-0.625259264,-1.073734713,1.249198611,-0.069263354,0.106203686,0.054372513,-0.377845214,-0.403810745,-0.318028096,0.166201454,-0.136945723,0.023683933,0.290583717,-0.518202856,-0.443116726,-0.346101702,-0.034084786,-0.203288755,-0.015618712,0.126620493,-0.45620573,-0.519471341,-0.40069179,-0.102499036,-0.017687092,-0.073838679
1607,0.25856237,-0.486535068,-0.062472361,-0.430394197,0.176333683,-0.173476579,0.076017564,0.404102804,-0.239876183,-0.625259264,-1.073734713,1.249198611,-0.069263354,0.106203686,0.054372513,-0.377845214,-0.403810745,-0.318028096,0.166201454,-0.136945723,0.023683933,0.290583717,-0.518202856,-0.443116726,-0.346101702,-0.034084786,-0.203288755,-0.015618712,0.126620493,-0.45620573,-0.519471341,-0.40069179,-0.102499036,-0.017687092,-0.073838679,0.049073372,-0.895133272,-1.049088921,-0.740835761,-0.15659426,0.075892052,-0.116056943
1608,0.404102804,-0.239876183,-0.625259264,-1.073734713,1.249198611,-0.069263354,0.106203686,0.054372513,-0.377845214,-0.403810745,-0.318028096,0.166201454,-0.136945723,0.023683933,0.290583717,-0.518202856,-0.443116726,-0.346101702,-0.034084786,-0.203288755,-0.015618712,0.126620493,-0.45620573,-0.519471341,-0.40069179,-0.102499036,-0.017687092,-0.073838679,0.049073372,-0.895133272,-1.049088921,-0.740835761,-0.15659426,0.075892052,-0.116056943,-0.221027457,-0.583726298,-0.330625808,-0.418229304,-0.248968846,0.082745171,-0.082693318
1609,0.054372513,-0.377845214,-0.403810745,-0.318028096,0.166201454,-0.136945723,0.023683933,0.290583717,-0.518202856,-0.443116726,-0.346101702,-0.034084786,-0.203288755,-0.015618712,0.126620493,-0.45620573,-0.519471341,-0.40069179,-0.102499036,-0.017687092,-0.073838679,0.049073372,-0.895133272,-1.049088921,-0.740835761,-0.15659426,0.075892052,-0.116056943,-0.221027457,-0.583726298,-0.330625808,-0.418229304,-0.248968846,0.082745171,-0.082693318,0.906094819,-0.012168365,-0.198833392,-0.292160141,-0.199462056,0.041326471,-0.040178944
1610,0.290583717,-0.518202856,-0.443116726,-0.346101702,-0.034084786,-0.203288755,-0.015618712,0.126620493,-0.45620573,-0.519471341,-0.40069179,-0.102499036,-0.017687092,-0.073838679,0.049073372,-0.895133272,-1.049088921,-0.740835761,-0.15659426,0.075892052,-0.116056943,-0.221027457,-0.583726298,-0.330625808,-0.418229304,-0.248968846,0.082745171,-0.082693318,0.906094819,-0.012168365,-0.198833392,-0.292160141,-0.199462056,0.041326471,-0.040178944,0.083249178,-0.171037073,-0.557901748,-0.203592869,0.167044038,-0.035921504,-0.066409663
1611,0.126620493,-0.45620573,-0.519471341,-0.40069179,-0.102499036,-0.017687092,-0.073838679,0.049073372,-0.895133272,-1.049088921,-0.740835761,-0.15659426,0.075892052,-0.116056943,-0.221027457,-0.583726298,-0.330625808,-0.418229304,-0.248968846,0.082745171,-0.082693318,0.906094819,-0.012168365,-0.198833392,-0.292160141,-0.199462056,0.041326471,-0.040178944,0.083249178,-0.171037073,-0.557901748,-0.203592869,0.167044038,-0.035921504,-0.066409663,0.768709489,0.075451848,-2.047903951,-0.46171153,1.060809723,0.099240665,-0.30081025
1612,0.049073372,-0.895133272,-1.049088921,-0.740835761,-0.15659426,0.075892052,-0.116056943,-0.221027457,-0.583726298,-0.330625808,-0.418229304,-0.248968846,0.082745171,-0.082693318,0.906094819,-0.012168365,-0.198833392,-0.292160141,-0.199462056,0.041326471,-0.040178944,0.083249178,-0.171037073,-0.557901748,-0.203592869,0.167044038,-0.035921504,-0.066409663,0.768709489,0.075451848,-2.047903951,-0.46171153,1.060809723,0.099240665,-0.30081025,1.143656364,0.310749463,-0.861986884,-0.446759249,0.100828619,0.080433879,-0.103824223
1701,-0.221027457,-0.583726298,-0.330625808,-0.418229304,-0.248968846,0.082745171,-0.082693318,0.906094819,-0.012168365,-0.198833392,-0.292160141,-0.199462056,0.041326471,-0.040178944,0.083249178,-0.171037073,-0.557901748,-0.203592869,0.167044038,-0.035921504,-0.066409663,0.768709489,0.075451848,-2.047903951,-0.46171153,1.060809723,0.099240665,-0.30081025,1.143656364,0.310749463,-0.861986884,-0.446759249,0.100828619,0.080433879,-0.103824223,0.116166393,-1.150220981,-0.452878612,-0.765876103,-1.334942941,0.015526752,-0.515050216
